question,answer
Why does my cat keep patting my face?,"This is one way cats show affection or try to get your attention. Not all cats do this, however, but they might show this in other ways such as as kneading, gentle scratching and gifting etc. Cats also show affection to other animals by rubbing against them ""When your cat puts its scent on you, it's saying something like, 'You and I belong together because I smell you on me and you smell me on you.' It's a scent complement."" Some cats periodically approach a relaxed owner and stretch out their paws to softly touch the owner's face. The cat repeats this gentle reaching in the hope that the owner will pet it, brush it or show some affection. Alternatively, some cats paw their owner's face to wake them from sleep; in this case the cat probably wants affection or play."
How should I discipline my cat for bad behavior?,"Punishment rarely works because cats don't have a social structure that recognizes you as the dominant being in the home, they only understand that you're doing something to them that they don't want (squirting them with water, for example). Therefore, it's much more effective to figure out why your cat is exhibiting the undesireable behavior and meet those needs in a way that is acceptable to both of you rather than punishing the cat for the undesireable behavior.  Usually, cats climb on countertops because they have instincts telling them to climb (better view, hiding from predators/prey, etc).  To keep them from the kitchen countertops, you should install cat wall shelves and/or cat trees to give them that height advantage that they are looking for. Sometimes it's hard to find space for these things in the kitchen, but even devoting a corner to a set of shelves so they can watch you cook can be helpful! (They also may be climbing on the countertops if you leave dirty dishes out that they can scrounge for food from, so housekeeping is important!). I'm not familiar with dog/cat interactions, so it's difficult for me to give advice there. We do have a cat who's much younger than the other cats and often would harass them because he had a lot of energy and wanted to play. I started making SURE that I spent 30-60 minutes a day playing with him with wand toys to tire him out, and he is now much less bothersome to the older cats.  "
How can I fix my relationship with my 7 month old cat after I've constantly abused her the past month?,"As in human cases of abuse, if you genuinely want to repair the relationship, the first and most essential thing to accept is you may not be able to. Especially with a young kitten, it's entirely possible you've scarred her for life. Even if she can recover in general, she may never be able to respond to you without fear.  The second most essential thing is the need for accountability. You know now that you are a person capable of abusing a kitten. You don't have the luxury anymore of assuming you will just not do those things. You need to involve at least one person that can hold you to account. I would honestly recommend that you give her to someone else who does not live with you. Give her a clean break and allow her to re-establish trust with an uninvolved human being. If this person reports to you that she's stabilized emotionally and acting like a normal cat towards them, then you can attempt a supervised visit with her. Do not push interaction on her - you should treat her like a feral cat, at maximum extend a hand and invite her towards you. Do not approach her or take any action that could conceivably be considered threatening. Accept that it could take numerous repeats of this before she is willing to approach. If after several tries of this you see no improvement, or if the person caring for her reports that she backslides significantly after your visits, refer to point 1: it may be a hopeless case where you are concerned. Accept this and let her go. If she begins to warm back up to you, however, you could consider taking her back only if the following conditions are met: Recovering from being an abuser is possible (especially as you're still young), but it is a very serious matter and you cannot treat any part of this lightly. It is vitally important that you address the original abuse and commit to changing anything and everything that contributed to your behaviour. Do not accept responsibility for any animal until point 2 has been satisfactorily achieved, and even then, tread with caution. People criminally charged with animal abuse can be legally barred from owning animals again in the future; in the end this may be the sentence you have to impose on yourself."
How much purring is too much purring?,"Cats purr, as well as meow to communicate. Purring doesn't always mean the cat is happy. It's a type of language for the cat. There has been research into the way cats communicate with their owners and how the different types of meows and purrs evoke reactions in their owners, ultimately helping the cat to communicate her needs and wants and getting them met. The pitch of the sound will evoke certain emotional responses within cat owners to express whether the cat's needs are urgent or a signal of being contented. (1)(2) Feline Infectious Peritonitis (FIP) is also known as the purring disease; is an illness that can be fatal to cats and one of the features is that the cat will continue to purr up until the moment of death or last consciousness before death. The purring may also be more noticeable due to chronic airway congestion. (3)(4) I don't believe that there would be an upper limit in a healthy cat. Some cats will be more inclined to purr more than others, for more reasons than are practical to list here. If your cat is not drooling when she purrs, has bad breath, difficulty breathing or sounds congested, does not have any erratic behavior, it would most likely be safe to say your cat is healthy. Interestingly, there is some research into cat's purring and links to the purrs increasing the pet owners health due to the frequency of a cat's purr resonating with the human body. It suggests a form of entrainment that is similar to the effects of soothing music on the body that is discussed here  Does music affect heart-rate?. References: (1) University of Sussex News Research reveals how cats purrfect the art of exploitation (2) Myths Debunked: Cats Purr Whenever They're Happy THE FELINE BEHAVIOR SERIES
Paul D. Pion DVM, DipACVIM (Cardiology) and Gina Spadafori
VeterinaryPartner.com (3) What is Feline Infectious Peritonitis (FIP)? dr-addie.com (4) Understanding Feline Infectious Peritonitis
Niels C. Pedersen, DVM, PhD  PDF"
"What is this street cat asking for, with continuous meowing?","If she's not satisfied with food/drink it may be that she is actually seeking nothing more than attention. Adult cats don't meow to each other (in cat-world it's only used to communicate between mothers and kittens) so she's definitely trying to say something to you. As to what, well that's a bit harder to be sure on (sadly there's no cat-translator yet) as a rough meow-vocabulary usually develops between a cat and it's slave-human. In general terms though you can get a rough idea from the pitch and duration of the meow: One or two short meows = A standard ""greeting"" meow, the cat equivalent of ""Hi"" Multiple meows, especially if accompanied by a vertical tail = Excited greeting. e.g. “Great to see You!” often there's a subtext of ""Have you got any food handy?"" Or ""Give me some fuss"" as well. Mid-pitch meow = Polite request for something, “I'd like to eat.” or ""Play with me"" or ""Fuss me!"" Longer, more drawn-out mrrroooow = Demand for something, often an escalation of the ""Polite Request"" e.g. “Open the door. NOW.” or ""Feed me puny Human!"" Low-pitch MRRRooooowww = Complaint of a wrong you have done. e.g. “You still haven't fed me!” or ""The litter tray is full of poop and I need to go"" or ""You're ignoring me and it's making me cross!"" etc. High-pitched, relatively loud RRRROWW! = Anger or pain. e.g. ""You just stepped on my tail you oaf!"" Hiss = Aggression e.g. ""Go away!"" Or ""Don't mess with me or I'll totally claw your face off!"" Hissing is used cat-to-cat as is growling as well as to humans. BRRRUPP! = ""Excuse me, coming through!"" PRRRIP! = General happy noise Chirping/Chittering = Mild frustration e.g. ""I can't reach it (the prey/toy)"" Multiple ""Yowl!"" Sounds = ""I'm in heat"" Low-pitched growl = ""This food/toy/blanket/whatever is MINE, don't come near!"" From how you describe it I think this is likely a plea for fuss or attention, and as @Mick mentions in his comment you probably want to consider carefully before going ahead as the cat may be looking to bond with you and if you aren't prepared to reciprocate then it may be inadvisable to encourage her. Vocalisations do vary from cat to cat, some don't even ""talk"" at all. The nuances of an individual cats ""speech"" are something that an owner gets used to over time. That said there is substantial overlap across many cats in general terms and the list here is intended as a rough starting point for people like the OP who don't have any history with the cat they are trying to understand, it's not always going to be right but it's better than nothing."
Who should win at tug of war?,"This answer is not correct. If you have a dominance problem with the dog (which MANY people do) letting the dog win will just exacerbate the aggression displayed by your dog. The act of playing is a release of energy and aggression, so I don't agree that you need to let the dog win in all circumstances.  Personally I don't let my dog win at tug-of-war, and she isn't the least bit less interested in playing because of this. That being said, I have trained some very timid dogs, and it is beneficial to them to win at tug-of-war, as it increases their confidence. As with many other things, one answer is not suitable for all dogs. Edit: Let them win: Don't let them win: Depends (there are a lot of these, I left most of them out): Now, I'm not asserting that all of these sources are credible by any means, but it gives you an idea that the problem is hardly ""solved""."
Can cats safely eat raw meat?,"You can feed cats raw meat, they're obligate carnivores after all, but human processed meats can introduce other bacterias and contaminates into meat that might not be there otherwise. If you want to do this, which I can understand, then you should introduce the raw meats carefully into their diet and only from a source that you trust, such as local butcher who is following good practices (if they save bones for dogs, it's probably a good sign).  While you're doing this, monitor your cat carefully and if there is anything happening that concerns you such as unusual stool, vomiting, etc. then stop immediately and potentially take him/her into a vet for a check up. As an aside, there are some really good food products for cats that don't have as much (or little) filling in them. Spend some time reading the labels and look for products that are all meat or very, very high meat volume. Your cats will appreciate it. :)"
What causes a dog to lunge at an unknown child and how should the owner respond?,"Distraction, via food, voice or otherwise, is usually a good way of managing in the short term but in my personal view it can take quite some time before the dog gets the connection if you're using distraction alone and relying on things to happen (i.e. whenever a child happens to pass by). Another short term technique to can be of help is finding an incompatible behaviour, i.e. one that, if he performs that behaviour, he can't exhibit the problem behaviour at the same time. In your case, for example, you might ask your dog to sit and to watch you. Both behaviours are incompatible with lunging, i.e. it can't lunge and sit at the same time. But you'll have to ensure his motivation to keep sitting is higher than his fear of the child. So get not just your average treats but very, very special super yummy sausages, steak, whatever he likes most. This is different from simple distraction, as you are asking your dog to actively do stuff and he knows that lunging at children will mean losing out on the reward he knows he's getting if he just keeps still that little bit longer. The long term solution is what's called desensitization and counter-conditioning. In short, it means gradually getting your dog used to whatever triggers the fear reaction (and it is fear 99% of the time rather than aggression) while at the same time associating the trigger with positive outcomes. Practically, it means you'll want to recruit someone's child to help you, since children seem to be the trigger. The main thing to do is to make this training exercise safe for the child, your dog and yourself, so ideally set it up with a fence between the dog and the child, so the dog can't get at the child even if you lose control of the leash. Find the distance at which your dog is still comfortable with the child, i.e. well before it starts lunging or showing any other warning signals (growling, raised heckles, etc.). While you are at a comfortable distance, whenever the dog looks over to the child, reward it with lots of praise and food (or a toy, if that's what motivates your dog). Really hammer it home that good things happen when it looks at the child and doesn't react. The best way to do this (if your dog is food motivated) is to give him a special type of treat, the nicest you can find, that he only gets when he is around children and behaves himself. Don't use this type of treat for anything else! Once your dog is happy with the child at a certain distance and realises good things happen with the child around, move a step closer. Really go slowly, as getting it wrong will undo a lot of work up to that point. When you do get it wrong and your dog reacts to the child, lead it away to a safe distance and start again. Don't punish the dog! You're the one who pushed it too quickly into a situation the dog is not comfortable with. Simply go back to a distance the dog is OK with and start again. Do this for 5-10 minutes, then wait until the next day. Gradually build up your dog's resistance to children and slowly associate them as being good for it. Keep in mind that this might be a long and slow process for the simple reason that when you're actually out on a walk and your dog is forced into a situation it's not comfortable with (children have the unfortunate tendency of wanting to pet even the most fearsome and aggressive looking dogs) and it lunges, the kid will probably run away, meaning the dog's response just got reinforced and you have to undo that again. Dog is scared of kid, dog lunges, kid runs away => dog achieves desired outcome."
Overly friendly stray cat wants to come in our house,"Thank you for your concern for the little homeless kitty. While it's very likely the cat has fleas and intestinal parasites, the good news is cat fleas do not feed on humans. I used to rescue dirty, sad, abandoned cats and never once was bitten by a flea or any other skin parasite. Treating the fleas is best done with a medicine applied to the back of the neck in my opinion. Advantage II is an example of this. These can be pricey at around $40 or $50. The flea collars are cheaper but be aware you cat will be wearing a potent poison around its neck. This is not good for cats, people who pet them, or babies in the house. If you go the flea collar route, just keep the cat away from the baby and wash your hands after handling the cat. Naturally, don't touch the collar. The fleas are not good for the cat, but it is unlikely they will cause your cat any serious harm if you have to wait a while before treating the fleas. If you just want to clean the cat up, Vet's Best No-Rinse Clean Waterless Cat Shampoo is about $5 on Amazon and very easy to use, and involves no potentially traumatic (for both owner and cat) baths in the sink. The alternative to declawing is manually clipping your cat's nails. This requires some finesse, technique, and getting your cat used to the process, but it is not too difficult. There are also glue-one cat nail covers (think fake nails for cats), but they are a costlier solution. As far as the cat's eyes go, what you describe sounds like an eye infection. These are very common in strays and feral cats. You can try gently dabbing the eyes with a moistened cotton ball to remove any liquids or dried-on exudate. If the liquid is yellowish, greenish, or brownish, it may be a bacterial infection. This may clear up on its own or may require a topical antibiotic ointment.  A good vet will get you a broad spectrum ointment without you having to make a more costly office visit. Also, some stores will sell animal antibiotics over the counter. Terramycin is a good one. Do not use antibiotics sold for human use on a cat. One thing to keep in mind is while you may not be able to perfectly care for the cat, and your baby may be a little rough with the cat, the cat will be much better off just living in your house, under your care and protection, getting regular meals.  The average life expectancy for a feral cat is about 4 years. Under your care she can live 4 or 5 times this or more."
"Is this normal first day home behavior for my kitten, or should I be concerned?","This seems pretty standard for a kitten that was separated from her mother and siblings maybe a bit too young. 6 weeks old used to be the standard age to send kittens to new homes, and it won't hurt your kitten long-term, but it can produce this sort of mourning period. These days, 8 weeks old is the recommended age for re-homing, after they are independently on solid food and independently using a litter box.  Obviously, there's nothing you can do about it now, and you didn't know beforehand, so there's no use in worrying about an early separation. Instead, watch the kitten closely and be as hands-on as possible. Snuggling and petting will help her adjust to you. You can put hot water in an old soda-pop bottle (or any other container) and wrap it in a towel for her to snuggle with. Make sure that the food you're offering her is the same as the food that she was getting before, and make sure that it's very close by to the nest she has made with the blanket. You might also try hand feeding her a few bites to pique her interest. See if you can get her to drink a little water. You might even dip your finger in water and then gently put it in her mouth a few times. Make sure that she is using the litterbox. If you think she hasn't peed or pooped in the last 24 hours, you should stimulate her by gently rubbing a damp, warm washcloth over her abdomen. Her mother used to do this with her tongue when the kittens were younger, and although a 6-week-old should be able to do her business by herself, she might be having some difficulty. If more than 48 hours pass without her eating, drinking, or passing waste, take her to the vet right away. But it will likely not get to that. Best of luck!"
