question,answer
Terminology index - a list of bike part names and cycling concepts,"A derogatory term for a very cheaply produced bike with very low quality components. The components can be hard to maintain due to poor tolerances. BSOs are often sold at non-specialty retail stores. The etymology of the term is uncertain. It appears in use in some parts of the English-speaking world. It may originate in the UK, as discussed at the link. Other languages may use terms equivalent to supermarket bike or department store bike. These terms are likely to be understood in English as well.  For instance the BSO pictured is being sold in the UK by ASDA (owned by Walmart) for £75. These bikes tend to be mass produced and sold in flat pack boxes for self-assembly. Purchasers of lower-end bicycles tend to be less experienced cyclists who focus on price. Many BSOs carry features which are included for marketing purposes but are unnecessary for the typical end-user. Such features may include front and rear suspension, wide off-road style tyres and an excessive number of gear ratios. For cyclists who are riding on city streets or smooth trails, these features are unnecessary. Including these features reduces the budget available for better components elsewhere. It is more advisable to search for a cheap second-hand bike in a similar price range from a more experienced cyclist or on eBay than to go for one of these."
Why ride a fixed-gear bike?,"Your understanding is correct.  Why do people ride them? Some random answers: Hard to get started/Hard to go fast? Yes. Generally someone who has a road worthy fixie will have selected a gear that works well for the terrain and speed that they like to ride at. I've only ridden fixed gear bikes on the track, but I'd imagine for a city fixie, you'd optimize for a fairly low speed but someone who takes these more seriously can answer better."
How do I deal with a dog chasing me when I'm touring?,"Oh... where do I even start? I love dogs, I am crazy about them, too. I have 3 labs of my own. I am from a place where street dogs are very abundant. If you don't see any dogs in the next 100 yards, consider yourself lost! :D I am barked at often, chased often, even confronted sometimes. I used to run away before, because it is what a normal guy does. I learned a very big thing about dogs. They chase wimps. It's like what a bully does, going after the weakest target. So, don't you dare run when you are bullied. Take a bite instead but stand your ground.  They sense fear. If you are scared while approaching a dog, he is sure to suspect you and bark/chase you. They love challenges. If they think you are a worthy adversary they will confront you either to be protective or to see who is stronger in the area. Me, for a guy, who was constantly afraid of dogs, was suddenly in charge, after learning a little of these dog psychology tips.  Therefore, please believe me when I am saying this  Show them, you are ready. Call it like ""Bring it on"" If a dog passes this point, and still heading towards you then you are in a serious point. Where there are only three things to do. Surrender: Another  psychology of dogs, if they pass that point, they are challenging you head on. So, better lower your body, sit down. Let the dog be taller than you. Don't care about him, or look at him. Instead hook a headphone in your ear and listen to the music.  Music will calm your nerves down and send positive impulses for the dog to sense. Let him smell you. After few moments, just get up calmly grab your bike, start walking with it (but don't ride off) I have tried this so many times, its freaky but works Call for help: If the dog has an owner, (s)he may hear you if they are nearby. Or somebody might help you get out of this trouble. Get ready to fight: When nothing works, better get yourself prepared for the fight. From my own experience, dogs love to tear limbs. If they grab your limb, you just feel helpless. Avoid this Protect your neck, hands and calf muscles at all cost. If they are hurt you have very slim of escaping. Be defensive, rather than offensive: Let him make the first move and on retaliation you can do whatever you want. Effective targets are nose and eyes they will buy you a lot of time and you can make a run for it. If you are lucky try to find a long stick. They are greatest weapons against dogs. Don't hit them. Just point it right at them and show them you will do it. Even a mini pump works, if you find nothing. Don't let him corner you, keep the motion going,  Normally when this happens, me and dog are generally circling each other Make a little cage out of your bike. When you are cornered, this just might save your life. Grabbing tail, makes him more angry, try to avoid that. Do not scare a dog and run away. They become enemy for life.  Update: Rabid Dogs Getting into a fighting situation with a rabid dog, is more harmful than it should be.  One of my little story: One of my friend got into a similar situation with me, on a village cycle trip. A rabid dog was being chased by locals (its not abnormal here) and the dog out of fright ended up attacking us. My friend was a pretty agile cyclist, he immediately changed to defense position with his bike covering his entire body stopping the first attack. But, at a moment when dog was jumping at us, he used his elbow to hit the dog, but it bit him very badly.  Very torturous and painful moment we were in. Worst part than the wound was the infection. So, I suggest full defence no offence as much as possible, but if you are a fighter/ Martial Arts Expert or know how to protect yourself very well, then yes, sick dog are very easy to knock down just aim for the nose."
"Safety data: Which is safer, head/tail lights which blink or emit a steady beam?","The short answer is that 'safer' is subjective and depends on your requirements. You are both correct.  Movement attracts the eye, so your blinking light is noticed.  It is easier to judge the position of a steady state light. For a motorist to pick out your tail light, particularly, from a sea of noise is very difficult.  The surface area of the light is tiny, and it's all on its own.  Your light is just not important enough to notice amongst the jumble of signs, traffic directions and other cars unless it does something to stand out, like flash. My understanding is that the reason it's easy to see cars (apart from bulk) is that they have 2 lights moving together.  Something to do with your brain automagically resolving the connected pattern.  That's why it's hard to see a car with one working taillight, or a motorcycle or bicycle. In terms of safety, my policy is always 'be seen and misjudged' rather than 'not seen'. So I always set both front and rear lights to blink at night.  If you need illumination for the road, I'd strongly suggest a second forward light for that. From Rear Lighting Configurations for Winter Maintenance Vehicles Flashing lights will be perceived as having higher brightness than steady-burning lights, up to a flash frequency of about 15 flashes per second. Such brightness enhancement can aid in conspicuity, and several rear lighting systems have been designed to have a flash rate between 5 and 9 flashes per second in order to maximize their perceived brightness. While conspicuity may be greater with such configurations, an observer’s ability to make accurate judgements of relative speed or distance may be compromised when flashing or strobing lights are used. Croft observed that the judgments required in tracking an object were difficult to make under strobing conditions, yet very easy in steady-lighting conditions. Observations made during a study of service vehicle lighting for maintenance operations similarly pointed out that strobing and flashing systems designed for maximum conspicuity can at the same time reduce one's ability to judge relative speed and distance. Periodic sampling of the field of view in another study resulted in deterioration of one's motion-tracking ability that increased as the distance to the object of interest decreased. Also from Selection and Application of Warning Lights on Roadway Operations Equipment Flashes are bursts of light which, by definition, are unexpected
  because they do not occur in nature (save for lightning).
  This characteristic is their most important feature and
  why they are so good at capturing attention."
How to clean up at work after a commute?,"My commute was fairly short, so my major burden was the rain. For this I invested in rain proof panniers & waterproof jacket & over-trousers. I had both a summer & winter jacket to make sure I didn't arrive in too hot during summer. I didn't have overshoes, so kept spare socks/shoes at office.  I cycled at leisurely pace on way there to avoid building up too much of a sweat. I'd let rip on the way home to make up for that. I had a colleague who cycled in from further afield, and wore the spandex gear. He just discretely got changed in the toilets when he arrived. It was never an issue (odour wise) - I guess he went with the babywipes & deodorant. Our dress code was pretty casual. If you need to be smart, just bring your freshly ironed office clothes in a pannier. See if you can get a suction bag to prevent them from flopping all over the place enroute."
Why are disc brakes rare on road bikes? (circa 2010) [closed],"Disc brakes are now common on road bikes, even racing road bikes in the professional peloton. Most of the major bike manufacturers offer disc and non-disc options for most of their bike models. Some ""endurance"", ""adventure"", and ""cyclocross"" (drop bar bikes sold under ""road"" category, but intended for some off-road use) models only offer options with disc brakes now. However, there is some opposition to their use in certain types of road racing. If a rider's leg contacts a disc rotor while the bike is going fast, that rotor will likely cause a serious injury (it's spinning fast and pretty thin, so cuts flesh easily). The advantages of disc brakes are primarily in wet and/or muddy conditions. In dry conditions, a good rim brake can lock both wheels up just as well as a disc brake. So for road-racing under dry conditions, there's no real advantage to disc brakes, and appears to be some disadvantages. Many of the ""racer"" style road bikes follow what's allowed for professional road bike racing, so it's possible that the current opposition to disc brakes in professional road racing will eventually lead to them becoming less popular on road bikes. Personally, my next new bike will definitely have disc brakes. I don't race in a peloton, I do sometimes ride in the wet, and it's much cheaper to replace a rotor than to replace a rim or wheel. (rim brakes eventually wear down the rim and make you replace it) I think it mostly comes down to one primary thing: disc brakes weigh more and road bikes are supposed to be light.  Also, you need a heavier wheel and heavier fork to handle the forces of disc braking, which compounds the weight. Additionally, the advantages to disc brakes (working better in mud/dirt, easier to work with a suspension, work with really wide tires) generally don't apply to road bikes or aren't what the road bike was designed for.  For any bike on the road the only likely advantage of disc brakes would be that they're more likely to work after you've ridden through something nasty (mud, puddle with oil on it, etc) that's deep enough to get on the rims, and you probably want to be avoiding any puddles you can't see the bottom of anyways. Probably the final reason is simply that disc brakes (generally) cost more than rim brakes. I have seen bikes made for the road that had disc brakes, but they're generally not the typical ""go fast"" road bike.  (Example: Kona Sutra)"
Can I use WD-40 on my bike?,"WD-40 is mostly a solvent with a very light lubricant mixed in. It's great for getting stuck parts moving again. When you spray it on, the solvent dislodges whatever gunk may be causing the part to stick and then evaporates, leaving a light lubricant behind. This will allow the previously stuck part to move again. The reason it is generally not considered a good bicycle lubricant is because it is a light lubricant. It's just fine for household items like door hinges, which aren't exposed to weather and don't get moved a couple hundred times a minute. But the lubricant is not thick enough to adhere to rapidly moving bike parts for any length of time, especially when you add a little bit of road grit and/or rain. Some people do use it for loosening up shifters in the winter time (they stick when it's cold) or cleaning chains and derailleurs. You will notice in the answers and comments on the aforelinked question that whether or not this is good practice is highly debatable. Some people will use WD-40 as a cleaner and degreaser followed by a bicycle-specific lubricant, with or without a cleaning inbetween, depending on personal preferences. I don't have any experience with their bicycle-specific products, but they're a solid company that's been in the business of cleaning and lubricating mechanical parts for a long time. They also make Lava soap and 3-in-1 Oil, a product that was originally designed as a bicycle lubricant (although they did acquire both of those from other companies). I actually didn't know until I read this question that they were making bicycle-specific lubricants now. Given their history and the number of patents that they have to draw ideas and develop from, I'm certainly willing to give them a shot. The worst case scenario is that I have to clean it off and go back to my previous products."
Why do cyclists prefer messenger bags over backpacks?,"I spent the last two years as a backcountry ranger, in Northern California.  There, I wore a backpack almost every day.  Now I am a bicycle commuter in Sacramento and I choose panniers first, a messenger bag second, and the backpack a distant third.   There are three reasons why the backpack is my last choice in this list. Any bag I carry ends up being full.  I don't know how that works, but my bag is always full of something.  A full backpack rides higher on my back than a messenger bag.  This raises my center of gravity and throws me off balance more easily.   It doesn't matter how gently I ride or what the temperature is, by the time I get to work I am soaked with sweat.  With a backpack, I sweat even more because there is less airflow between my back and the bag.  The messenger bag, which rides lower, covers less of my back and I sweat a little less.  Or maybe I just dry out quicker.   Backpacks with hipbelts and sternum straps are designed to move weight off of one's shoulders and onto the hips and torso.  This works great if you are in an upright, walking position.  When I'm in the drops on my roadbike, a hipbelt is nothing more than a hinderance and a backpack-sternum-strap, though more useful, sometimes tends to choke me.  Weight is again transferred to my shoulders and back, which causes me some degree of pain after a while.  Messenger bags--at least those that are well designed--have a strap which rides diagonnally across the sternum and which functions better in the riding position to transfer weight to the torso. Panniers are my first choice, though, because they better solve all of these problems.  They are completely off of my back and pretty low on the bike.  For longer rides and for my daily commute, I generally use panniers.   Not all of my bikes have a rack, though.  I have ridden my bike from Sacramento-to-the Bay Area wearing a messenger bag.  I wouldn't have tried it with a backpack. "
How to pass a bicycle while driving a car,"As long as you give a cyclist plenty of space, and obey traffic laws and drive safely in general you are OK. 1 meter or 3 feet is generally considered enough space when passing, but I know I prefer more. If you can move into another travel lane to overtake please do that. Don't follow a cyclist too closely before overtaking, it's really scary for the cyclist. Similarly, don't pull in too soon after overtaking. Pass decisively and reasonably quickly. Overtake only when you have enough visibility, space and time to do so. I've had cars try to overtake me then have to abort because they didn't give themselves enough space, or overtook on a curve or hill where they could not see far enough ahead. Be aware of anything that might force the cyclist away from the side of the road that reduces the separation between you and them: debris, potholes, tree branches etc. Don't overtake if you will not actually get past the cyclist, such as when coming up to a junction or another situation where you would have to slow down or stop before fully getting past the cyclist. A particularly important variant of this is 
overtaking a cyclist then immediately turning right (or left in countries that drive on the left) and cutting across the cyclist's path."
Is pollution a problem in urban cycling?,"Rank, Folke and Jespersen (2001), ""Differences in cyclists and car drivers exposure to air pollution from traffic in the city of Copenhagen"", The Science of The Total Environment, 279:131-136 teams of two cyclists and two car drivers in two cars were equipped with personal air samplers while driving for 4 hours on 2 different days in the morning traffic of Copenhagen. The air sample charcoal tubes were analysed for their benzene, toluene, ethylbenzene and xylene (BTEX) content and the air filters for particles (total dust). The concentrations of particles and BTEX in the cabin of the cars were 2–4 times greater than in the cyclists’ breathing zone, the greatest difference being for BTEX. Therefore, even after taking the increased respiration rate of cyclists into consideration, car drivers seem to be more exposed to airborne pollution than cyclists."
