question,answer
How can I chop onions without crying?,"The tearing of the eyes is a result of enzymes that form a sulpherous gas when the onion is cut (concentrated inside the inner core or bulb of the onion) being released into the surrounding air.  You have a few options to avoid this - one would be to not cut through the center of the onion but to extract the ""core"". This is kind of a pain and means you are discarding a decent chunk of onion, so I don't like it too much.  Another option is to use a fan to blow the gases away from you. A small fan next to you blowing horizontally should do the trick. You could also wear goggles, although you'd have to leave them on for a while until the gas dissipates from the area. Another technique is to cut a lemon in half and rub the fresh lemon against both sides of the blade. You'll have to keep ""refreshing"" the juice coat and your onions will have some lemon juice on them, so this is somewhat limited by that factor."
Translating cooking terms between US / UK / AU / CA / NZ,"US : jam/jelly/preserves/etc In the US, there are specific definitions from the Food & Drug Administration on what can be labeled as jam, jelly, etc. From CookingLight.com, but preserved here in case of link rot: Jelly is a clear, bright product. It is generally made by cooking fruit juice and sugar with pectin as a jelling agent and lemon juice as an acid to maintain a consistent texture. Jelly is firm and will hold its shape (it 'shakes'). Generally, jelly contains no pieces of fruit, although specialty jellies, like pepper jelly, may include pieces of jalapeño or other pepper.  Jam is made from crushed or chopped fruit cooked with sugar, and often pectin and lemon juice. Jam can be a purée of fruit or have a soft pulp, but it does not contain chunks of fruit.  Preserves are fruit cooked with sugar to the point where large chunks of fruit or whole fruit, such as berries, are suspended in a syrup base. The texture of preserves is not smooth like jelly or jam.  Marmalade is a soft jelly, often citrus-based, that includes both the flesh and peel of the fruit suspended throughout the jelly base. The bitterness of the peel offsets the sweetness of the jelly.  Conserve is a mixture of more than one fruit, often with added nuts and raisins, that is cooked until it becomes thick. It is used as a spread for breads, pastries and meats, and in the latter use is closest to chutney. Chutney is a spiced condiment of Indian origin (chatni is the Hindi word for strongly spiced) made of fruit or vegetables. It is typically served as an accompaniment to food, not as a spread. The spice level can range from mild to hot, and the consistency from a fine relish to a preserve or conserve. Fruit chutney consists of chopped fruit, vinegar, spices and sugar cooked into a chunky sweet-tart-spicy mix: according to one explanation, it 'blurs the Western distinction between preserves and pickles.'  Fruit Butter, such as apple butter or prune butter, is fruit purée or pulp combined with sugar, lemon juice and spices, slowly cooked down to a smooth consistency. The 'butter' refers to its spreadability: there is no actual butter in the product.  Fruit Curd is a creamy spread made with sugar, eggs and butter, generally flavored with citrus juice and zest.  Fruit Spread is generally a reduced-calorie product made with fruit juice concentrate and low-calorie sweeteners replacing all or part of the sugar."
Why add salt to the water when cooking pasta?,"The salt adds flavor, but it also helps reduce the gelatinization of the starch in the pasta.  The starch in food is the form of microscopic grains.  When these grains come into contact with water, they will trap some of it (think cornstarch in cold water), but when the water is hot they swell up like balloons and merge with each other, and you have starch gelatinization. Another thing you may want to add to the pasta water is some acid (lemon or cream of tartar).  Tap water in most cities is made alkaline, which increases the starch loss from the pasta to the water, making the pasta stickier."
Why would boiling milk in an electric kettle break the kettle?,"The electric kettle is (clearly) not designed for this. The main issue is that milk doesn't evaporate, whereas water (obviously) does. The secondary reason is that milk will burn. Milk is a complex mixture of water, fats, and proteins. The fats and proteins will separate out from the water when heated, and form a layer on top. Unfortunately, this layer prevents the water from evaporating - it traps it. This is what causes milk to boil over. Incidentally, the reason potato or pasta water boils over is due to the starch. The way kettles turn off is by steam reaching the top of the kettle, rushing down a tube and causing a bi-metallic plate to expand unevenly, tripping the switch. No steam means the kettle will never turn off. Because the kettle doesn't turn off, the element continues to heat the milk next to it. With water, the hot water will rise, rather than stick to the element. This means leaving the lid open won't cause a fire - at least not until all your water has boiled away. Unfortunately, milk will burn, and this layer of burnt milk will prevent effective heat dissipation - the milk in contact with the element is not moving throughout the remainder of the liquid. This causes the element to get hotter than it is meant to. However, kettle manufacturers have thought this through - they don't want their products to catch on fire (well, most don't) - even when they are misused like this. They will have included a small (one time) temperature switch, like this one. This acts a little like a fuse, but for heat, not current. They are often called ""thermal fuses"" for this reason. When the element reaches a temperature which has been deemed ""too hot"" (probably around 190ºC, perhaps a little hotter) this switch is tripped, and electricity can no longer reach the element. This is normally a permanent state. You could open the kettle, find the temperature, voltage and current rating for the thermal fuse, buy one on eBay or Amazon and replace it (you would have to crimp, not solder, for obvious reasons), and be confident it was installed safely, in good thermal contact with the element. But if I'm honest, it's sensible to just buy a new kettle."
What is this colored fiber in my chicken?,"It's called deep pectoral myopathy or ""green muscle disease"", and it's a problem with heavy breasted poultry. The vessels are unable to supply enough blood to the muscle, with the result of death of the muscles affected. It's not detectable until the chicken is cut open. By the time you see the green colour, muscle death occurred a couple of weeks prior and fibrous woody tissue has developed. Since breeding practices for roaster chickens and turkeys often favor heavy-breasted poultry, this is likely to be found more often until that changes. There is no odour or bacterial growth with this, and the meat itself is safe to eat, though no one would eat the green part. The Occurrence of Deep Pectoral Myopathy in Roaster Chickens, from The Journal of Applied Poultry Research, has extensive info available about it."
Is it possible to cook a whole fish in a dishwasher?,"Cooking in a dishwasher is related to some other non-orthodox places to cook, like on the manifold of a car on a road trip. Basically, you're aiming to put food in an environment that's somewhere between 160F (71C) and 300F (150C) already, for non-cooking reasons. That's strange, but not entirely nuts. The dishwasher is going to stay south of 212F (100C), but, a decent dishwasher doesn't stay very far below that threshold.  It's going to go through several variations of how that heat's applied, from the actual washing cycle to the drying cycle. And, if you run a regular cycle of dishes, there's going to be a bunch of foreign substances (soap, food bits from the dishes (and in the car manifold situation, things like oil)) all around it. So, your goal is to wrap the food in something that can both handle the heat and seal out the foreign stuff. To me, the most obvious solution to this is the vacuum sealed pouches used for sous vide. You're not going to get anything remotely close to the consistent temps for sous vide, but for the dishwasher, you're still talking about mostly cooking in ""hot water"" and hot, moist air, so that's close enough to give a shot.  So, I'd fill the pouch with seasonings/marinades and let it ride and see what comes out. I wouldn't expect it to be great, but it might be worth a shot for the shock value alone."
How can I tell the difference between a rabbit and a cat?,"In Germany we have an old (joking) saying that roughly translates to ""head off, tail off - bunny"", so your question is legitimate. But first thing's first: There is no health risk1 involved if you ate the latest shipment of ""meowling rabbit"". (To cat lovers everywhere: This is no endorsement, I have a much loved and pampered cat, too!) The most obvious differences are But I suspect these would be removed prior to sale, so we'd have to dig a bit deeper into anatomy: Shoulder blades: 
Cats' shoulder blades are rounded on top, especially in the front, making the shoulder blade almost semicircular with the ridge making for two differently shaped parts, rabbits' shoulder blades are triangular with the ridge somewhat parallel to the front side.  Femur (thigh bone):
A cat's femora are straight, whereas a rabbit's is more or less bent, especially pronounced in older animals. Same applies to a lesser extent to radius and ulna (forearm), but they might have been removed. Ribs:
Cats' ribs are ""rounder"" than rabbits' ribs according to this source. I can't say by how much, but @aitchnyu's comment below suggests the difference is obvious enough to play a significant role in the novel/movie Papillon. Pelvis:
The same source as above states that the foramen obturatum (= the loop-like opening near/below the hip joint) is oval in rabbits and round in cats. I couldn't find a good picture to show this, though. Here's a rabbit: 
Source: www.onlineveterinaryanatomy.net And a cat:  1 other than the general risk every meat from questionable sources brings"
How do you properly cook a steak?,"You should be able to get a reasonable steak stovetop using a cast iron grill pan, if you have a strong enough exhaust. Oil the cast iron pan (with canola or such), then heat it very hot, until it starts to smoke. Make sure the meat is completely dry on the outside (wipe with a paper towel, water will prevent browning) and gently place in the pan. Leave it there for a minute or two (it'll smoke quite a bit!), rotate 90° to get the nice grill marks. Leave for another minute or two. Flip, and repeat for the other side. It may splatter, have a splatter screen handy. It will smoke, quite a bit, make sure the exhaust is on high. You will probably have a medium-rare steak now. Using a thinner cut will make it more well done (you can cut a thick steak in half with your chef's knife, making two thin steaks); so will plopping it in the oven (not sure if you want the oven before or after searing, I like 'em medium rare...). Remember to let the meat rest for 5 minutes or so before serving. Also, if your steaks are coming out ridiculously tough, you're probably using the wrong cut of meat, or some terrible grade. What cut are you using? [edit: I should note that, in case it wasn't obvious, the burner should be up pretty high] Edit by rumtscho There is a reason this answer specifies a cast iron pan. If you are limited in your cookware choice, pay attention to the maximum temperature your pan can tolerate. If you are using a non-stick pan, you have to go on medium heat and wait longer, else you'll damage the pan. (And sorry, but you can't get it as tasty as on high heat that way). "
Why use milk in scrambled eggs?,"Well, it makes the eggs go further for one... But it also produces softer, creamier results. You're moving toward something like a custard or quiche. If you like your eggs very stiff, this is probably a bad idea."
Is it safe to leave butter at room temperature?,"Try a butter crock. This will keep your butter fresh at room temperature for a fairly long time (weeks, not days)."
