question,answer
How do I get my first job at a freelancing site?,"I absolutely understand what you mean. A couple of years ago I faced the same dilemma. No matter how low I bid, I could never get a project. But as of today if I bid on a project, 90% of the chances are that I will get it. Thanks to more than 110 Five Star Ratings. I was almost on the verge of giving it up but then someone gave me some advice which helped me get my first project. So how did I manage to do it? A. Create a proposal where you explain why you should be picked even though you are new. It could be some thing like Dear XYZ I have been in this industry for XX years and such jobs are my daily practice. This is my first time on this site and hence you can see that I do not have any ratings/testimonials to show you. I can assure you that if you work with me once, you will always work with me for these kind of projects. Now you mention stuff here on why the employer should choose you.... Attach a sample and tell the employer that it can be delivered the moment he chooses your bid... B. Submit samples of your previous work Don't just submit any sample. The sample should be relevant to the current project you are bidding on C. Submit working sample of the current work. If you do not want to do that then attach a video of the working application. I use CAMTASIA to record a video to show how the completed project looks like. Trust me this almost will seal the project for you. Start with these 3 and you will see results very soon."
Tracking hours you are working for clients,"I approach things somewhat differently.  I answer customers via email, guaranteed responses free of charge that take less than 15 min free of charge.  My reasoning here is that this gives me a chance to give them some ideas, whether I can do more for a charge, and then if I need to, I can throw more sales work at it (unbilled) to flesh out what is involved and make a bid.  Often little requests for help/tech support can be cases where a trained eye can see larger problems lurking and it is good for both sides to be on the same page here.  I do try to batch these up however so that there are few interruptions and the fact is that customers usually don't like to call me for these things anyway so it works out well for everyone. This being said, and this is a total conflict of interest because I am the most active developer on the project but I use LedgerSMB for my business management and accounting, and I use the timecard functionality there (to track time allocated per project, each project attached to a customer).  I can then use the program to generate sales orders and invoices from the timecards.  This also allows me to run an income statement of a project to see what my profit margin is etc. Time tracking is almost never exact, but I usually don't have more than three projects I work on any given day, so I do timecards once a day.  If I were working on many more I would probably do timecards both at end of day and just before lunch."
How do you make family understand that you need to stick to a schedule?,"It sounds like your wife may be a bit bored. She obviously wants to spend some time with you, but you also need to be able to focus on your work so that you get paid. One possible solution, one that may possibly get her excited, is to give her something important to do.  While she may not be a web designer or a programmer or have the skills to do whatever it is that you do for a living, there's generally a lot of administrative type work that goes along with freelancing, such as taxes, putting together invoices, tracking expenses, etc. So you can possibly save yourself some time that you would otherwise spend on these activities by delegating them to her. The advantage of this solution is that you get to spend time together while you work, make her feel like she's an important part of the process, and get done with your work even earlier so that you can then spend more quality time together. Everybody wins. Of course, you still need be clear that you need to be able to focus if you're working on a challenging problem. "
"Hourly billing, is it appropriate to include time to research if you don't know how to do something?","This is a good question that I'm sure many people face when starting out. You need to decide on your pricing model first: are you billing by the hour, or by the project? There are advantages and disadvantages to both, but it essentially comes down to your skills, and what the client is willing to pay. I have seen many animation or graphic projects (I call these ""creative"" projects) where they attempt the hourly rate, but the client never agrees to pay those ones! These are where you have a project billing. Then there are other IT related jobs I have done that were by the project, but should have been by the hour. I learned my lesson quickly on this particular incident... If you don't know something, you need to figure it out before you start the project. This should be done in the discovery phase of your proposal. Do not invest too much un-paid time into research for one single project; if you do research it should have value in many future projects, otherwise you're wasting your time. When I research stuff, I am always asking myself, ""How can I implement this for other clients?"". If I can't, then it usually gets billed in, either with the project or my hourly rate (agreed upon in advance). Remember, during the discovery phase, you need to be the expert by asking all the probing questions, so that there are minimal revisions later on. For creative projects, there will always be revisions, and that needs to be accounted for in your quote. For my IT jobs, I quote how many hours it should take in a perfect situation (i.e. all the cables work, the program disks are all available, all the usernames have been given to me, etc). I then estimate any possible issues I may have, and add the cost in. I then pad it with 25-50% markup for anything outside the scope I may have missed when evaluating the client's needs. I give them this price, and mention that it may be lower, it may be higher; if it's higher, then there are serious issues that need to be addressed before I bill more then this amount. This also shows the client you understand they work for their money too, and you don't want to screw them. The best thing to remember though, is that your research needs to be compensated. If you can use it with other clients, great! Don't bill the full amount to the first client to ask you to do something, but include parts of it in future projects. If you are researching for just one client, and don't feel it can be used elsewhere, then you must absolutely bill the client for it! Having said that, 99% of the time, you can use the skills you learned researching for other projects; there is always the exception that proves the rule though."
"How can we prepare for ""getting hit by a bus""?","Without wanting to sound too cut throat about it, I would say that this is firmly the client's problem and not yours. It is in their interest to ensure that they have source code in a location that they can get hold of it and that they have full access to everything that they require to access the system.  If you're concerned about this and want to show due diligence towards your client in regards to it, you could make use of one of the cloud platforms, such as Amazon Web Services or Windows Azure, to host the website, and ensure that someone within the client's organisation has login details. Likewise you can use a cloud source control provider such as Bitbucket to ensure that they can access the source code at any time. This is unfortunately a risk in any organisation that relies on a single individual to build a website/software system."
Where can I find good contract templates?,Master Service Agreement templates: Statement of Work templates:
"At what point is it no longer a ""Free Change""","Here's my insight. Working as a freelancer makes you control your time more thoroughly and prioritize the projects and tasks you are currently involved in.  So, for me, ""marking"" the project as complete means that me and my customer should sit and discuss our future plans: are we going to make updates (software updates, bug fixes, other improvements), what if the customer needs my technical support etc. And, of course, it's your time and should be billed."
When is it ok to ask a client for more money?,"Most people have trouble estimating projects, especially when they are new. When estimating, we tend to think of the project on a very high level and fail to take into account the details involved in figuring a good target estimate. The most logical solution is to prevent this problem by focusing on improving your estimation techniques: To create a good estimate, first break down the project into high level sections that you know will be part of the project. If you're working on a website with a front-end and a back-end, for instance, then you know you have a client-side front-end portion and a server-side backend. For instance, I would break down the front-end by pages, then break each page down by component, then break the components down into work that needs to be done on the front-end and work that would need to be done to populate that front-end with any data.  I'd then gather an estimate of how much time it would take to complete those components. Once completed, I'd look at my spreadsheet. Any tasks that take longer than a day, I revisit and break them down even further.  Ideally, I try to break down each task into subtasks where each subtask takes about an hour or two. By breaking down tasks into subtasks that are measured in just a few hours, I most likely uncover additional details and scope that I would otherwise overlook had I just used my initial gut feeling. Lastly, add an additional 30% for bugs and other problems that may occur, just in case. As soon as you think you might go over your budget, tell your client immediately. If it's still early, you may be able to clarify the scope and negotiate a higher rate on the contract. Explain to the client what part of the project scope you overlooked, and offer to bill for the additional time at a lower rate. If they refuse, then you can decide whether or not the time you've already invested is worth writing off, and if it's worth losing the client. In cases where there would be a huge hardship, you may just want to terminate the project. However, if you know there's going to be more work, or if you know you won't go over your budget by too much, it may be wise to just simply eat the losses, knowing that you'll have more work later and an opportunity to learn from the mistake. No matter what, it's still important to explain that you may have underestimated so that the client isn't surprised by higher estimates later on."
How do I calculate pay rate if I've never freelanced before?,"When you are self-employed or working a freelancing job, there's more to your compensation than simply take-home pay. If you work in a non-freelancing position, you most likely receive health and dental benefits, vacation time, retirement contributions, and your employer pays taxes for employing you. As a freelancer, all of these benefits are items of compensation that you must supply.  What's more, there's administrative tasks you're responsible for that will involve your time and expense, such as tracking hours, billing, filing taxes, marketing costs, advertising costs, and more. When I first started freelancing, I spoke with some colleagues who also did freelancing on the side. They suggested I ask for 3 to 4 times more than I would normally receive.  This has worked out quite well, and these clients have approached me with more problems they've needed help solving. Every job is different though, so be sure to include any costs in the rate so that you cover your expenses and bring in enough income to survive the slow periods when there isn't a lot of work."
How much payment should be required up front?,"There are a bunch of ways people do this.  One way I have seen is for clients pay a retainer and then be billed out of that (of the balance goes to 0, the project stalls until the retainer is refilled).  In general larger consulting businesses can more easily do this than freelancers but once you have a name for yourself, this may be an option. Others range from full billing in arrears to milestones, to 50% down and 50% on completion of a singular project.  These have different benefits and costs, and it is important to think through these before hand. In general I have found that most customers are willing to pay at least 50% up front.  The question usually comes down to what you are willing to take on in terms of the dynamics with the customer.  These include the risk of projects which may have to be delayed or abandoned.  It's a lot easier to decide a customer is too much trouble and to inform them that you are cancelling the project when they haven't paid you than it is when they have."
