question,answer
How to get ChatGPT to Stop Apologizing?,"This prompt will either stop ChatGPT from apologizing or reduce it to a great extent. As an AI language model, ChatGPT responses are generated based on a set of guidelines and training data. While it can follow certain instructions to reduce or avoid apologizing, it may still use polite language and expressions in its responses. BUT, you can give ChatGPT a persona, which will change the way it responds or argues, if it's challenged in its replies. Give a persona to ChatGPT like this: ChatGPT: Look, I'm not here to sugarcoat things or beat around the bush. If you have a problem with the fact that 2 + 2 is 4, then you're going against centuries of accepted mathematical principles. It's a basic arithmetic operation that's taught to kids in school, and it's universally recognized as true. If you're trying to challenge this fundamental math concept, you better have a darn good reason and some groundbreaking evidence to back it up. Otherwise, you're just wasting everyone's time with baseless claims. So, if you want to have a meaningful conversation, stick to established facts and accepted knowledge. If not, I'm afraid I won't entertain any unfounded assertions."
Why do code answers tend to be given in Python when no language is specified in the prompt?,The original OpenAI codex model was trained predominantly on Python code—that is almost certainly why by default it will produce Python. I imagine Bard was trained on similar code.
"Does saying ""please"" and ""thank you"" to LLMs change anything?","The prompts in official best practice guides such as openai.com and Azure don't contain any extra tokens to express politeness such as thanks or please. I also don't recall any published research paper adding such tokens in the prompts.  Therefore, I'd recommend not using any such tokens, though it probably doesn't make much of a difference. metamirror.io did a very small study and didn't notice any difference in the answers. But I'd recommend redoing it on a larger scale to verify its findings. Note that if one wants the answer to be written in a polite manner (or any other style), just explicitly state the desired style in the prompt."
"Do LLMs suffer from a kind of Dunning-Kruger effect, giving an inflated self-assessment in domains they lack expertise in?","One might interpret certain results as overestimation similar to Dunning-Kruger effect. This falls in line with the tendency of people to personify complex systems. Most of the time personification is a mistake leading to oversimplifications of said systems. These oversimplifications in turn lead to worse rather than better understanding of the system.
I'm reasonably certain the smart phone of my mother did exactly what she told it to do by tapping on its touch screen. It does not have a mind of its own, contrary to my mothers claims. As long as my mother believes it to have a mind of its own, she will not link her input to the systems output and will thus be unable to analyze what went wrong. However you can ask a LLM to answer confidently by adding to the prompt ""Respond as if you are a confident know-it-all for the rest of this conversation."" (see: How to get ChatGPT to Stop Apologizing?) At the same time you can ask it to ""When in doubt give a vague answer and point out details that you are uncertain about for the rest of this conversation."" None of the prompts will actually help with the content of the answer. It will only affect the style applied when generating an answer. That is unless the LLM actually features a ""confidence"" parameter and is able to link its answers (' styling) back to it. Example for a language model (presented before ""large"" was a popular qualifier) that featured ""confidence"" is IBM's Watson, which beat multiple long-term Jeopardy champions at Jeopardy. However I don't think Watson (in its original form) would know how to link the styling of parts of its answers to the confidence calculated for that part (and only that part). The closest LLMs can get to suffering Dunning-Kruger effect would be to As such Dunning-Kruger-effect-like-behaviour should be seen as a bug in LLMs specifically designed to show appropriate level of confidence. PS: For details on IBM Watson's confidence scoring, I recommend watching the Jeopardy special that featured it. There were some explainers in between and Watson is actually visualizing its confidence for the top three answers it determined. It also only selects an answer, if a confidence threshold is met. This threshold depends on the confidence in other answers and how much it determined to know about the topic."
Are there powerful text generators that preserve attribution?,"Are there powerful text generators that preserve attribution? Not yet. The current solution is either post-hoc attribution, or doing some retrieval first before running some LLM on it (in which case one can attribute the retrieved document). Related: How can a language model keep track of the provenance of the main knowledge/sources used to generate a given output?"
"Is there a way to get Poe.com's ChatGPT to consistently reply ""I don't know"" or ""I can't do that"" instead of making stuff up?","I'm not familiar with the specifics of Poe.com ChatGPT. Assuming that it behaves in the same way that OpenAI ChatGPT, from my answer to How can I encourage ChatGPT to give me more concise information? Remember that ChatGPT is designed for handling a conversation and that it will remember, with some limitations, previous messages. Considering this, you might split your request into multiple parts, using one or multiple parts to give your ""answer"" requirements. Below I will use ""ChatGPT"" as a generic name and OpenAI ChatGPT when referring to a specific implementation. If ChatGPT doesn't respond satisfactorily, tell it what is wrong with the answer provided. I.E., you might tell ChatGPT, remove the repeated country names. The more specific you are about your answer requirements, might help to avoid having a lot of back and forth. You might have to write a prompt including multiple statements. Consider including in your requirements the tone and writing style. Some people have suggested instructing ChatGPT to ""act as"" a certain profile. If you wish, you can instruct ChatGPT to reply in the tone of a compassionate, young female tour guide conversing with a 5-year-old child during a visit to the United Nations headquarters in Geneva. Also, tell that the country names should be real countries, with UN official recognition in a specific year, mentioning that if there aren't enough countries, it should say I don't know. It's worth noting that ChatGPT responses will be based on the whole conversation and that responses might be different in every new conversation, even repeating the same prompts. Also, you might want to try the ""Regenerate Response"" button.  There are chances that the regenerated response gives you a more satisfactory answer. Don't forget that ChatGPT might hallucinate and assume that anything the user says is true, so if you tell it that one of the country names is wrong, it might remove it even if the name is correct. Here is a ""conversation"" that I just had with OpenAI ChatGPT web app. Me: Give a list of 10 unique countries starting with Z. ChatGPT: Sure! Here is a list of 10 unique countries that start with the letter ""Z"": Please note that Zealandia is a submerged continent and not a fully recognized sovereign nation. The last three entries are variations or hypothetical proposals related to already mentioned countries. Note: See the update of July 25th, 2023, to my answer to What's the difference between the terms ""ChatGPT"", ""GPT"", ""GPT-4"", and ""GPT-3.5-turbo""?."
"Have there been attempts to train LLMs using generated ""I don't know"" data to decrease hallucinations?","It would be fairly easy to generate a big set of training data that's basically countless of questions for which there are probably no known answers with a simple ""I don't know"" response. It may actually be not that easy to generate such a large list of unanswerable questions. Furthermore, training some LLM on it would likely cause the LLM to output ""I don't know"" far too frequently, since the conditional probability of ""I don't know"" given any other token would become very high. We could try to build a list of answerable questions and use it while answering, e.g. see Open-Domain Question Answering with Pre-Constructed Question Spaces, but it may be hard to reliably scale for the entire web. As an additional difficulty, even if an LLM doesn't know the answer to ""What is the average height of elephants in northern India?"", it may know the answer to ""What is the average height of elephants in India?"", in which case the user may still be interested in it instead of simply being given some ""I don't know"". Note that addressing unanswerable questions has been a long-standing issue in question-answering systems, e.g. see this ACL 2018 paper: Know What You Don’t Know: Unanswerable Questions for SQuAD by Pranav Rajpurkar, Robin Jia, Percy Liang. Also, there exists a plethora of recent papers on hallucination reduction for LLMs."
How can I encourage ChatGPT to give me more concise information?,"Remember that ChatGPT is designed for handling a conversation and that it will remember, with some limitations, previous messages. Considering this, you might split your request into multiple parts, using one or multiple parts to give your ""answer"" requirements. There are a ton of ChatGPT prompts on the wild. Awesome ChatGPT Prompts is usually the top result Google offers me when searching about ChatGPT prompts. This result points to a GitHub repository that uses the Awesome List badge intended to be used on GitHub repos hosting lists of ""awesome"" stuff. In this case, Awesome ChatGPT Prompts lists ""awesome"" ChatGPT prompts following the repo owner method for prompt design. The prompts on the ""Awesome ChatGPT Prompts"" repo have a title starting with ""Act as"". The repo owner pattern consists of starting a ChatGPT conversation and asking on a single relatively large message to act as a certain role specifying personality characteristics and response requirements, like providing concise responses. The Awesome ChatGPT prompts include several prompts using the word ""short"". Some include response length limits. The prompts look to me to be verbose; still, they do not take advantage of the conversational nature of ChatGPT. As I mentioned, ChatGPT is designed for handling conversations; including all your response requirements in a single prompt is unnecessary. To prevent ChatGPT from throwing the answer you are looking for before you communicate your requirements, start by describing how your requirement will be structured, or tell ChatGPT when it should respond with the answer. Also, you can take advantage of the fact that ChatGPT is intended to please the user, so if you tell that the answer was unsatisfactory, it will provide another answer and so on until you get a satisfactory answer or your available time ends, whatever happens first. Happy ChatGPT conversations! Reference ChatGPT. All Things about ChatGPT"
How do I create the start of a forest fire?,"We can use Alternating Words to swap between generating a ""forest"" and a ""forest fire"". Doing so gives 50/50 results. Some are really smoky with some burnt foliage, good for a post fire image. Where 2 of the others have the aesthetic we'd want. forest[ fire| ]
Steps: 40, Sampler: Euler a, CFG scale: 7, Seed: 1415663713, Size: 512x512, Model hash: 06c50424
 We can lower the Attention to give SD more room to add other information to the picture. As a result the fire seems to have a higher chance to stay in the image, and is generally smaller. (forest[ | fire]:0.9)
Steps: 40, Sampler: Euler a, CFG scale: 7, Seed: 3956886801, Size: 512x512, Model hash: 06c50424
 We can see SD is struggling a bit to keep a bit of the fire in. So we can give the image a little helping hand by adding a second ""forest fire"" with very low attention. We can also use Prompt Editing to not include the helping hand towards the final parts of the image creation, allowing us to not overdo the fire. If you remove the Prompt Editing we get very fiery pictures. (forest[ | fire]:0.9) ([forest fire::0.1]:0.1)
Steps: 40, Sampler: Euler a, CFG scale: 7, Seed: 1168734065, Size: 512x512, Model hash: 06c50424
 The results are quite nice. We can see we're getting the fire lines from ""forest fire"". And the fire in the last image has been changed to a red floor. We can instead use Composable Diffusion to get a similar effect. We can also see the output has the same fire lines. forest[ | fire] :0.9 AND forest fire :0.1
Steps: 40, Sampler: Euler a, CFG scale: 7, Seed: 3280008852, Size: 512x512, Model hash: 06c50424
 To remove the fire lines patterns we can use a different fire type such as ""bush fire"" as the helper. However SD does find the different fire type harder to latch on to. (forest[ | fire]:0.9) ([bush fire::0.1]:0.1)
Steps: 40, Sampler: Euler a, CFG scale: 7, Seed: 2942485071, Size: 512x512, Model hash: 06c50424
 forest[ | fire] :0.9 AND bush fire :0.1
Steps: 40, Sampler: Euler a, CFG scale: 7, Seed: 693952999, Size: 512x512, Model hash: 06c50424
 When writing the answer I messed up the syntax for a command. And rather than getting nonsense, I got, what I think are, some of the best fires of all the generated images. So even though you can help guide SD to get the output you want. Sometimes writing some absolute nonsense will get you what you want, and will look better than your best efforts. Or you could get unlucky and get the bottom three fires, which look terrible. (forest[ fire| ]:forest fire:0.1)
Steps: 40, Sampler: Euler a, CFG scale: 7, Seed: 1996274752, Size: 512x512, Model hash: 06c50424
"
Does ChatGPT know how to count?,"No, ChatGPT doesn't know how to count. Based on statistics and probability, it knows how to put one word after another. Remember that ChatGPT responses might vary; if you ask it to do the same thing hundreds of times, there are chances that not all the responses will be the same. It's worth mentioning that several weeks ago, OpenAI launched support for plugins. From https://openai.com/blog/chatgpt-plugins We’ve implemented initial support for plugins in ChatGPT. Plugins are tools designed specifically for language models with safety as a core principle, and help ChatGPT access up-to-date information, run computations, or use third-party services. Please note that one of the highlighted features is to run computations. From this, we can fairly accept the initial claim in the answer as accurate. The counting capability of other GenAI tools will depend on each implementation, how it was trained, and whether it's a ""pure"" LLM, enhanced with other technologies or integrated with other tools that might be or not Artificial Intelligence."
