question,answer
Why did Hitler attack the Soviet Union when he was still busy fighting the United Kingdom?,"I'm not sure there is any direct evidence that it was strategically a bad idea. Strategically it made sense to attack the Soviet Union while they were weak and unprepared for war. Hitler knew that as he made progress on the Western front that Stalin grew more and more nervous every day about the growing power of Nazi Germany. What must be remembered is that Hitler almost won the war with the Soviet Union.  Hitler felt the army was not moving fast enough towards Moscow. If Hitler's commanders had done what Hitler had wanted, which was rush as fast to Moscow as possible, then it is possible the Soviet Union would have fallen without time to prepare a massive infantry army. Germany's army was also not prepared for fighting in cold weather. It was not expected that the Soviet Union was even close to capable of fighting back. The Soviet Union's army was in shambles throughout the entire war. It was ill-equipped and all it had to offer was quantity over quality. The combination of the cold, unexpected resistance and the amount of time it was taking to get to Moscow because of cold weather and resistance was setting back Germany. The whole strategy was to get in and occupy Moscow and take the leadership. It took about six months for the Germans to get nearly to the gates of Moscow, when the tide finally started to turn at Stalingrad. Hitler most importantly underestimated the sheer will of the the country to defend itself no matter how much the cost in blood. The Soviet Union lost a whopping 13.5% of its population to the war. So in short, strategically a lot of it made sense at the time. The operation was blundered because the blitzkrieg was not fast enough, the underestimation of the kind of force the Soviet Union could pull together and an underestimation of the cold winter. The plan was also delayed because of setbacks in the Balkans and helping the Italians out where they had failed. It's hard to find actual strategic proof of what was going on through Hitler's mind and his advisors to take on this risky operation. We do know however that these had been a part of Hitler's plans for years. In my opinion, it was probably thought at the time the odds were in Nazi Germany's favor. In all reality, the Germans had a pretty good chance of winning the war within six months, perhaps if just a few variables had changed they might have actually pulled it off. If they could have gotten there a month earlier, they probably would have won. Also Great Britain was absolutely in no position to put up any kind of resistance except for the occasional bombing run, which was producing much larger losses than they could keep up with equipment wise. Also Stalin and Hitler were not real allies, they only had a non-aggression pact, and both were not exactly known to be trustworthy. Stalin was also at many times gullible and Hitler took advantage of this diplomatically. Even when warned that Germany was going to invade, Stalin dismissed his advisers.   Taking in all these factors, the thought probably never occurred to Hitler and his officers that the Soviet Union would ever be able to launch any kind of counter attack. It took quite some time and the United States to intervene for the Soviet Union to really begin its successful counter-offensive. Edit:
I just today found some great and rare recordings of Hitler actually talking about his exact thoughts on the invasion of the Soviet Union.  I can think of no better source of information to answer this subjective question other than the words of the man himself.  This recording is a truly incredible piece of historical record. Hitler Speaking Normally (YouTube): The Hitler-Mannerheim conversation Edit 2 Here is a link to an English translation transcript of that recorded conversation between Adolf Hitler and President Carl Gustaf Emil Mannerheim of Finland. Transcript of the Hitler - Mannerheim Conversation In this translation Hitler describes his absolute disbelief of how well armed the Soviet Union was at the beginning of the war.  Hitler describes how German tanks were not well equipped for winter fighting.  He also describes what he calls the weakness of Italy, where the Germans helped them in North Africa and in Greece and Albania. Directly quoting Hitler on his fear of an early war with Russia and the loss of valuable petroleum wells in Romania. This all naturally was inevitable, you see. I had a conversation with
  Molotov [Soviet Minister] at that time, and it was absolutely certain
  that Molotov departed with the decision to begin a war, and I
  dismissed the decision to begin a war, and I dismissed him with the
  decision to - impossible, to forestall him. There was - this was the
  only - because the demands that man brought up were clearly aimed to
  rule, Europe in the end. (Practically whispering here.) Then I have
  him - not publicly...(fades out). Already in the fall of 1940 we continuously faced the question, uh:
  shall we, consider a break up [in relations with the USSR]? At that
  time, I advised the Finnish government, to - negotiate and, to gain
  time and, to act dilatory in this matter - because I always feared -
  that Russia suddenly would attack Romania in the late fall - and
  occupy the petroleum wells, and we would have not been ready in the
  late fall of 1940. If Russia indeed had taken Romanian petroleum
  wells, than Germany would have been lost. It would have required -
  just 60 Russian divisions to handle that matter. In Romania we had of course - at that time - no major units. The
  Romanian government had turned to us only recently - and what we did
  have there was laughable. They only had to occupy the petroleum wells.
  Of course, with our weapons I could not start a, war in September or
  October. That was out of the question. Naturally, the transfer to the
  east wasn't that far advanced yet. Of course, the units first had to
  reconsolidate in the west. First the armaments had to be taken care of
  because we too had - yes, we also had losses in our campaign in the
  west. It would have been impossible to attack - before the spring of
  19, 41. And if the Russians at that time - in the fall of 1940 - had
  occupied Romania - taken the petroleum wells, then we would have been,
  helpless in 1941. -Adolf Hitler Another Voice In Background: Without petroleum..."
When did people decide that all caps means the writer is shouting?,"The tradition of all caps denoting shouting arose from typesetting of printed publications. The 6 September 1958 Bookseller: The Organ of the Book Trade says: It [a 16 page list of books] picks out titles in red, and speaks moderately with large-size upper and lower-case letters rather than shouting with all caps. The effect is pleasing to anybody in a contemplative mood. And more than a century before that, in ""The Dutchman Who Had the  Small Pox"" in the 17 April 1856 Yorkville [South Carolina] Enquirer and many other newspapers: This time he shouted it out in capital letters Likewise, ""The Sore Grievance of John Wellspanked"" in 6 May 1871 The Shamrock says: ""TWELVE shillings and SEVEN pence?"" roared my aunt in the biggest capital letters Similarly, ""Imaginary London"" in the June 1873 Belgravia says: '...Here, cab, cab, CAB!' The last monosyllable was a yell to which only capital letters can give due impression Even more clearly, the 1880 The Standard speaker and elocutionist has a section of the book titled: SHOUTING STYLE This will be seldom needed throughout an entire piece, but wherever the words imply calling, or commanding, it will be in keeping with the words to employ it. As examples note the following selections marked in CAPITAL letters as the appropriate place for shouting emphasis. The 1880 book then goes on for pages with examples from literature of all caps being used for shouting. However, the earliest indication of a standard that I have found so far is from the 1852 Singing for Schools and Congregations: A Grammar of Vocal Music: It is proposed that-
CAPITAL LETTERS, in printing, or double lines under the word in writing, should distinguish words to be sung louder Another clear example is from the 1860 Elementary books for Catholic schools, explaining how to read stories with italics and all caps: when you come to a word printed in this way [italics], you must read it more distinctly than the other words. ...And began to scream out as loud as he could,| ""HELP!HELP!HELP!"" Observe these last three words: they are printed in capital letters letters because they are very important.  The man cried, ""help!"" very loudly."
Did the ancients or other pre-industrial civilisations engage in unsustainable practices?,"Most ancient agricultural practices deplete soil to some degree, but are just fine when population does not exceed certain limits. There are some examples of ancient cultures exhausting natural resources available to them - Pitcairn Island Polynesians, Ancient Puebloans (Anasazi). It's the cause of the semi-nomadic way of life of many early societies - your herds graze the grass into oblivion, you move to another patch to return back when the grass grows back in; or you deplete the soil by overplanting, you move to another spot of land and start over, and so on. But there's an important distinction to be made. Early societies were naturally regulated just as animal population are - by food resources. When food grows scarce, hunger strikes, and humans either start fighting for what's left, reducing population to more manageable levels, or migrate to not yet depleted lands - only cases of actual extinction are from island civilizations which cannot readily move. Meanwhile, globally environment stays balanced, and depleted spots are replenished from outside - slowly healing the damage. Modern humanity has no place to move - all land is already claimed by someone, so we have to make do with what resources we have - and consequently affects the world at global scale, which earlier cultures were incapable of. Sustainability is not about return to pre-industrial way of life - it is unsustainable at modern population levels. It is about preserving the environment in human-habitable state - both by taking less from nature and by increasing effectiveness of usage of what we do need to take."
Why was France granted an equal status among victors of World War II?,"Before answering, just to take issue with the premise of the question. Yes, France received a permanent seat on the Security Council, not to mention her own occupation zones in Germany and Austria. But France was not accorded a status anything like the ""Big Three"" in most other respects. From May 1943 De Gaulle was operating independently from French territory in Algiers but he was consistently slighted and ignored by the British and Americans. He was especially wounded by the practice of the American authorities coming and going as they pleased in Algeria without even a nod to French sovereignty and, later, when he was left in the dark about D-Day. The French were either excluded or allowed only minor roles at the Casablanca, Yalta and Potsdam conferences. However it shouldn't be surprising that in certain respects (Security Council, occupation zone in Germany etc) France's status as a nation of the first rank was soon restored. For one thing, De Gaulle, impressively and consistently, had worked for almost nothing else but the preservation and rebuilding of the status of France since founding the Free French in 1940. He certainly valued that task higher than shortening the war or aiding his allies which was why he so maddened the Americans and British. But it did earn their grudging admiration (or at least Churchill's) and, crucially, it meant that no one in 1945 could doubt that France was an independent power and not merely liberated territory with a government installed and directed by the Americans. Secondly De Gaulle had diligently courted Stalin between 1943 and 1945 and, while they had nothing like a friendship or alliance, it meant that Moscow wasn't unwilling to accommodate the French at the top table (especially if they could be used against the Americans, see above). And also remember that the statesmen reshaping the world after 1945 weren't operating in a historical vacuum. Their perceptions of the relative significance of nations would have been altered, certainly, but not wholly revised. France after all had had one of the largest armies and air forces in the world in 1939, and the fourth largest navy.  Even after the war France remained second only to Britain in terms of imperial possessions. Her soft power (though in decline) remained substantial throughout the 20th century. The role and importance of the French language throughout Europe shouldn't be underestimated. Finally it would be a mistake not to recognise that in 1945 the British and Americans needed a friendly continental land power that to take a lead in policing post-war Europe and the only conceivable candidate was France. Britain didn't see herself as a continental power and - prior to the Marshall Plan and Truman Doctrine - there was no guarantee the Americans were going to hang around."
Do historians agree that most wars are caused by religion?,"The idea that ""most wars are caused by religion"" is trivially false. From what I can see, this is a rhetoric rooted in a critique of theism, rather than serious historical analysis. Even a casual survey of history shows most wars had little to nothing to do with religious differences - according to quasi-original research on Wikipedia, only 6.98% of known conflicts were religious. To my knowledge, there has been no formal polling of academics on the subject. Nonetheless, we may infer a prevailing opinion of historians from their research. While existing works only examine the modern period, they all point to the same conclusion: Territory, not religion, is the most common cause of war. 
Territorial disputes is the leading cause of war throughout the centuries. Source: Holsti, Kalevi J. Peace and War: Armed Conflicts and International Order, 1648-1989. Cambridge University Press, 1991. (Although the works cited below are time-limited, there is no obvious reason to believe the underlying patterns of wars would be significantly different in the pre-modern world. Even the Muslim Conquests or the Christian Crusades were isolated and punctuated by many non-religious conflicts. The European Wars of Religion were a historical aberration, not the norm.) First, let's consider the analysis of modern wars by Evan Luard. He divided post-1400 history into five periods and noted that the primary causes of war shifted over time. To briefly summarise, his findings were: However, other historians have noted that: [W]hile Luard declines to nominate territory as the dominant factor throughout the centuries, nevertheless, territorial issues keep cropping up in his analysis - in connection with issues of succession, dynastic disputes, or state creation. Thus, Luard probably underestimates the importance of territorial issues in fomenting wars. Cashman, Greg. What Causes War?: an introduction to theories of international conflict. Rowman & Littlefield Publishers, 2013. Luard's analysis is evaluative rather than qualitative. For the latter, consider the survey by Kalevi Holsti in 1991. He divided the post-Westphalia history of conflict into five periods and attempted to classify their causes into rather narrow categories. The results were as follows:  As you can see,  ""Territorial issues"" are the only ones that have been among the dominant issues in each of the periods [1648-1714, 1715-1814, 1815-1914, 1914-41, and 1945-89]. In four of the five periods, more wars have involved territorial issues than any other kind of issue, exceeded only in 1815-1914 by the ""maintain the integrity of state/empire"" issue, which is an issue obviously related to territorial concerns. Vasquez, John A. The War Puzzle Revisited. Cambridge University Press, 2009. In contrast, as you can see from the table, religion began at only 6% and has steadily declined since then. This is dwarfed by the number of wars over control of land or resources, even in our current period when territorial conflicts are at a historical low. As the following table demonstrates that territorial disputes constitute the vast majority of all wars since Westphalia: 
Source: Vasquez, John A. The War Puzzle Revisited. Cambridge University Press, 2009. Of course, Holsti's analysis began only after the European Wars of Religion, identified by Luard as the same period religious differences were a leading cause of war. Nonetheless, the fact that religion all but disappeared as a cause for war in the centuries since is strong prima facie evidence against the claim that it could have caused ""most wars"". Fundamentally speaking, wars are nearly always driven by some kind of self-interest. Land, historically near synonymous with wealth, was of prime interest to most polities. Consequently - without discounting the genuine effects faith may have on true believers - religious (as well as ideological, nationalistic, etc) reasons are just as likely a source of legitimacy for using force, as it is a motivation in and of itself."
How do historians and linguists know how to pronounce the names from non-phonetic scripts?,"By comparisons with known languages. Let's take the example of Egyptian hieroglyphs. It is well known that the ancient Egyptian script was decoded thanks to the Rosetta Stone, which recorded an identical passage in Ancient Greek, Demotic, and hieroglyphs. The ancient Egyptian language, and hieroglyphs, were thus deciphered through comparison with the relatively well understood Greek. Naturally, in this process, scholars identified Greek names and the corresponding hieroglyphs. While the pronunciation of normal words no doubt varied wildly between different languages, names are generally transcribed into foreign languages phonetically. Thus Ptolemy Epiphanes (from the aforementioned Rosetta) written in Egyptian hieroglyphs would, presumably, be pronounced similarly to Ptolemy written in Greek. 
The phonetics of hieroglyph names correspond to names known from other languages. If the language survives to the modern day, even if only with another script, it can provide valuable pronunciation hints for partially translated hieroglyphs. This was how the great Jean-François Champollion identified the names Ramesses and Thutmose at Abu Simbel, by leveraging his knowledge of Coptic - the final descendant of the old Egyptian language. He noticed a cartouche containing the hieroglyph for sun (still ra in Coptic), an unknown glyph, and then s repeated twice. 
Hieroglyphs for ""Ramses"". The double s at the end had been identified earlier (see Ptolemaios above). Champollion then intuited it's the name of the Pharaoh upon realising that the sun glyph is pronounced ra as in Coptic Pronouncing Sumerian is a much harder challenge. It effectively died out four thousand years ago, and went fully extinct by the 1st century AD. And as a language isolate Sumerian has no known descendant or even any related languages. Fortunately, Sumerian was an extremely influential language in its time and heavily affected Akkadian, which replaced it and adopted the same cuneiform script. This became key with the discovery of the Behistun Inscription - the Rosetta stone of cuneiforms. It contains cuneiform inscriptions in Old Persian, Akkadian, and Elamite. Old Persian had been partially cracked prior to this mostly in the form of place and royal names, but with the new find Sir Henry Rawlinson was able to fully decipher it in 1849. Then, starting with the names found in the Persian version, Reverend Edward Hincks and later others then deciphered the Akkadian version. As mentioned earlier, Sumerian had an immense influence on Akkadian, including numerous loan words. With the decipherment of the Akkadian cuneiform, we now know how the language was written. Moreover, while Akkadian itself have gone extinct, as a Semitic language it has many living relatives. It thus became possible to reconstruct the original language of Sumer. Needless to say, the reconstructed pronunciations of Sumerian are far from certain. For example, King Ur-Nammu was previously thought to be Ur-Engur or Ur-Gur. His son, Shulgi, likewise was misread as Dungi, and grandson Amar-Sin used to be Bur-Sin. This is a bit of a side note, but a somewhat similar problem was present in Chinese. Even though the language is far from dead and the writing stayed static, the pronunciation of Chinese characters have changed drastically over the millennia. Pronunciation guides were created starting with the Qieyun in AD 601. However, that still leaves a gap of over a millennium with Old Chinese, not to mention the oracle bone script from which it was derived. Unlike a phonetic/alphabetic script, these changes are impossible to trace from the script alone. In fact, Chinese scholars did not even notice the pronunciations have changed. The first realisation came from Chen Di in the late Ming Dynasty, who realised that the apparent lack of rhyming in ancient poems, such as those from the Classic of Poetry, was actually because the sounds had shifted in the intervening millennia. In this case, Chen had a huge corpus of ancient texts available and understood the meaning of each character well. He was thus able to begin reconstructing Old Chinese pronunciations by systematically mapping which words rhymed with what."
"Why, in ancient battles, did being encircled mean defeat?","While the tactical factor (not being able to move units around) is important, the main issue is one of soldiers panicking. Remember that it does not matter what the numbers are actually; your soldiers cannot see the lines in the map and are victims of the fog of war. Soldiers in the battlefield do not get to see a nice map showing the position of the units, how thin the enemy lines are and how many of each side are still fighting. Specifically in the classic massed infantry fights, all that they can see is lots of people around them; particularly you do not see how many lines of enemies are before you even if you are in the front line of your army. Now, you are doing your part, advancing forward, with your back and your sides protected by your fellow soldiers, so you can concentrate on using your weapon and shield in the front. Life is good. Suddenly you hear a commotion at your back. The soldiers behind you move forward, pressing against you. You do not know exactly what is happening, but it is something very worrisome. Then word spreads that the enemy is attacking at your back. You do not know exactly what is happening. Maybe you are not completely encircled and there are still gaps left for you to flee. You know that if the other soldiers try to flee and you stay put you will be slaughtered, because nobody will be defending your back. But maybe – just maybe – if you start fleeing right now you will get an opportunity to make it home. And you fear that all the soldiers around your are thinking the same; maybe the rout has already started and you are just missing your opportunity. If you are in front of the enemy, you do not want to be the one holding the line while everybody behind you is fleeing, leaving you undefended. You move back. If the soldier behind you does not move, you push with your back, until he leaves you a space to retreat to or everyone is so tightly packed that you cannot move. So, at some time, the soldiers panic, they stop trying to fight and only think about fleeing, about finding a gap that the enemy still has not closed; the army just stops being an army and the rout happens.  You do not ever need the army to be surrounded, routs happen all the time when the soldiers of one side figured (rightly or not) that they were going to lose. Typically, most of the casualties of the battle would happen as the rout developed."
Did China ever consider a phonetic writing system?,"There were at least a couple of alphabetic script attempts developed for Chinese. However, none of them really caught on. There are significant barriers for adoption of any kind of phonetic writing scheme for Chinese. The main issue is that the mostly-logographic system China uses has historically been covering up for the fact that quite a few Chinese ""dialects"" are not mutually-intelligible (eg: Cantonese, Suzhounese, Sichuanese)1. IOW, they are really separate languages. On top of that, large swaths of the country are inhabited by people who even the Chinese will admit don't speak Chinese.  You obviously can't write a single document for several completely different languages using a phonetic-based writing system, without having to translate everything you write into every one of the different languages. Not only is that a crazy amount of work, it would erect brand new cultural barriers between all the various languages. Its possible the entire popular concept of ""China"" as a culturally unified unit could fall apart. This is why they've been forced to stick to logographs. However, there have been some (non-ethnic Chinese) Chinese rulers who had an even more expansive agenda. The Yuan (Mongol) dynasty at its height controlled China, Mongolia, Manchuria, Tibet, and Taiwan. There was a desire by the ruling Mongolians to have a single script that could be used for all their domains, and since the existing Mongolian script wasn't even great for Mongolian, at around 1269 they commissioned a Tibetan monk by the name of Drogön Chögyal Phagpa to develop a more suitable script. What he came up with was an alphabetic system that tied the letter glyphs together by syllable2. For a while it was the official script used across the Mongolian domains (regardless of language). However, the Mongol (Yuan) dynasty was quite brief, less than 100 years, and the following native Chinese dynasty understandably wasn't fond enough of this foriegn-imposed script to keep with it. It continued in use for a while in other countries, but not China.3 There was also Nüshu. This was a fully phonetic syllabary, which means it only needed about 120 glyphs (with a further 500ish logographs borrowed from Hanzi). The story of Nüshu is probably the best example a historian could ask for of the problems posed by trying to promote a phonetic writing system in China. It was regional (as it would have to be, covering only one dialect). In this case, the dialect it covered was Tuhua, which is of course mutually unintelligible with any of the major Chinese dialects, and is spoken only in the border regions of three neighboring south China provinces. Obviously the script wouldn't be of much use outside those areas, as its ""installed base"" of Tuhua works wouldn't be intelligible outside those areas. The script was so low status compared to Hanzi that it was used almost exclusively by women and its history wasn't really recorded. But we know it is at least as old as the 13th Century, and probably no older than the 10th. Its usage seems to have fallen off drastically once women were allowed the level of education required to learn Hanzi. According to Wikipedia, the last proficient user died in 2004.4 There are several transcription systems used to translate Chinese into other existing writing systems, like the Latin and Cyrillic character systems. However those appear to be mostly used for the benefit of those who don't speak Chinese, or for those who don't have easy access to native Chinese keyboards, displays, and whatnot. 1 - This would be roughly equivalent to a single government conquering all of Europe and declaring that its (mostly Indo-European speaking) residents actually speak the ""European"" language, German is the official dialect, and English, Dutch, French, Spanish, Russian, etc. are all just regional dialects of European. 2 - Sort of like Korea's Hangul. There has been some discussion about if this is a coincidence or not. 3 - Korea's Hangul actually had a very similar historical trajectory, for similar reasons. Its ease of use actually made it unfashionable, its use was actively attacked, and it wasn't until the 20th Century that its status improved and it became the preferred script."
Were there women who were against giving women the right to vote?,"Strange at it may seem, there was a movement called ""anti-suffragism"" in the U.S. and U.K. composed mainly of women. Their numbers were small, since this posture would have been ""counterintuitive."" The Americans were composed mainly of ""conservative"" women who liked the division of duties and society between ""domestic"" (for women), and ""outside,"" for men. On the other side were radicals like Emma Goldman, who favored ""anarchism,"" instead of working within the system, through suffrage."
Why did Native Americans die from European diseases while Europeans didn't catch serious diseases from the New World?,"Europeans were introduced to at least one important disease from the Americas (syphilis), but far more Old World pathogens were introduced to the Americas than vice versa. There are several reasons for this imbalance. European agriculturalists lived in closer proximity to disease vectors than did most Native Americans. A number of important diseases started with pigs, fowl, and so on before making the leap to humans. The Americas had fewer large mammals than did Eurasia, and so there were fewer candidates for domestication. Accordingly, American agricultural communities picked up fewer diseases than did Eurasian agricultural communities. Europeans were part of a much larger human community than the Native Americans. Europeans had already been exposed to Chinese pathogens from at least the 6th century AD. The high volume of trade in the Mediterranean and the Indian Ocean over the next millennium meant that Eurasia was, from the perspective of many pathogens, a single community. Diseases like the plague could travel from Asia to Europe more easily than a pathogen could travel up and down the Americas. This is in part because the East-West axis had more similar climatic conditions than the North-South axis. Eurasian trade also involved sailing vessels, which carried rodents. Rodents were some of the nastiest disease vectors, and plagues often originated in port towns because of these stowaways. For all of these reasons, 15th-century Europeans (and their ancestors) had experienced a wider variety of germs than had their American counterparts. Population densities were much greater in Eurasia, and there were more Eurasian cities than American cities. Cities were unhealthy places where diseases could remain ""endemic"" in the human or rodent population. By some estimates, a disease like measles can only be sustained in cities with a population over 500,000. In the Americas, only Tenochtitlan approached this. American pathogens might die out due to lack of ""reservoirs."" For example, there was at least one plague of American origins that killed from 7-17 million Mexicans in the 16th century. After killing 80% of the native population, the disease simply disappeared. We actually have very little idea what this disease was, or if it could appear again. The long history of epidemics, plus the presence of disease reservoirs in European urban communities, did mean that natural selection on disease resistance was a larger factor in Europe than in the Americas. Europeans had better immunity to most communicable pathogens than Americans (see @MasonWheeler's excellent answer), which also made them ""better"" disease vectors. Of course, Eurasia was not the only Old World disease reservoir: African pathogens like that responsible for yellow fever were able to establish themselves in the American tropics. In these cases, it was the African slaves who had acquired  resistance to the disease. While Europeans may have suffered from African pathogens along with the native Americans, these still go into the ledgers as Old World diseases, and they just make the imbalance of the Columbian Exchange all the worse. All of this can be read about in more detail in Jared Diamond's Guns, Germs, and Steel. Also, read the comment thread here, where @Himarm and @Odysseus in particular make some good points pushing back against my answer."
