question,answer
How to deal with excluding my son from the favourite activity of his peers?,"When I was around your son's age, my mother was worried I was playing too many video games.  Her strategy was to get me involved in other after-school activities, like theater, which I ended up loving.  As long as this is your child's only peer group, and that is their only activity, the game will be irresistible.  He'll need something else to fill the gap --music, or sports, or art --and other kids to be around, whose parents have made similar decisions as you have.  The peer group is EVERYTHING at this age.  (You also could probably benefit from the moral support of a group of like-minded parents.)   If he does develop other interests, it's possible you might eventually be able to relax the rules without him going crazy.  For what it's worth, even though my mother never actually forbade video games for me, I just never got as deeply into them as my peers, because I had so many other things I was interested in. I won't claim I never went through the occasional video game binge, but it never lasted.  I'm pursuing a similar strategy with my own kids (a little younger than yours) and it seems to be working out so far. (Although nowadays my mother seems completely unconcerned about letting my kids play games at her house --go figure!) NOTE: Based on edits to the original question, plus comments made on this one, I ended up posting a second answer that suggests ways to try to work with the other parents affected, instead of giving up on this peer group.  I'm leaving this answer here because I think this may still be the best solution for some parents with similar situations to the OP."
How to prevent my child from being indoctrinated with Christianity? [duplicate],"Well, I would first try not to indoctrinate him myself. If you want him to make a conscious choice, you probably should be very careful with your reactions. I'm myself agnostic but coming from a Christian culture. My 6 year old girl goes into a non-confessional school but yet manages to talk to me about Jesus and so (we're in Belgium, so a country that is traditionally rather Christian). I try to be careful myself not to tell her things like ""this is just a funny story"". When asked about religion(s), Jesus, and so on I try to be as neutral as possible with speeches like: A lot of people think there is a god, some think there are many gods, some others believe there is no god at all, and some other just don't know. Daddy is part of these people who don't know. I'm also very keen on extending some explanations about who Jesus is for the Christians and so on, within the limit of my own knowledge. I'm quite sure in the future if more questions arise I will invite her to look for the answers herself.
Now I must admit this neutral position might be harder to hold when your kid is constantly exposed to things like preachings, but I consider it very important to really let her the free choice of her own convictions, and even to change it as she evolves. As a side remark, I must admit I don't know the German situation at all, but I'm really surprised by what you describe and the impossibility to find a non-confessional kindergarten."
Teenage daughter refusing to go to school,"(Background: I saw this question on SE and am answering from an anonymous account because of personal details). I'm not a parent but feel the need to post because this resonated strongly with me. Your daughter sounds like she's otherwise a normal, bright and happy teenage girl, with no major problems except for this school attendance issue. It's also obvious that the extent of her dislike for school is far beyond a typical teenage rebellion or desire to skip class. Please also understand I am not trying to worry you with this answer. What you describe sounds very much like she's being abused at school. Most likely severe bullying by other pupils, but it's also possible that the staff are to blame either because they actively participate in the abuse or willfully ignore the abuse from pupils. While she obviously has to attend school, I think her attendance is less important than the underlying issues now - she can catch up academically later on anything she misses due to low attendance, but there's a real possibility that being at school is now harmful to her. At the age of 12-13, I acted quite similarly to what you describe. Due to the school system back then, I didn't have to physically resist going to school, but it was possible for me to fake attendance, to which I devoted a lot of effort. I rarely went to class, was evasive on any school-related subjects with my parents, and was particularly evasive regarding various material possessions (there were no lockers or such though). PE was my biggest problem and I skipped PE lessons for a year, even on days when I otherwise went to class. This is why your daughter's behaviour sounds familiar. My issues were primarily caused by bullying from other kids, with most of the staff silently ignoring it. I was constantly verbally and psychologically bullied, with occasional attacks on my possessions - my bag or books would be stolen or damaged, once my schoolbag was stolen and then thrown at a teacher's head out of the window, attempting to frame me for that. PE lessons were when the bullying quite consistently was worse, even getting physical. I had sometimes had my clothes stolen or destroyed, and of course PE, due to its nature, provided plenty of opportunity to do things like ""accidentally"" hitting me in the face, over the head, tripping me over, and so on. The PE teacher was, as I understand now, also an adult that shouldn't have worked with children - the teacher would often verbally humiliate me and make jokes at my expense (I was a kid with a small build and mediocre coordination). This is why PE eventually became the focal point of my school problems and I started skipping it entirely - and I was definitely willing to violently resist had anyone tried dragging me to PE. I strongly suspect your daughter is experiencing something similar. If she's being bullied, the bullying could also be centered around sensitive issues. Having slight body issues is not too uncommon for a girl her age, but bullying could turn those into severe issues, such as her being afraid of her overall chest shape being seen. I also find the school's behaviour very worrying. If they know about her problems from you, and are themselves being evasive about lockers and threatening to prosecute your family, then it's possible that the school is covering something up, such as the staff knowing about the bullying but neglecting it. Your daughter may benefit from a therapist. Assuming my guess is correct, she really needs to feel safe - which she doesn't at school. She needs to be fully aware that your first priority is her general well-being and not her grades or attendance right now. Ultimately, you need to get her to a point where she's comfortable telling you the truth, even if it is that she's being abused at school and threatened against talking about it or even changing schools. My suggestions, specifically: Do not assume the school has her best interests at heart, don't assume that she is safe at school (mentally first and foremost). If she has any good friends at school, talk to them in private. Ask them if they have any idea that could help you. I specifically mean her friends, not their parents - if there's a major problem, her same-age friends may have noticed something but their parents would likely not know. Look into appropriate therapists who could help your daughter talk. She might find it easier to open up to a stranger. Let her know, very explicitly, that you will not blame her for any problems other may cause her, and that your first priority is her well-being and safety. Let her know you're willing to send her to a different school or do anything else that may help her. She may be almost ready to tell you the truth but be too afraid of your reaction."
The teacher erased 3 pages of my 5 year old's completed homework,"This teacher is carefully producing a future math-hater.  I've worked with enough high school students to know. I've also worked with enough people in personal counseling to know that whether you care to face it or not, this sort of work is NOT accidental.  This is a deliberate, even if unconscious, effort to sabotage your child's learning. At that age the MOST important asset your child has school-wise is a love of learning.  Nothing can substitute for that.  A teacher who will destroy a love of learning in pursuit of a perfectly written piece of homework—entirely invalidating the careful hours your son put in to do a good job—is valuing form over content to the point of insanity.  One could also say it is valuing mechanics over purpose; whatever you call it, it is totally counter-productive. Personally, I value my son highly, and I respect his rights and dignity as a person.  I would remove him immediately from the influence and power of this teacher. When I was very young (about 8 years old), my parents sent me to a new school.  It was supposed to be an excellent school, with an excellent curriculum, etc., etc.  I only went for a semester, and then (to my relief) I went to another, smaller school where I enjoyed myself much more and where, even though the curriculum wasn't as jammed with ""high value subjects,"" I learned a lot more a lot faster.  And had more fun.  I subsequently finished 4th, 5th and 6th grades in the same year, and went on to graduate High School (12 grades) by the age of 13. Years later, talking to my mother, I found out why she had taken me out of that prestigious new school after only one semester.  It was because she found out I didn't like going there.  That was the only reason. (Thank you, mom.) You know your child.  You care more for your child than anyone else on the planet, and you know what is best for your child.  Don't let anyone tell you otherwise.  If you don't like the approach used by that school, don't let your child be subjected to it."
My 3 year old daughter thinks she is white. Should I tell her she's not?,"While I believe @RoryAlsop's answer is the best approach, I do appreciate that things might be a little more complicated for you in the American South, where there is a strong history of discrimination based on the color of one's skin. I don't know what it's like where you live, but there's no harm (I believe) in beginning gentle discussions of history, and that the current thought should be that we are not ""better"" or ""worse"" based on the color of our skin. If you live in an area that still has discrimination, and you're worried that your daughter may be hearing about it/experiencing it already, the time has come to start building her moral compass about 'color'. The world is full of examples of non-white heroes. Not knowing exactly the situation, if you think there might be some talk already, start discussing (on her level) the works of great people of all races, including white. If she grows up in a loving family that doesn't care about the color of one's skin, she will better be able to ignore or answer those who do when the time comes."
What can I as a teenager do about my insanely strict parents?,"Sit them down for a big, honest conversation. Don't make it about what you want, though. Make it about what they want, and especially ask them, honestly, how they think what they are doing right now is preparing you for your adult life. Ask them how they think you'll be able to handle the adult life when you head out to college with zero prep. Ask them what they think will happen when you are free to go out and hang out with whomever you want at college but you have zero experience to tell apart the nice guys and the dangerous guys. What happens when you suddenly have uncontrolled access to the internet when you've never used it before. Clearly, they are worried about these things. But they have about 3 more years in which they can shield you, and then they will be letting you go into the world with zero preparation. Ask them honestly what they think will happen. If they claim that they are raising you to resist these temptations, remind them that you aren't being raised, you are being forced, and you aren't given any opportunities to learn for yourself. Remind them that you disagree with their stance, and the only reason you're behaving as they want is because they make you, and that you won't behave the same way as soon as their oversight is gone. And remind them that young people screw up a lot while figuring out how life works. The smaller the situation, the smaller the danger. Right now, if you hang out with friends or on a date, they'll be nearby to come pick you up if anything is wrong. (If they give you a phone, anyway). If you're in college, far away from them, you'll be on your own. The only thing that'll protect you there, is your experiences growing up. Worst situation, remind them that you will be free to go even if they don't want you to when you turn 18. Since this sounds like a threat, you'll want to avoid it if at all possible, but if they don't realize it, it might help to point it out. And finally; if the above makes it sound like you'll be in a really hard position when you leave for college, well, you will be. Don't let it deter you, though. Life requires a lot of experience, including a bunch of bad ones, and you'll have a lot of catching up to do... but you need to do it someday. The earlier the better."
"Should I punish my teenage sister, whom I have full custody of, for lying to me in order to secretly see her boyfriend?","Your sister got herself into a situation that she felt she needed to lie about. She could have continued doing that in the hope that she never got caught out, or until some crisis point where she was found out involuntarily. But instead, she chose to take the tough decision and confess to you, to allow things to be better in the future. She took the adult path of dealing with an uncomfortable situation actively: despite the immediate negative consequences of admitting her past behaviour, she wanted to be open with you and resolve the problem. In behavioural psychology, we term a ""punishment"" as something that reduces the frequency of a target behaviour, as opposed to a reinforcer, which increases the frequency of a behaviour. In this case, you want to reinforce her (impressively) good behaviour: her brave decision to admit to past misdeeds and to involve you actively in this new part of her life. Focus on that, rather than on punishment of the earlier behaviour. In your discussions, feel free to say how the deception was wrong or hurtful, but emphasise how much you value that she was brave enough to resolve that openly, and that she trusts you enough to do that.  Repay that trust: from now on, she will be dealing with many other adult-level problems. The key thing is to say that you hope she can be open with you from the beginning in the future. If that is to happen, she needs to see that her openness and honesty is received positively by you. So in essence, discuss the past deception openly but don't attempt to punish it. Focus on reinforcing her newly honest approach. Lastly, given your own age, what a wonderful thing to be doing to take on the responsibility of raising a teenager. I hope you'll be receiving a lot of positive reinforcement for this yourself."
My girlfriend has mentioned disowning her 14 y/o transgender daughter,"How do I best protect Emily ... from the bullying she's experiencing from [her mother]? You are in a tricky situation.  It's very likely that you will lose your girlfriend and Emily over this issue if you do not somehow figure out how to support both parent and child.  Given that you are not Emily's father, nor her mother's husband, you have absolutely no legal rights in this situation. As such I believe you have two very difficult tasks. First you need to make sure that mom feels safe and comfortable staying with you.  If this argument escalates to the point where she believes she will lose control of her child's life, it's unlikely that she will choose you over her child.  You understand your relationship better than I, so perhaps you can weigh the risks better, but pushing against mom might not actually help Emily.  It may be that Emily's best chance is if you support mom in slowing down Emily's transition so that it can happen at all.  Going slowly is better than Mom and Emily leaving and not having any support at all. Second you need to support Emily and help her to see the advantage to moving more slowly.  She may have been considering this for months or years, and she may be ready.  It may be true that she shouldn't have to wait for others to become ready.  But unlike abortion - where in some jurisdictions you can undergo a medical procedure without a parent's knowledge or permission - sexual transition therapy is not something that can be done by herself without her mother's knowledge and permission.  Not legally at any rate. Further, she's only 14, and she's making a decision that will irreversibly change her life.  While it's an important time to make the transition if that's the decision, it's equally important to make sure it's the right decision.  So at this juncture it may be best to help her understand that she's got her whole life ahead of her, and she can go through this process more slowly.  Jumping in all at once may not be in her best interest, given her mother's opposition. If you can thread the needle, so to speak, you have a much better chance of being able to support Emily throughout this transition than you do if you actively oppose her mother's decisions for her child. ...should [I] be taking steps to become Emily's legal guardian...? I don't think you have any real chance.  If you can show real harm to Emily - as in the treatment of her mother fits the legal family court definition of child abuse - then you might have a possible chance, but you might also find that her mother shuts you out of the process legally and Emily instead ends up in foster care or with other relatives.  In either case you lose influence in this situation. If you have any desire to do anything legally you should consult with a good family law lawyer. It may well be that in some particular areas of the country courts and judges will be sympathetic to the plight of transgender teens and award guardianship to non relatives, but I wouldn't suggest this to either Emily or your girlfriend until you have spoken with a lawyer and understand the likelihood.  If Emily knew you were pursuing this, she may get a false sense of hope, or tell her mother in the heat of argument.  Once mom finds out you are even considering taking control of any part of Emily's life without mom's consent or approval I believe you will lose both."
I am 21 and I am terrified beyond belief of my father,"You are 21. You are an adult under Egyptian law. If you need missing papers, you can apply for them without having a guardian. You only need someone to vouch that you live with them, which brings us to: Do you have any person you trust you can talk to? Can this person shelter you or provide you with shelter elsewhere? Don't go to Churches: You surely know about the problems caused by convert girls in the past. A church might very well send you back to avoid the dilemma (and the angry mob that your father will have no problem in mobilising). Which brings us to, Don't go to Mosques: Unless you know the people personally, which given Islamic tradition is not the case for you as a woman, don't trust them. They might be good people, but they might consider what you do disobedience to the parent. You don't want to take that risk. Instead, check out nearby organisations that are involved with women's rights. A friend active in that regard suggested http://etijah.org/arabic/ to me. It concerns itself with forced marriages and combatting prevention of girls to study. Could you contact them? Seek out similar organisations in your vicinity. Speak with them. They surely have experience in that regard. I read the post to my father and here's what he has to say (unaltered): What about your uncles or aunts? Anyone you can confide in, who could find you a suitable husband? I found this facebook page which concerns iteself with freedom of travel for Egyptian women. I contacted them and they seem eager to assist. That's the most I can suggest with the information you gave. I urge you not to give out too much information. I never been to parenting.SE but this post is in the hot questions bar for all sites on the Stack Exchange network.  I wish you the best. If you are really desperate, create a throw-away email account and message me at the email address in the comments with a proof that shows that the parenting.SE account is yours. If you are fine with disclosing what governorate you are in, I can ask acquaintances what organisations are there (I am egyptian myself although living abroad at the moment) or try to help otherwise. I know the last suggestion isn't fit for the Q&A format, but neither is the question and I think in this case it's appropriate to offer this."
"I'm losing it, with a talkative toddler, a colicky baby, chores, work, and lack of sleep","Ok. I'm going to take a shot at this. I semi-agree with Erica's comment that this could be seen as primarily opinion based but at the same time, it's not and there are methods out there that we parents can share with each other in order to better enable ourselves to handle times like these. The first thing that you need to understand is that this is temporary. This is a realization that has gotten me through many rough times even beyond parenting. My first tooth filling (hate the dentist), my first week of boot camp (arguably the worst), my deployment to Iraq (not fun), my first surgery (and the resulting pain), and (to stay on-topic) the first time having two children in the same house screaming for two different things at the exact same time. These moments are temporary, fleeting, and will be done before you know it. It sounds to me like you two need a break. Not even a date night. Nothing romantic (unless you need that too) but honestly, just a break. Find someone who is fine to watch your kids for a couple of hours and take a nap. In this situation I would find two people to watch both kids separately. One who is good with babies and another who can play with and exhaust your oldest. Get some good quality sleep even if you have to pay for a babysitter and do it sooner than later. Sleep is very important. As much as you want to, don't retreat into your work. I thought I could do this but in the end couldn't bring myself to stay away (plus I had a coworker who wouldn't let me). Be there for these times and rough it out. I know it sucks now but these are character defining moments and, if you see it through, they make your family stronger. The most difficult piece of advice I can give you is clear your plate. Drop some things off of your schedule. Anything that is absolutely not necessary, dump it now. Maintaining absolutely unnecessary activities is difficult and if they're currently adding to your stress then drop them.  The last piece of advice I can give you is to love your family. Love them unconditionally. I'm going to say it and I hope no one takes offense; sometimes children can be a pain in the ass. Despite this though, I have always loved them beyond measure. One day (soon) you'll look at both of them and realize what a gift they are and this time right here will seem all worth it."
