question,answer
Why use story points instead of hours for estimating?,"Using points is one version of what is often called ""Relative sizing."" For a very highly recommended initial perspective, check out this video and then come back. Most uses of story point estimation limit you to the lower end of the Fibonacci series: 1, 2, 3, 5, 8, 13 because the goal is to group things of similar overall size rather than to pursue a highly precise estimate. Story points often take into account three different aspects when estimating: Complexity, Effort, and Doubt. This allows them to more effectively capture the sources of variation that will make an hour-based estimate wrong. Complexity is the ""stuff we have to figure out."" We know we can solve the problem, and we probably have a decent feel for how we'll approach it, but we still have to figure it out. Effort is the sheer amount of stuff that needs done. For me, that example is configuring SharePoint lists, because I knew exactly how to solve everything, and I knew how many there were, but it still took time to run through them. Doubt is about the stuff we don't actually know if it can be done. We may suspect we're on the wrong track, that the technology isn't up to it, or some other factor that would cause us to churn for a while before we figure out if we can actually do the work. Most stories contain a combination of all three, and thus it's useful to have a common language so that when I say ""it's an eight"", I can follow with ""because of the complexity of the foobar algorithm"" or ""because I'm not sure if our cache is set up to handle that yet."" The final point estimate is just a way to say ""taking all of these things into account, I think this is bigger than most of the things we've called a three and smaller than most of the things that we've called an eight, so it must be a five"""
How to Avoid Micro-Managing a Software Development Team? [closed],"- What situations have you been in when
  you've fallen into the trap of
  becoming a micro-manager? I agree with Ashes that this happens usually when there is lack of trust between managers and the team.
Also, this can be a problem of the company's organizational culture, such as with a vertical, hierarchical organization. - How can one tell if he/she is
  micro-managing a project other than
  someone coming out and saying it? If you, in a manager role, survey your development team to know what is the motivation or realize they are leaving the company for the same reason i.e. ""No hope of moving up"", then it may be because the managers own every part of the project and don't let people make their own decisions. The problem is, when resolving conflicts, the manager usually is the one who has less information. If you are making too many decisions to push the team forward then it can be a micro-management warning. - What are some strategies that you've
  used to avoid becoming a
  micro-manager? I like Joel's advice on Command and Conquer and the Herd of Coconuts: everybody owns some area. When they
  own it, they own it. If a manager, or
  anybody else, wants to provide input
  into how that area is managed, they
  have to convince the owner. The owner
  has final say.  every decision is made
  by the person with the most
  information. management is extremely
  flat. Ideally, managers just don't
  have time to get their fingers in the
  pies of their reports. You may be
  interested to read about a GE plant in
  North Carolina that has 170 employees
  who all report directly to the plant
  manager. Avoid the ""Command and Conquer"" management or the ""Hit and Run"" management, unless you have a ""Herd of Coconuts"" on your development team. In other words, a manager must leave the developers alone."
How to estimate amount of work/man hours for an unfamiliar task?,"Don't place too much confidence on your first guess just because you've used a sophisticated formula to derive your estimate.   Do your best, move on, plan to revise your estimate, don't let bad estimates linger and destroy the discipline of your project schedule ... errors in time estimates are likely to be lognormally distributed... use a method that incorporates an optimistic guess, a pessimistic guess and heavily weights your best guess.   Estimate, test, check, then revise and update your project schedule.  The third or fourth revision of the estimates is usually about as accurate as you can hope for; your second estimate is far better than your first guess ... if possible, try to get a measure from an early trial of a similar or analogous task ... revise the estimate and revise your plan as soon as better data becomes available.   If your first estimate was too conservative, don't allow slack time to corrupt completion of succeeding tasks.  If your first estimate was overly optimistic, make your adjustments EARLY and let your stakeholders and customers know. It's more important to be good at following up, to check your estimates and to competently communicate updates than it is to be a develop skill as an estimator of unfamiliar tasks."
Why would teams use the Fibonacci sequence for story points?,"Some teams also use powers of two, or have a scale like 1, 2, 5, 8, 20. The idea is that the larger the story is, the more uncertainty there is around it and the less accurate the estimate will be. Using the Fibonacci sequence helps teams to recognise this uncertainty, deliberately creating a lack of precision instead of wasting time trying to produce estimates that might also carry a false degree of confidence. Dan North's blog post, ""The Perils of Estimation"", explains this very effectively IMO."
What is the weighting difference between Epic/Story/Task,"In Scrum here is the rough breakdown: Epic - something so big it probably won't fit into a sprint, is not clearly understood in terms of customer requirements and should be broken down into stories. T-shirt sizing is a common way to size epics. Another way is to say we think it could take X to Y iterations to do this work. Epics are usually defined during initial product roadmapping and decomposed into stories in the product backlog as more is learned. Story - something actionable and small enough to fit in a sprint. These are story pointed and defined using INVEST criteria. Stories should deliver a vertical slice of functionality to the customer that is valuable and complete by the end of an iteration. Stories are usually created throughout product development, more so leading up to iteration planning and also during higher level product roadmapping. Tasks - decomposed parts of a story that get into HOW the story will be completed. Tasks can be hour estimated if desired. Tasks are usually defined by the people doing the work (developers, QA, etc), whereas stories and epics are generally created by the customer or the product owner representing the customer. Tasks are created within the bounds of an iteration because they are short-lived. There is very little value is tasking out stories that won't be worked on in the upcoming iteration."
Why can't the ScrumMaster and the project manager be the same person?,"Scrum makes the distinction between supporting the team in WHAT work they do and HOW they do it. Trying to have one person play both of these would create a great deal of conflict. How do you choose in a stressful situation between negotiating features or helping the team grow and reach consensus. A scrum master is a facilitator, how can he/she facilitate if she owns the project too?   ""The Product Owner and Scrum Master roles complement each other; The Product Owner is primarily responsible for the “what” – creating the right product. The Scrum Master is primarily responsible for the “how” – using Scrum the right way. Only when the right product is created with the right process is enduring success achieved.""
–Roman Pichler, “Agile Product Management with Scrum” Here is my visual view between the tradition vs. scrum roles... 
http://skipstoneconsulting.blogspot.com/2011/12/identifying-with-titles-or-what-happens.html In summary, to specifically answer ""Why can't the scrum master and the project manager be the same person""? is because you can not (should not) ask one person to be responsible for HOW the team does their work and WHAT work the team does because under business pressure, the person will cave or favor one side of the spectrum. Mostly likely the ""What"" part. With some there watching over the ""high"" you ensure that quality and good team practices and more are also getting the focus that is needed to keep a healthy performing team, while the other is focused on making sure that healthy performing team is getting good focused input and vision from one source. "
"When to Use Waterfall, When to Use Scrum ?","First of all, it isn't an either-or type of problem. You will find pure implementations of both approaches (pure waterfall being rather rare these days) as well as a mixture of both approaches or some of this, some of that and much of chaos. Then it would be better to discuss heavy-weight formal approaches versus light-weight agile approaches, than waterfall versus Scrum as they are just specific cases. You may want to use formal approaches when: You work for a big client who enforces a very formal approach on vendors. You work on fixed-scope, fixed-price contracts and client doesn't expect (for any reasons) rapid change in the scope. You project team is experienced with specific heavy-weight approach - they know how to deal with it, they know how to use it to deliver a high-quality project. You should consider agile approach when: You work on in-house projects or projects for more flexible clients where you don't have to adjust to client's processes. You work on a project where the scope is changing rapidly (for whatever reason) and you tend to accept the fact. Your team isn't fluent in any specific project management approach as generally agile methods make learning curves pretty smooth in terms of introducing best practices. Having said that, feel free to mix different approaches - whatever works for the team and for the project can be and should be used. You don't get points for being orthodox with any specific approach - you get points for delivering projects. As a piece of final advice, it's better to use potentially worse methods (where worse means one which doesn't suit so well to your specific project environment) but use it well, than use potentially best methods but screw up its implementation. See: Good waterfall is better than bad agile"
How technical should a Project Manager be?,"Technical skills is always nice-to-have trait for project manager but in vast majority of cases they aren't crucial. If project manager has the best technical skills in the team why is she managing the project and not building the project? If PM has to double-check every estimate he gets from the team there's some basic problem with trust in that team. PM is one of team leaders (note: usually not a manager who has direct power) who can influence team members. But it doesn't mean PM should be the most knowledgeable and most experienced person in the team. It's like with leading any other entity - when your knowledge is short find people who are knowledgeable enough and you trust them, no matter if you deal with an estimate or a technical issue or whatever.  And when we are on estimates, gather historical data: both estimates and time you really used. You'd be able to tell how optimistic your team or a specific member typically is."
Is Scrum a status report meeting or a developer meeting?,"No, what is happening in your meetings is not a Scrum stand-up meeting, it's a status pull. In fact, it's probably worth dissecting this particular status pull to see why your ""Scrum"" process is failing. The first two elements that your project manager (not Scrum Master, evidently) is asking are: The only practical utility for this information is to determine whether estimates were on-target or not, or whether there are hidden process impediments that were not planned for in the original estimate. However, gathering this information in this particular way is not very agile because: Now, the last item is particularly telling. Your PM wants: Getting better at estimating is a useful goal for any agile framework. However, one goal of Scrum is to ensure that the team does not over-commit; if there is extra capacity within the Sprint once all stories are completed, then the team can and should pull additional stories into the Sprint from the Product Backlog. The question, as described, sounds a lot like stories are being assigned to the team for each Sprint, which is an epic fail from a Scrum stand-point. Even if that's not actually the case, it's another ""project smell"" that indicates that individuals are being ""held accountable"" (presumably by the PM) for the accuracy of individual story estimates, rather than for the team's overall progress in meeting the Sprint Goal for that iteration. Mis-estimating is an issue that should always be communicated clearly during Sprint Reviews, and used as a learning process during the Sprint Retrospective. However, the tone of the question above implies that accountability for estimates is more important than anything else, and diverts focus from feature delivery to C.Y.A. delivery. The following is incorrect: [The stand-up] is a meeting to go over developer needs & issues in a manner that is relaxed and for the developers (no one else). The daily stand-up is a commitment and coordination meeting for the entire team. It is designed to ensure that the entire team is aware of impediments, what stories are done or not-done, and what tasks are ready to be pulled from one team member's to-do list into someone else's. None of the above means that a Scrum Master or Product Owner doesn't gain value from the meeting. A well-run daily stand-up will give the Scrum Master a clear picture of any process issues and whether individual stories are done or not-done. The Product Owner gains a sense of whether there are risks to the current Sprint Goal, timely insight into backlog grooming tasks for the next iteration, and provides advance notice of when a Sprint might need to be terminated early. It is important that the Scrum Master and the Product Owner be active participants in the stand-up, but if the team is reporting to either of them, then the team is neither self-organized nor empowered to efficiently deliver value. Here is a short list of ""project smells"" that seem related to your issue. It's part of a longer list I came up with for reference when I'm doing Scrum training for teams or when I'm coaching other practitioners. If any of them seem applicable to your situation, then your team may want to take the issues on-board during a retrospective."
Minimum Project Management Practices for One-Man Software Projects,"For software projects, even when you're the only developer and end user, I find it extremely important to have some kind of issue tracking. It might as simple as a spreadsheet, or something more sophisticated as dedicated software hooked into your version control repository. You will forget things. The list is there to save you the time."
How to deal with unavoidable on-demand tasks in Scrum? Or should we even try?,"Retrospect, retrospect, and retrospect some more.  While the problem you describe exists to varying degrees on most scrum teams, don't settle with a band-aid solution.  First understand, quantify, and make transparent the impact to your scrum team.  Sometimes its better to do this without applying a pain killer... Creating slack, whether via velocity or capacity based planning is not a true solution, just a reaction/painkiller to lessen a problem that may initially seem too external to address. As a scrum master you should feel empowered to tackle deep and/or long-term organizational problems outside of the immediate team(s) you serve.  Why do so many ad-hoc requests come in?  Is there a pattern, organizational structure(s), or certain people that agitate the issue?  Use the retrospectives with your team combined with your time spent navigating and understanding the organization to get at the real root causes of why the problem arises. Ashok provides one solution for the deeper problem - which sounds like a lack of higher level planning and coordination between teams.  How you solve that problem will depend on your organizational structure and the root causes you identify."
What are the biggest mistakes that new project managers make? [closed],"In my opinion a big problem is that you try to solve the problems yourself and not manage the project. Your job as a project manager is to lead the people who do the actual work (of course this depends on the size of the project, in small projects you will have a technical role too). Another one is that you underestimate soft factors (and therefore soft skills). You can have as many technical tools as you like - in the end project management is people business!"
"Is it sound project management practice to make software engineers fix bugs ""off the clock""?","And not only are they suppose to correct them, they are suppose to
  correct them on their own time without impacting plans. This is your problem. Why don't your plans include the time for fixing bugs that you know will be there? We all know it's impossible to write perfect code. We all know that bugs inevitably creep in. Expecting engineers to fix their own bugs on their own time without planning for that work is not ""hardcore"": it's bad project management. It means the work required to fix the bugs is hidden work, invisible to upper management & other stakeholders.  There are a variety of ways to plan for that work, & there are a number of other questions here that discuss that. But you have to get it in the plan, and stop expecting your engineers to be perfect. Which is not to say that you shouldn't also continue to work on bug prevention, of course. But your approach as a PM and as a team needs to accommodate the fact that bugs exist. If I were going to put forward an argument against this practice, I think I'd do it with a risk management approach. Identify bugs as a known risk, and list a variety of mitigations, including all your bug reduction practices as well as planning for bugs that escape nevertheless. Maybe add poor morale and/or exhausted engineers as another known risk, and suggest as a mitigation ending or limiting the practice of having employees fix bugs on their own time. Point to some studies on the effects of overtime on employee performance. If you need to have something else to put in that accountability slot -- which presently seems to be more punitive and individually-oriented than is generally encouraged in agile development, which emphasizes the team and the team's investment in a quality product -- hm, I don't know. Maybe focus on accountability for violating the bug-reduction practices, instead of on bug escapes which are a fact of life."
Why aren't you supposed to report status in standups?,"It's not that you aren't supposed to report status in the Daily Scrum. Instead, the purpose of the Daily Scrum is to enable the Developers on a Scrum Team to understand the current state of progress toward the Sprint Goal and adjust their plan to maximize the chance of the team achieving the Sprint Goal before the end of the Sprint. What the Daily Scrum looks like depends on the team. A team where the Developers tend to work individually and sometimes in pairs would likely have a different structure for a Daily Scrum than a team that regularly mobs. If people are working individually, there may be more emphasis on the current state of work and what people need from each other to get to Done. If the team tends to work as a single entity, there may be more emphasis on planning. Regardless, though, the objective is to assess progress and adapt the plan. The emphasis on knowing how fast the work will be done seems suspect. When I'm asked to facilitate Daily Scrums, I tend to focus on the age of the item with respect to the team's history. Depending on the tool you are using, you may be able to get information about work item aging and cycle time. Focusing on reviewing items may be a reasonable thing to ask - if you use a Kanban board to visualize the workflow, there's a common practice of walking the board right-to-left and making sure the right-most items progress before taking on new work. As an aside, canceling the retrospective raises more questions about the ability of the Scrum Master. Retrospectives are not only an important part of Scrum but are the only practice mentioned in the Manifesto for Agile Software Development. If work isn't getting done within the Sprint timebox, the retrospective is the perfect opportunity to understand why and make adjustments for the future. Together, with the changes to the Daily Scrum, I'd question if the Scrum Master truly understands the Scrum framework and the Agile methods."
