question,answer
Why are so many Americans against Obamacare?,"These are a few reasons why each group is against Obamacare. Some do not think that the government should force citizens to buy health insurance and penalize them if they do not do so. There are taxes that Americans have to pay should they not buy health insurance. This is also one of the main reasons Americans are against Obamacare. Some are just against the fact that the government is ordering everyone to purchase coverage. Americans who can afford to buy insurance directly from a provider are charged higher premiums so that they could assist in paying for the subsidies provided to those who buy their coverage from government-run marketplaces. Thus, some view Obamacare on a whole as a welfare scheme and the Medicaid expansion and subsidies for low- and moderate-income enrollees as an entitlement program that uses taxpayers' money to help people they consider undeserving. Furthermore, the premiums are set to rise by an average of 22% in 2017. Obamacare changed the rules of the types of public insurance that people can directly buy, thus some insurers canceled their old plans and charged higher premiums for the new plans to existing customers. Thus, this group of people doesn't really benefit from Obamacare, and thus they are upset about it. Some insurers lost money as the customers are sicker than they expected. Thus, the cost would have to be covered by better-off Americans. This will deter healthy, young Americans from signing up, increasing the prices of premiums. Some oppose it simply because it's a Democratic healthcare plan and it was passed when both the House and the Senate were under Democratic control. Only one Senate Republican, Olympia J. Snowe (R-ME) voted the bill out of the Finance Committee while another Republican in the House, Rep. Joseph Cao (R-LA 2nd District), voted for the initial version in 2009. No Republicans voted for the amendment in 2010. The majority of the Republicans have been consistent in their opposition towards Obamacare. Below is a graphic from Vox that shows the percentage of Americans who agrees with each statement listed: "
Why doesn’t the IRS just send me a bill for the taxes I owe based on the info they already have?,"It's certainly possible, and plans have previously been made to do it, but then what would happen to the tax preparation industry? That may seem like a silly question, but for the capitalist tax prep industry, automating away a large portion of their industry is a huge problem, so naturally they would lobby against it. ProPublica has an article from last year that covers the issue. Here’s how preparing your taxes could work: You sit down, review a prefilled filing from the government. If it’s accurate, you sign it. If it’s not, you fix it or ignore it altogether and prepare your return yourself. It’s your choice. You might not have to pay for an accountant, or fiddle for hours with complex software. It could all be over in minutes. It’s already like that in parts of Europe. And it would not be particularly difficult to give U.S. taxpayers the same option. After all, the government already gets earnings information from employers. But as ProPublica has detailed again and again, Intuit — the makers of TurboTax — and H&R Block have lobbied for years to derail any move toward such a system. And they continued in 2016. Intuit spent more than $2 million lobbying last year, much of it spent on legislation that would permanently bar the government from offering taxpayers prefilled returns. H&R Block spent $3 million, also directing some of their efforts towards the bill. Among the 60 co-sponsors of the bipartisan bill: then congressman and now Health and Human Services Secretary Tom Price. The bill, called the Free File Act of 2016, looks on the surface to be consumer-friendly. It makes permanent a public-private partnership in which 13 private tax preparation companies — called the “Free File Alliance” — have offered free online tax filings to lower- and middle-income families. The Free File Alliance include both Intuit and H&R Block. But the legislation would also permanently bar the IRS from offering its own free alternative. Intuit has repeatedly warned investors about the prospect of government-prepared returns. “We anticipate that governmental encroachment at both the federal and state levels may present a continued competitive threat to our business for the foreseeable future,” Intuit said in its latest corporate filings. Sen. Elizabeth Warren, D-Mass., offered a bill last year that would have actually allowed the government to start offering prefill tax returns. While Intuit did not lobby against Warren’s bill — presumably because the legislation had little chance of success — tax giant H&R Block did. (H&R Block did not respond to a request for comment.) Neither Warren’s bill nor the Free File Act made it out of committee."
Why is communism considered as evil (like fascism and nazism) in the United States?,"The answers so far are not answering the question.  People are saying why they believe communism is morally wrong, not why Americans believe it is evil. The American Cultural Context The simple answer is that America has always been suspicious of foreign ideas, especially those which conflict with values considered quintessentially American (WASP).  Manifest Destiny is still an important influence on how Americans think about their country and the world. America is believed to be uniquely special, and foreign ideas can only dilute the country's purity. There have been two Red Scares in American history. 1917-20, and 1947-57.  As the Cold War went on fear of communism intensified, and was a primary motivation for involvement in the Vietnam War. As he [JFK] told senator and Vietnam skeptic Mike Mansfield after the Cuban
Missile Crisis, ""If I tried to pull out completely now from Vietnam,
we would have another Red scare on our hands."" In July 1963 he is said
to have told reporters at an off-the-record news conference: ""We don't
have a prayer of staying in Vietnam.... But I can't give up a piece of
territory like that to the Communists and get the American people to
reelect me."" Hostility to communism lingers because of the American character, which hasn't changed much over the last century.  America's core values remain religious, and for economic and personal freedom as they understand it. Americans today are far more religious and individualist than their peers in other developed nations.  Consider this analysis by Pew Research. Also consider this data from Gallup.  America's most religious states are as religious as Iran, India, Iraq, while America's least religious states are twice as religious as the least religious countries in the world, Estonia, Sweden, Denmark, Norway, Czech Republic, Japan, France.   As a result of all this, Americans are usually hostile to atheists and collectivist ideas. Communism happens to be very atheist and very collectivist. Meanwhile, Elsewhere But this is a distinctly American psychology.  Many other cultures value collective responsibility, and regard self-expression with apathy.  Japan is perhaps one of the best contrasts, but it's also true to an extent in places like Germany and Scandinavia (consider the Danish Law of Jante).  In 2009 Der Spiegel published an article which found half of East Germans were sympathetic to the former communist dictatorship. Today, 20 years after the fall of the Berlin Wall, 57 percent, or an
absolute majority, of eastern Germans defend the former East Germany.
""The GDR had more good sides than bad sides. There were some problems,
but life was good there,"" say 49 percent of those polled. Eight
percent of eastern Germans flatly oppose all criticism of their former
home and agree with the statement: ""The GDR had, for the most part,
good sides. Life there was happier and better than in reunified
Germany today."" In former Soviet states, most notably Belarus, the Communist past is regarded as something largely historical rather than evil.  Without the Red Army, the people of Belarus would have been annihilated by a roaming Nazi genocide. The headquarters of the Russian Social Democratic and Labour Party was founded in Minsk, and so Belarusians have a deep relationship with Communism and Soviet security forces.  I've visited Minsk, and there are museums dedicated to the Great Patriotic War and the Belarusian police force (exhibits explaining their involvement in the war, Chernobyl, and Afghanistan). This is quite the contrast to examples like Hungary's House of Terror, which makes the point that Nazism and Communism are equivalent evils.  In Belarus there are statues of Lenin everywhere, while in other former Communist states Lenin was removed swiftly after the collapse of the Soviet Union.  The difference depends upon whether the Soviets are regarded as liberators or invaders. The Ethical Imbalance Often rejection of communism is post-rationalised ethically.  Given the aforementioned, there are common references to a communist state ""stealing"" from the individual, but this is not a universal belief.  Many cultures appreciate communal interdependence; meaning the idea that a collective ""steals"" from the individual is absurd, as the individual's wealth creation is dependent on the collective working together. Examples of Anti-Communist terror are rarely acknowledged. Consider Suharto's purge of Indonesia in 1965 resulting in a million deaths, or the Dirty War in Argentina resulting in 30,000 ""disappeared"", or the Vietnam War resulting in two million civilian deaths. The other issue often brought up is the death toll produced by Communist states.  Obviously this is factual, but in the Cold War it was not one sided.  The truth is that both the USSR and USA were responsible for mass-murder, committed to enforce their regional influence.  The above image was taken in New York City.  The implication here isn't that Communists are worse because they killed more people.  It's that Communism is uniquely murderous, which isn't true.  This also doesn't explain anything.  An honest tally comparing the death toll of different ideologies would produce a very different message (perhaps a better one; that dogmatism leads to intolerance and murder). Furthermore, both Communist and anti-Communist forces engaged in state terror.  Consider the brutality inherent in Communist systems, and also the brutality inherent in the states America nurtured in Latin America through Operation Condor.  Argentina's dictator General Jorge Rafael Videla claimed to be fighting terrorism and said: A terrorist is not just someone with a gun or a bomb, but also
someone who spreads ideas that are contrary to Western and Christian
civilisation. This was typical amongst the juntas endorsed by the United States, and led to systemic state sanctioned abduction, torture, rape, and murder.  When Chile's military launched a coup to seize power from the failing socialist government, the junta did not revert to constitutional norms, as the country's right wing wished, but suspended the constitution and banned political parties and trade unions. Of Dominos and Dissidents For over a hundred years, Communism has been one of many totalitarian ideologies.  Fascists in Italy, Germany, and Spain were viciously anti-Communist.  The Nazi party believed Communism and Liberal Capitalism were two sides of the same Jewish coin.  During the Cold War, being anti-Communist was a convenient excuse for American endorsement.  Apartheid South Africa was very Protestant and very anti-Communist, fighting against Communists in Southern Africa to expand their influence.  Saddam's Iraq was anti-Communist, Baathists in Iraq and Syria considered Communists and Islamists to be their nemesis.  The Baathists despised the anti-religious character of Communism, and the anti-Nationalist character of political Islam. It was dangerous to be a Communist in America, just as it was dangerous to be a Liberal in the Soviet Union.  Both nations sought to subvert dissent, internally and externally, in spite of constitutional norms.
This intolerance at the cost of constitutional norms and freedoms wasn't just exported.  Between 1956 and 1971 the US government ran COINTELPRO, a secret and illegal project by the FBI to discredit and destroy political movements deemed a threat to the status quo.  The FBI was concerned about the rise of a 'black messiah'; a charismatic black liberation leader able to unite working class black and white communities, which would have significant political consequences for domestic and foreign policy.  Of the individuals the FBI considered possible candidates, most were killed (Martin Luther King, Malcolm X, Fred Hampton, the latter unambiguously murdered by law enforcement).  This wasn't the only time an American government would break their own rules to spite Communism, Iran-Contra being another obvious example. Many Americans however tolerated these abuses of power, because they feared Communism would deprive them of their economic and religious freedoms.  Domino Theory became an enduring way of rationalising Cold War paranoia.  According to this geopolitical hypothesis, Communism was essentially infectious, and its existence anywhere threatened to spill across borders.  This anxious conclusion guided policymaking for successive American governments, from Eisenhower to Reagan. The concern that Communism would take away American liberties wasn't without basis, as Communist states uniformly advocated state atheism, and mostly banned private ownership and freedom of expression.  Cuba undoubtedly contributed to an American belief that Communism meant economic collapse.  And yet, Fidel Castro's government had more in common ideologically with the French Revolution than the Russian.  Soviet advisors gave the new Cuban government economic advice... which was completely ignored.  The Cubans experimented with a uniquely Cuban sort of Communism.  They visited the Soviet Union and China, and found both models lacking.  Their own design was more far-left than the Soviet Union, and an unmitigated economic disaster. On the other side of the Iron Curtain, Soviet leaders were anxious that liberalisation would mean the end of Communism, and thus exploit the people via unregulated robber baron capitalism.  These concerns were not without basis either.  The threat of liberalisation, even within the context of an essentially Communist system (i.e. Czechoslovak 'Socialism with a Human Face'), invoked military interventions by Soviet forces on multiple occasions.  Notably: East Germany in 1953, Hungary in 1956, and Czechoslovakia in 1968. Both Communist and anti-Communist forces engaged in murder, torture, terror, and suppression of political freedoms and human rights.  So it can't just be that Communism suppresses political freedom or tortures its enemies.  The reason Americans disapprove of Communism is elsewhere: it is because of an emotional reaction to ideas which clash with those they have internalised. This also explains why Americans do not discuss things like Operation Condor, when weighing the question.  Regardless of the fact that any sort of dictatorship in Latin America (or elsewhere) is evil.  But one evil is regarded as more so because it is less familiar. For most Americans Communism is culturally incompatible."
Has there ever been a documented instance of the problem that net neutrality purports to solve?,"Yes, there was the case of Netflix and Comcast for example. The events were basically these: This example showed the validity of a new business model for ISPs: Have online content providers pay ISPs for better access by their customers. This would make it extremely difficult for newcomers on the market to compete against competitors who can afford to pay the ISPs. Further, ISPs could decide to flat out reject such a deal with specific content providers for any reason they want. This could be ethical concerns or business interests. Speaking of business interests, there is another business practice which is questionable from a net neutrality point of view: The zero rating. There is currently a good example for this in Germany. Monthly data caps on mobile internet usage are usually quite low in Germany. That makes it really expensive to use music or video streaming on the go. The solution by German ISP T-Mobile? Pay just a little bit extra and streaming no longer affects your monthly data cap usage. But initially only if you used their streaming services.  Under pressure from the Bundesnetzagentur (the regulatory body for data services in Germany) they caved in and offered the same zero rating for their main competitors on the media streaming market. But these are again unique deals which apply to specific competitors. Further, other ISPs in Germany (like Vodafone) have started to offer similar products. That means if anyone wants to offer a new streaming service, they would have to negotiate with all the ISPs (worldwide!) to also get a zero rating deal. This is a problem for small and specialized streaming startups who usually do not have the resources to do that."
"Why is President Trump making such a big deal about fake news, and specifically targeting reputable organizations like The New York Times and CNN?","TL;DR  I have been as bi-partisan as possible. President Trump is attempting to discredit the media as they attempt to expose aspects of his administration they find worthy of journalism. Some may be driven by editorial bias however the majority are reporting genuine news-worthy stories, often using direct statements and quotes from the Trump administration or Donald Trump himself. Due to the lack of experience of the administration they have made clumsy mistakes which look, at first glance, to demonstrate a lack of understanding of the US Constitution, political affairs, legal structure and general all-round US civics.  This is extremely embarrassing and de-legitimizes President Trump.  In response to being unable to prevent this, the President has attacked the media directly trying to erode their credibility and trust. The situation is made worse by the epidemic, as described by Trump, of information leaking to the Press from the judicial and law enforcement agencies, from the intelligence community, from the legislature and from Trump's own administration. When questioned, anonymous staffers have said that the leaks must continue as they uncover more and more information they believe should be in the hands of the populace. Reports are that Admin staff are now using an encrypted chat platform called Confide to leak material freely. His primary method of attack is to use the repetition of a simplistic phrase Fake News.  You are Fake News.  Failing Fake News. which plays well into the demographics of the voter base he is targeting; many of which distrust the Government or any suitably large organisation (which can be warranted given that the US Government engineered the biggest gold theft in history from the US populace) and ongoing cultural divisions between North and South USA. The Trump rhetoric is a lesser version of the message distributed by media outlets such as InfoWars.  They share the same demographic and espouse conspiracy theory, paranoia and fear of Government, which Trump alludes to frequently with the qualifier We don't know. We need to find out what's going on. In addition Trump uses the propaganda technique, what-about-ism which is a common tactic for deflecting criticism or oversight. Whataboutism is a term describing a propaganda technique used by the Soviet Union in its dealings with the Western world during the Cold War. When criticisms were levelled at the Soviet Union, the response would be ""What about..."" followed by the naming of an event in the Western world. It represents a case of tu quoque (appeal to hypocrisy), a logical fallacy which attempts to discredit the opponent's position by asserting the opponent's failure to act consistently in accordance with that position, without directly refuting or disproving the opponent's initial argument. Many of the media outlets targeted by the Trump administration are labelled as liberal which is a term used in the USA as a pejorative by non-liberal voters.
Some are, admittedly, outwardly liberal (CNN, Guardian) whilst others are attempting to strike a completely non-partisan reporting platform (BBC) although conspiracy theorists would argue otherwise. This is part of a wider trend showing that Democrats are becoming more liberal and Republicans are becoming more Conservative with the USA becoming more polarised. The Trump administration, and the President, have also sought to pivot the label ""fake news"" from referring to largely fabricated reports describing fantastical and untrue events which veer often into paranoid, anti-authority conspiracy theory to a more insidious label applied to the press corps as a whole; but also specifically any press institution classed as critical of the Trump administration. This approach allows the administration to avoid direct criticism of individual events and policies by simply labeling the entirety of the press fake and thus, anything they print or investigate is fake by proxy.  In doing so any nuanced investigation into any aspect of the Trump Presidency is smothered and overwhelmed as a figment of the fake news. There is a discernible pattern and correlation showing that fake news is primarily endorsed, shared and buoyed by right-wing voters.  Fake news / conspiracy theory often centers on anti-governance and dovetails with ideological views of Trump and right-wing voters meaning they are more susceptible to considering fake news websites as legitimate. known false news stories that appeared in the three months before the election, those favoring Trump were shared a total of 30 million times on Facebook, while those favoring Clinton were shared eight million times; ""Pope backs Trump"", ""Hillary sold weapons to ISIS"", ""FBI Agent Suspected in Hillary Email Leaks Found Dead"" - these fake headlines all went viral on Facebook in the run up to the election, gaining such high engagement that BuzzFeed published an analysis on how they had outperformed real news on Facebook. Donald Trump also courted conspiracy theories. Initially, he suggested Ted Cruz's father was involved in the assassination of JFK, perpetuated the myth of Obama not being born in the United States (which he later conceded) and repeatedly claimed climate change as a hoax all of which are the preserve of fake news websites. Trump's unpredictability and his fueling of distrust of his opponents led to a growth in fake news that was supportive of him which now flames a cycle of de-legitimizing the established press making the term fake news essentially meaningless and more of a stick to beat the mainstream press with than a phenomenon in itself. Donald Trump said recently that ""any negative polls are fake news"". There is considerable historical precedence to suggest that Trump is engaging in a wider de-legitimising of the Press in preparation for a wider assault on the Constitution, of which a free press, is a cornerstone. Trump has continually referred to Fascist rhetoric directly (Drain the Swamp was from Mussolini) and he refers to the ""lying press"" daily which was also an early tactic of Adolf Hitler.  In additional, many of his policies have been echoed in Fascist leaders throughout history but that deconstruction is for another post. Mussolini established a High Commission for the press in the spring of 1929. Insisting that the Commission would not interfere with the freedom of the press, Mussolini’s Keeper of the Seals, Alfredo Rocco, nevertheless maintained an exception for “any activity contrary to the national interest,” “faithfulness to the Fatherland” naturally assuming the position of ultimate importance. Journalists were, like all other professions, encouraged to see their
occupation as one of many forms of service to the nation, to
participate actively in the education and inculcation of the Italian
people. Right now, it is clear that far from embracing a transparent White House administration and striking a conciliatory tone with the free press of the world, Donald Trump is doubling down on his attacks and is taking punitive measures against what he considers to be a hostile actor in the 2017 United States of America. Whether you consider the press hostile to Donald Trump or hostile to the USA is largely a question of your cultural upbringing and voter persuasion but a case to suggest Breitbart is a better custodian of Democratic First amendment rights rather than the BBC or the New York Times is nonexistent. For instance, the New York Times, established in 1851, continually printed in New York, has won over 120 Pulitzer Prizes; more than any other newspaper organisation. It is considered a ""Newspaper of Record"" along with the LA Times, the Washington Post and the Wall Street Journal. One whose editorial and news-gathering functions are considered professional and typically authoritative. However, a number of historians and commentators have begun to draw parallels and conclusions from the timing of Donald Trump's outbursts and attacks. It appears that the most memorable attacks, often considered buffoonery, are synchronised with serious legislative events and revelations which become buried behind the latest ""tweet-rage"".  This is speculation but not unprecedented. There is a growing trend in reporting questioning the mental health of Donald Trump.  Supporters of the President claim this is a distraction and unprovoked attack however in recent weeks more and more psychiatric and psychologist specialists have been speaking up using various news agencies and platforms to express alarm at his erratic behaviour.    For instance, in a letter to the New York Times, 35 mental health professionals warned that the ""grave emotional instability"" indicated in Mr Trump's speech and actions made him ""incapable of serving safely as president"". But the majority of mental health professionals have refrained from making public statements, following a self-imposed principle known as the ""Goldwater rule"", adopted by the American Psychiatric Association (APA) in 1973. His attacks on the press are held as further indicators that he takes negative reporting about him or his administration extremely seriously and he cannot refocus on his task at hand until he has launched a counter-offensive against the aggrieving party. This is further evidence from mental health professionals that Donald Trump may lack the restraint required for the Commander in Chief role, a situation exacerbated by his continued endorsement of ideas which are best labelled as conspiracy theory. So far, Trump's approach to the media, labelled as the MSM (Mainstream Media) by predominantly right-wing and/or libertarian demographics has played well with his core voter base who believe that the media bloc are part of a larger coordinated conspiracy against him and the right wing in general. For instance; the Financial Times reports Mr Trump’s most recent Gallup approval rating was 88 per cent among Republicans, which is historically normal, or even good, for a president within his own party. Even after a chaotic first month characterised by protests, the shambolic rollout of a travel ban, cabinet shake-ups and allegations of contacts with Russia, a dedicated core of US adults continues to approve of the job the president is doing. This has culminated in the Republican Party releasing the ""Mainstream Media Accountability Survey"" which asks a series of questions focusing on the alleged shortcomings of the press, naming some media outlets. Unfortunately for the President, his attacks are having the opposite effect as intended in the wider USA.  Voter trust in the media is rising, almost daily, and the Legislature are becoming increasingly alarmed at his rhetoric. Though he is polling better among his own party than some predecessors were at the same time including Bush and Reagan, Mr Trump’s overall approval rating remains lower than that of every other president soon after inauguration, at least since polling data became available in 1945. The main difference is that Mr Trump’s approval ratings among non-Republicans are much lower than other presidents. Most tellingly, his daily claims that media outlets are failing (NYT especially) is being soundly rebutted by business reports showing the New York Times is showing rapid growth in subscriber numbers and quarterly profitability as well a stock price surge to the highest in 2.5 years. His refusal to accept even basic facts is not helping his image as balanced and able to accept criticism; in fact, it paints a picture of a man creating his own reality around him in direct opposition to facts, truth and empirical evidence. Part of the left and right divide comes from where Americans get their information. Last year, Fox News, the top news choice for Trump voters, became the most-watched cable news network on US television, surpassing the sports network ESPN for the first time. Nearly nine in 10 consistently conservative respondents told Pew they trusted Fox News, while only 6 per cent of consistently liberal respondents said the same. Mainstream news outlets reported on Mr Trump’s low inauguration
turnout compared to Mr Obama’s 2009 inauguration. According to a poll
that week, fewer than a third of Trump voters agreed that Mr Obama had
a larger turnout. This information gap translates to tangible differences in the
opinions US voters hold. In early February, Trump adviser Kellyanne
Conway mistakenly said that two Iraqi refugees perpetrated “the
Bowling Green massacre”. No Bowling Green massacre ever occurred, a
fact that many mainstream news outlets reported, but a majority of
Trump voters still told pollsters that the non-existent massacre is
why the US needs Mr Trump’s immigration executive order."
Why is the Trump Administration often labeled as anti-science?,"Evidence That Trump Is Anti-Science There is plenty of evidence that the Trump administration is anti-science. For example: One of his first acts in office was to place a gag order on federal scientists reporting their results and removing their past scientific reports from government websites. Trump denies empirical evidence that torture is not an effective interrogation method. He appointed a Secretary of Education who thinks that schools funded with public dollars should teach Christian doctrine, something that has consistently involved rejection of evolution in favor of creationism. He appointed a climate change denier as head of the EPA. More generally, his EPA appointee denies many well documented scientific links between pollution and public health harms. He has proposed deep budget cuts to science funding in the National Institute of Health (NIH), Environmental Protection Agency (EPA), National Oceanic and Atmospheric Administration (NOAA), and the Department of Energy (DOE), and directed funding away from Earth oriented climate research in the National Aeronautic and Space Administration (NASA). He insists that vaccines are connected to autism. He has appointed an attorney-general who has discontinued efforts to improve the accuracy of forensic science in criminal investigations to reduce wrongful convictions: Attorney General Jeff Sessions will end a Justice Department
  partnership with independent scientists to raise forensic science
  standards and has suspended an expanded review of FBI testimony across
  several techniques that have come under question, saying a new
  strategy will be set by an in-house team of law enforcement advisers. In a statement Monday, Sessions said he would not renew the National
  Commission on Forensic Science, a roughly 30-member advisory panel of
  scientists, judges, crime lab leaders, prosecutors and defense lawyers
  chartered by the Obama administration in 2013. His attorney-general has also supported empirically untrue statements about marijuana, for example, stating that heroin and marijuana are equally harmful. Evidence That Conservatives Are Anti-Science The connection between U.S. conservatives and the anti-science movement is real and is largely a product of the strong ties between U.S. conservative politics and Evangelical Christianity (see generally the links in this article on the topic).  These ties started to develop when Republican Presidential candidate Barry Goldwater adopted a Southern strategy, but Nixon established the EPA and Trump SCOTUS appointee Neil Gorsuch's mother lead that agency. The Evangelical merger with conservative Republican politics really took hold in the 1980s. There are particular points of contention including: the teaching of creationism in schools (see above), Republicans in the rank and file are also more creationist in their beliefs,  support for abstinence only education which has been empirically proven not to work,  taking the position that birth-control and abortion are equivalent (see also this article and the links therein), denial of climate change,  faith healing (especially denying children modern medical care under the rubric of parental rights),  embrace of scientifically false statements that rape cannot cause pregnancy, rejection of the use of forensic science to exonerate the wrongfully convicted (see above), opposition to stem cell research: [O]n every poll measure for which data are available, Republicans are
  less supportive than Democrats. About half of Republicans favor
  medical research involving embryonic stem cells (52%) and believe that
  such research should not be forbidden (51%), as compared with two
  thirds (67%) of Democrats on each of these measures (VCU 2010; HSPH
  2011). On the question of federal funding, a majority (58%) of
  Republicans expressed opposition, whereas a majority (70%) of
  Democrats said they were in favor (CNN-ORC 2010). insistence that sexual orientation is a choice and not a biological disposition, and in the same vein that homosexuality is a disorder to be cured with therapy (which has been shown to be very harmful to its subjects), while I was a professor I had one of my conservative students object to teaching scientific evidence on Alzheimer's disease and other mental health conditions in connection with testamentary capacity because she subscribed to the demon possession theory of mental health espoused in the New Testament, conservative claims that natural disasters and diseases are God's wrath. Anti-Science Positions On The Left There are absolutely anti-science positions on the left as well as the right, although the claim that there are more than two human genders in nature is not one of them. Gender is a term different than sex, and incorporates not just biological anatomy or gender chromosomes but realities like sexual orientation and transgender identities, both of which exist and are probably congenital if not genetic. The left tends to underplay the fact that there are meaningful sex differences both physically and psychologically. The left tends to overstate the extent to which race lacks a biological component. While it is correct that definitions of race vary culturally and the meaning of race varies, it tends to ignore the obvious fact that sociological race is heavily correlated (in part due to history) with the geographic place of origin of one's ancestors and that geographic ancestry can be ascertained with genetics in an objective manner. The left tends to have exaggerated perceptions of the environmental and safety risks of nuclear power and genetically modified organisms. The left tends to have exaggerated perceptions of the benefits of organic agriculture and to understate the benefits of non-organic agriculture and GMOs in preventing world hunger. The left tends to be unduly skeptical of the reality of IQ as a construct and of the extent to which IQ is hereditary. Anti-vaccination sentiment is not unique to liberals or conservatives. (Of course, it is perfectly possible for more than one political party to share a particular anti-science opinion.) But, despite specific policy-driven instances, the political left, in general, tends to have much more trust in the scientific establishment and a more positive attitude towards science. Scientists and the Political Left Are Not Mutually Exclusive Many allegations (from, for example, Fox News and political
  commentators such as Ben Shapiro) indicate that the Science March of
  2017 is organized and promoted not by scientists, but by US left wing
  politics instead. The notion that scientists and the US left-wing politics are exclusive of each other that this statement assumes, is false. Many scientists, either by happenstance or as a result of their experience as scientists are part of the political left in the U.S. and it is hardly crazy to think that the March on Science could be organized by people who are both scientists with wide backing in the scientific establishment and active in the political left in the U.S. with wide backing in that community. This is not to say that there are not any conservative scientists (although only 6% of scientists identify as Republican), by all means there are and indeed on most college campuses, the sciences tend to be relative ""safe spaces"" for conservatives among faculty and students alike. But, scientists are, for example, systemically less religious than non-scientists, and non-religious people are far more likely to lean left in their politics than right, although there are exceptions (e.g. noted blogger and conservative atheist Razib Khan)."
How did Trump's January 6 speech call for insurrection and violence?,"The article of impeachment introduced by Democrats in the House on January 11th specifically mentions parts of President Trump's January 6th speech (emphasis mine): Shortly before the Joint Session commenced, President Trump, addressed
a crowd at the Ellipse in Washington, DC. There, he reiterated false
claims that ""we won this election, and we won it by a landslide"". He
also willfully made statements that, in context, encouraged - and
foreseeably resulted in - lawless action at the Capitol, such as: ""if
you don’t fight like hell you’re not going to have a country anymore"".
Thus incited by President Trump, members of the crowd he had
addressed, in an attempt to, among other objectives, interfere with
the Joint Session’s solemn constitutional duty to certify the results
of the 2020 Presidential election, unlawfully breached and vandalized
the Capitol, injured and killed law enforcement personnel, menaced
Members of Congress, the Vice President, and Congressional personnel,
and engaged in other violent, deadly, destructive, and seditious acts. The wider context of this quote, and the transcript of Trump's speech in full, can be found here: Our brightest days are before us, our greatest achievements still
wait. I think one of our great achievements will be election security
because nobody until I came along, had any idea how corrupt our
elections were. And again, most people would stand there at 9:00 in
the evening and say, “I want to thank you very much,” and they go off
to some other life, but I said, “Something’s wrong here. Something’s
really wrong. Can’t have happened.” And we fight. We fight like Hell
and if you don’t fight like Hell, you’re not going to have a country
anymore. As far as the allegations by House Democrats of incitement of insurrection go, this extract from his speech seems to be the main focus, although the article of impeachment is not solely in response to his speech on Jan 6th, and also mentions his prior conduct such as his phone call with the Georgia Secretary of State on January 2nd."
Why is populism seen as being negative or bad?,"Populism suggests emotion over reason to many. The negative connotation of the term populism respects the dichotomy of emotion vs. reason as it relates to public policy and its effect on political decision-making — particularly voting. Emotion is seen by many as a less-reliable basis for creating public policy (and decision-making in general) than reason because emotion often overweights fears and biases and underweights facts and logic. Therefore, candidates described as populists are often also (more pejoratively) called demagogues. And, accordingly, can be perceived as playing upon the emotional fears and biases of their constituents for their own political benefit at the expense of the very constituency who might elect them. a political leader who seeks support by appealing to popular desires and prejudices rather than by using rational argument. [Source] This dichotomy between emotion and reason was acknowledged at least as far back as the founding of the United States and the framing of the Constitution. It is, for example, why the structure of the bicameral legislature (Congress) was designed the way it was. The House of Representatives was supposed to be closer to the people and, therefore, more emotional. Hence, fewer constituents on average and a shorter term (two years) vs. six years in the Senate which was supposed to be calmer and more rational.  The above figure is a widely used metaphor for Congress. The House is depicted as the cup of hot liquid (emotional) and the Senate as the saucer (supplying a tempered, reasoned, cooling effect). The web site of the U.S. Senate describes the following dialog between Washington and Jefferson: George Washington is said to have told [Thomas] Jefferson, ""the framers had created the Senate to 'cool' House legislation just as a saucer was used to cool hot tea."" [Source] "
Why do European cities have so many homeless and beggars despite its high-tax welfare system?,"I also wondered why there are homeless people in my home-country Germany even though the social safety system is legally obligated to pay the rent for people who can not afford to do so. In this case, the rent is paid directly by the municipal government to the landlord, so there is no way to misappropriate those funds. So I did some research regarding the reasons for homelessness in Germany.  Most sources are obviously in German, so please excuse that I am not able to provide any good English sources. This answer is based on an articles by Nothilfe Mensch e. V., (a charity organization which helps homeless people), an article by the Diakonie (a church-based charity organization) and an article by Brand Eins (an economic magazine). These sources point out that there are many ways to become homeless, but there is one path to homelessness which seems quite typical: Part of the eviction process is that the landlord needs to notify the social security bureau, who then send a letter to the tenant and inform them about what help they are entitled to. A ""normal"" person would then make an appointment with the bureau and file a request to have them pay the rent. But some people apparently don't do this. Why? Remember that we are talking about people with severe mental health problems here who are completely overwhelmed by their life situation. In order to obtain help from the social security bureau, they need to open that letter and reply to it. A letter which is usually found among unpayable invoices, legal threats and other problems they really can not deal with right now. In order to receive the help from the state they are legally entitled to, they actually need to become active and request it. This can be a difficult barrier for some people."
Why are green parties so often opposed to nuclear power?,"Burning fossil fuels has a negative impact on the environment. This impact is relatively well understood and predictable. Nuclear power may have a negative impact on the environment, both when the fuel rods and reactors reach their end of life and when accidents happen. The problems of radioactive waste disposal are not solved and accidents are unpredictable, uncommon, but severe. So one might well make the case that nuclear power is the lesser evil, but many environmentalist parties want to stop both.  Here is what the German Greens have to say:   1) Leave the climate-detrimental coal. [...]
  5) [...] Nuclear power is an unpredicably risky technology. [...]"
