question,answer
"The ""Rules"" of Writing","This may very well be the most popular ""rule"" of writing.  It refers to the idea that it's better to ""show"" an event as a scene, rather than simply ""telling"" the reader what happened. In my opinion, this is mostly sound advice: On the other hand, sometimes there is information that the reader needs to know to understand the story, but forcing that information into a scene would divert the plot or bore the reader to tears. More discussion can be found here."
"""Dear Stack Exchange, I am very disappointed in you"" - How to construct a strong opening line in a letter?","""Dear SE, I don't even know how to express how disappointed I am in you--literally. Because I don't know all the facts. But all the indications I've seen make me fear that the full facts would only make my current disappointment even greater."" Thereby: Injecting some smartass humour, but also Expressing how huge your current disappointment is, while Acknowledging we don't know all the facts yet, even though What we have heard so far is pretty damning indeed, and furthermore Stressing things look very bad and it would take a very surprising save on their part to fix things Oh, and they should really show up and own up to this epic fail on their part. ASAP. At the very least. And it's absolutely not enough--just a start."
How do you write a Stack Exchange answer?,"This is something that is relevant across all sites. You should be used to markdown and know at least the basics: Put your most relevant points in the start and make them bold so that people will know at a first glance whether they share your opinion or not. Don't post a wall of text without any highlights and breaks. If you prefer not to use bold text and headings that is okay on most sites as long as you use paragraphs.  If you don't know what you are talking about people will see through your lies quite fast. There are many experts and using false data or drawing false conclusions will be detected quite fast. This is especially true on very specialised sites, such as for example StackOverflow, but you will also find experts about any topic that you are talking about on sites like WorldBuilding.  Most sites prefer to get to the point as fast as possible and not beat around the bush. There are differences though. For example on WorldBuilding many people love to read stories. If you phrase your answer in a in-universe or in-character style you can basically talk as long as you want. On technical sites like StackOverflow people don't have the time to read through long texts. Writing is probably somewhere in between as people spend a bit more time on reading in general and normally don't have a problem that needs to be fixed now.  On RPG you can find that many people reference guides and rules in a specific style, by mentioning the book name and page number and then using the citation markdown with added emphasis on the names of an ability/ rule/ ... and the important words on which they focus later.  On RPG, especially when talking about D&D, there is always the option to say ""the DM decides"". It's a non-sensical answer if you have spent time on the site as it's always applicable - the gamemaster can always change anything. That is not the kind of answers people are looking for. They want rules. Rulings can be made by anyone. Answers only referencing the option to make a ruling as the DM will get downvoted. But answers who explain why they would rule a certain way can get highly upvoted, as that is important information.  On WorldBuilding you should keep in mind that the square-cube law is not your friend when designing big creatures. The bigger, the more muscles and more dense bones are required, making the weight a bigger problem, which is why animals are capped at certain points in size. You know this rough rule if you spend some time looking through creature-design questions. It's an easy way to answer, but most of the time people expect more, as it's basically the same as ""The DM can decide"" on RPG. You have to discuss the ramifications of this usual problem. But it's nearly always a part that needs to be discussed, so you should spend some time explaining it. SFF has a lot of story-identification questions and they have a long list of questions that you should try to answer as best as you can if you want to ask such a question. That also means that these are important things to keep in mind when answering. Furthermore you have to discuss every matching and mis-matching point in your answer. So knowing the standard things that are discussed makes it easier to compile a standard answer for story-identification questions.  On WorldBuilding people love pictures. Especially sketches. If you have useful pictures you can easily get a highly voted answer. It's not always applicable, but on a theoretical and creative site like WorldBuilding it's far easier to use sketches to your advantage to illustrate your ideas, than on a technical site like StackOverflow where you need actual code or a site like Writing where you need citations or citation markdown for example phrases.  Every site, and often every tag, has individual properties that you have to get used to. It takes some time and you will make mistakes. As long as you format your answer properly and know what you are talking about you should be fine on most sites, but getting to know the site and tags is important for high quality answers that are well-received across the wider community.  As of writing this I have:"
How can I write about historical realities that readers mistakenly believe are unrealistic?,"I feel for you. I write about the Anglo-Saxon period in England and I am careful to portray my characters living and working in huts and wooden halls and guarding their villages with wooden palisades. No matter. My readers conjure up castles out of thin air.  Of course, this is how fiction works -- how all of languages works, really. We can paint a very large and detailed picture with a few words by pulling images out of the reader's head. If the images are not there already, it is very hard to force them in. And if the reader has associations with a word, a time, a setting, an implement, or a title, it is very hard to break that association.  In my case I suspect that any scene or implement that suggest medieval times to my readers, a sword, a horse, etc, brings a whole cascade of medieval associations flooding in, with castles mixed in there willy nilly. The reader ends up convinced that they have already seen a castle in the story when there never was one.  I think to a certain extent you can combat this with description. But to the extent that this succeeds, the reader will be aware of the dissonance between their stock of images and the image you are presenting. The question then is, which is more authoritative to them, the images in their head, or the words in your text.  If you can make your writing authoritative enough -- if they believe the portrait you are painting -- perhaps they will adjust the images they have in their heads. If not, they are more likely to believe the the images in their head are correct and you are the one committing anachronism.  But I don't think you are ever going to win at this game entirely. A certain portion of your readers will still see huts in Rome. A certain portion of mine will still see castles in an 8th century Northumbrian village.  They key thing, I believe, is to make your writing as authoritative as possible, but not to go so far in trying to convince the inconvincible that you ruin the story for the readers who are ready for what you are writing. "
How to write a prompt email?,"When following up on an e-mail: I usually forward the original e-mail to the original recipient, with some added text at the top."
What's the modern way to handle gender in tech writing?,A few additional options: [Edited to add:] Here are some additional tips from Val Drummond's Elements of Nonsexist Usage. Chapter 4 is all about pronouns.
"Using real words from a foreign culture feels like 'Calling a rabbit a ""smeerp""'","I've found that the main key to unfamiliar words -- and this applies to jargon in technical writing as much as it does to foreign or made-up words in fiction -- is density.  The example in the XKCD comic is irritating because it can't get through a single sentence without three new words.  The situation is very different if three unfamiliar words are introduced over the span of a chapter. Another key is how naturally you supply the explanation.  Instead of ""translating"" or explaining, provide context -- introduce the asvarans in a setting where their martial role is apparent, show your sardars in leadership roles, show your ostandars ruling, etc.  This might be direct (you show those characters doing those things) or indirect (people refer to them in connection with illustrative events or attitudes). Imagine if the XKCD example were instead handled like this: The six fra'ars stood solemnly in front of the gate, their gray beards all reaching nearly to their waists.  Despite their years they stood strong and alert.  $Name, standing in front of the others, held a large sword aloft in one hand, seemingly effortlessly.  $POV-character involuntarily took a step back; he knew that the krytosis was normally wielded two-handed because of its weight. He heard the din of the many farmlings running and playing beyond the gate.  He envied them; they had no cares, were not affected by the ill tidings in the land, and had no idea of their eventual fate.  He wished he could be young and oblivious again.  [...] This is more jargon-dense than I would write for ""real"", but I hope it illustrates the point that you can introduce terms without falling into the ""pass the dictionary"" trap."
Do You Use Any Version Controlling Software/Methods As Writers? [closed],"I am a programmer in real life, so using a version control software was a no-brainer for me.  I write stuff in plain text, with each chapters in a separate text file. I use Subversion on them, with TortoiseSVN on Windows, and also use a Dropbox for backing up my repository.  This way I have my changes versioned, I can comment the changes I commit, and if my hard drive decides to die, I can be back really quick."
Should an emoji come before or after a full-stop? 🤔,"There is no real grammatical rule for this and the very fact that you are using emoji shows that grammar probably isn't very important. That being said, from what I see on social media, most people use emojis sort of like punctuation, not text, putting it at the end of a sentence instead of a period/exclamation point. Example:  Today was a great day 😀 I am happy 😛"
"The Good, the Bad, and the Semicolon","Bollocks. (That's a technical term.) The semicolon is the correct punctuation for a particular kind of sentence structure. So on the face of it, if you want to outlaw something, it should be that sentence structure, not the punctuation that is necessary to it.  But this is one of those rules like kill all the adverbs. Many writers today do not give sufficient attention to the quality of their prose. They are all about getting their plot down on paper and are negligent of their prose and its effects. One of the most obvious ways this shows up is as the sloppy use of adverbs. But merely cutting out all the adverbs won't make your prose better. And substituting exotic verbs for simple verbs, as some anti-adverb crusaders recommend, won't make it better either. In fact, it will make it more pretentious. If you train yourself to be a good prose stylist, if you pay attention to the quality of your prose as you write, you will use adverbs appropriately where they are needed. Similarly, people who don't pay attention to their prose often end up writing convoluted sentences that are hard to read and then try to fix them with punctuation. If you get down to semicolons in this attempt to punctuate a broken sentence it is a good sign your sentence needs to be rewritten. In fact, I would state it as an axiom that if you have any question about how to punctuate a sentence, you should probably rewrite the sentence, and, quite possibly, the entire paragraph. But really great sentences can sometimes require semicolons and taking out all the semicolons will make the great sentences worse but it won't make the bad sentences better.  Any rule that makes an enemy of any part of speech or any punctuation mark is bollocks. Great prose stylists use them all. To determine if an adverb or a semicolon is appropriate in a particular sentence, you have to look at the overall quality of the prose. Adverbs and semicolons may be relatively rare in good prose, but they have their place and are something essential to felicity of expression. "
How do I translate into a gendered language where the gender would be a spoiler?,"The question is not whether the translator knows the true gender, the question is whether the character doing the speaking knows the gender of the person behind the door. If they don't, using the default seems plausible and probably be the best option. If he/she does, they would, in real life, use the correct form. Using the default male conjugations and pronouns would, come the reveal, be retroactively incorrect and can make viewers feel cheated.  A perfect solution would: None of the three solutions proposed satisfies all three requirements.  A potential solution that does satisfy all requirements, but is not necessarily practically possible regarding the number and type of interactions, would be to, yes, be more creative and explore other formulations or grammatical constructs. Think along the lines of an equivalent of ""they"" instead of ""he"" or ""she"", choice of words that obscure gender (example in spoken french: ""mon ami(e)"" instead of ""ma copine/mon copain""), impersonal statement/questions (""How are things?""), or maybe using a descriptive noun instead of a pronoun (example in French would be to refer to the person behind the door as ""the beast"" (la bete) and use feminine constructs)."
The protagonist can't defeat the antagonist without the antagonist being stupid,"Actually, most stories that have a specific antagonist depend on the antagonist being stronger than the protagonist, so logically the antagonist should win most of the time -- unless they do something stupid.  We love to root for underdogs. After all, most of us are underdogs. If the hero was clearly going to win, it would not be much of a story. So what is an author to do? You will find all of these in literature but in popular works the first is obviously the most common. So the question becomes, under what circumstances is it satisfying to the audience that the hero wins anyway, even though the antagonist should clearly win.  The key to this question is virtue. Why do we want the hero to win? Because they are more virtuous. Why do we want the antagonist to lose? Because they lack virtue. So the difference between winning and losing must itself rest on virtue. This can take many forms: The antagonist loses, despite their advantages, because their signature vice leads them to make a mistake. Not a random mistake, but a mistake that they make for the very reason we hated them in the first place. Because of their cruelty, a henchman rebels against them; because of their treachery, an ally abandons them; because of their arrogance, they leave their flank unguarded; because of their idleness they do not discover the secret that will be their undoing. All of these will seem dreadfully contrived, of course, unless they are seen as the direct result of their faults and the past actions they have taken because of those faults.  The hero wins because of their signature virtue: because of their courage, they keep fighting when all seems lost; because of their compassion, a minor character they have been good to shows them a secret passage; because of their loyalty, a friend sacrifices himself for them; because of their learning, they discover a secret unknown to the antagonist. Again, all of these will seem dreadfully contrived unless they are the direct result of their established virtues and the past actions they have taken because of those virtues. "
