question,answer
karma - Is there an equivalent of heaven and hell in Buddhism?,"
There is no sense of accumulating sins, per se; your karma (actions) change who you are; there is also no sense that it can ever be too much to recover from (eventually). Eventually, your karma will catch up with you, sending you to heaven or hell, and making it more difficult to accumulate further good or bad karma, until you usually wind up right back where you started, somewhere in the middle. Something like the law of diminishing returns; the better or worse your rebirth, the harder it is to make further corresponding karma.
At any rate, given the infinitude of samsara, there is no such thing as too late; if there is time to accumulate good or evil, there is also time for its effects to wear off.
See the Assu Sutta, SN XV.03:

From an inconstruable beginning comes transmigration. A beginning
  point is not evident, though beings hindered by ignorance and fettered
  by craving are transmigrating & wandering on.

"
karma - Role of belief in Buddhism,"
You don't need to believe anything in Buddhism, but a little faith can give you a boost in your practice. It would certainly be difficult to progress if you had no sense that the people teaching you knew what they were talking about.
But in the end, a good teacher will just tell you ""This is the path to enlightenment"", rather than ""I am enlightened"", and leave it up to you to discover the veracity of their claim.  
Certainly, once you practice according to the Buddha's teaching, you will gain understanding about reality that will allow you to verify that karma and enlightenment are very real.
"
theravada - How to combine Orthodox Christianity and Buddhism?,"
Okay, for the purpose of providing an answer, I've gone to this site:
http://www.antiochian.org/whatorthodoxbelieve
which, correct me if I'm wrong, seems to present the views of the Eastern Orthodox church, from their POV.
The only thing I can see as being a problem, would be the phrase, taken a bit out of context from Timothy:

""From such withdraw yourself' (1 Timothy 6:5). 

said to refer to cults. The actual passage (KJV) is:

Perverse disputings of men of corrupt minds, and destitute of the truth, supposing that gain is godliness: from such withdraw thyself. 

Obviously, it is up to the person doing the interpreting as to whether or not Buddhism is ""destitute of the truth"", and whether that would then be enough to require you to ""withdraw thyself"".
Either way, your question is actually about strategy, so, given the assumption that you don't really care what the church has to say as long as you aren't subject to their censure, I imagine it would be enough to just not speak about it to them. I don't assume you'd be found out otherwise.
It's really the best, I think; speech that is unpleasant, e.g. telling a devout Christian that you are participating in what they view as a cult, should only be delivered with care. (See the Abhaya Sutta, MN 58, for a discussion of unpleasant speech).
So, td;lr: unless you think you can convince your fellow Christians that you are not really committing sin by participating in Buddhism, best would be to just avoid mentioning it. Or, you know, leave Christianity and become Buddhist ;)
"
history - When were women first welcomed into Buddhist orders?,"
According to the texts (Cv 10), after the Buddha returned to visit his father in Kapilavatthu, his aunt and step-mother, Mahapajapati Gotami, followed him back to Vesali and eventually ordained her using the eight garu dhammas as her higher ordination. He then gave the injunction that the male monks were to ordain the female monks, which was the beginning of the bhikkhuni sangha.

1. Now Mahā-pajāpatī the Gotamī went up to the place where the Blessed One was, and bowed down before him, and stood respectfully on one side. And, so standing, Mahā-pajāpatī the Gotamī spake thus to the Blessed One: 'What course, Lord, should I pursue towards these women of the Sākya clan?'
Then the Blessed One taught Mahā-pajāpatī the Gotamī and incited her, and aroused her, and gladdened her with religious discourse; and she, so taught, incited, aroused, and gladdened, bowed down before the Blessed One, and keeping him on net right hand as she passed him, she departed thence.
Then the Blessed One, in that connexion, delivered a religious discourse, and said to the Bhikkhus, 'I allow Bhikkhunīs, O Bhikkhus, to receive the upasampadā initiation from Bhikkhus.'
2. Now those Bhikkhunīs said to Mahā-pajāpatī the Gotamī: 'Neither have you received the upasampadā initiation, nor have we; for it has thus been laid down by the Blessed One: ""Bhikkhunīs are to be initiated by Bhikkhus.""'
Then Mahā-pajāpatī the Gotamī went to the venerable Ānanda, and [repeated their words to him]. And the venerable Ānanda went to the Blessed One, and [repeated them to him].
'In that moment, Ānanda, when Mahā-pajāpatī the Gotamī took upon herself the Eight Chief Rules, that was to her as the upasampadā initiation.'
-- Cv 10.2 (Rhys-Davids, trans)

"
enlightenment - What exactly is Jhana?,"
Originally in Hindu yoga and Jainism, Jhana/Dhyana was deliberate thinking on a given topic.
The word seems to share its root with Sanskrit verb ""dhyayati"" (pronounced JAH-YA-TEE), that supposedly means ""to think over"", ""to imagine"", ""to visualize"".
Jains, the primary contenders for a honorary title of ""precursors to Buddhism"", used to recognize four types of Dhyana:

Artta Dhyana -- serious mulling over problems and issues coming from one's duties and responsibilities
Rudra Dhyana -- cruel mulling over evil plans
Dharma Dhyana -- rightful mulling over virtuous subjects
Shukla Dhyana --  pure mulling, non-conceptual concentration.

Apparently, Buddha's first teacher, Arada Kalama, taught Shukla Dhyana through visualizing oneself in the center of progressively empty context (village --> empty field --> empty sky --> nothingness), culminating in a state of thoughtless concentration with no content.
While Buddha's second teacher, Udraka Ramaputta, supposedly taught him a different practice, that of deliberately thinking the opposite thoughts (so-called ""antidotes"") to the ones the mind was dominated by, the target state being one of perfect ambiguity.
Buddha famously mastered and then rejected both target states, instead proposing his own progression of dhyana themes, targeted at achieving first a disgust of this body with its lowly interests, then, once the poisons of worldly desires were destroyed by the antidote of disgust, at generating a joyful mind (first with discursive support, then directly), followed by a calm-and-positive mind, and finally an unfettered mind that sees things as they are (tatha). He subsequently replaced disgust of this body with mindfulness of breathing as the object of meditation he recommended to entry-level students.
A state of having mastered an ability to freely enter into and maintain the first of these states (joyful mind with discursive support) is called ""the first jhana"".
A state of having mastered an ability to freely enter into and maintain the second state (joyful mind without discursive support) is called ""the second jhana"" and so on.
In this case the word ""jhana"" has a more specialized meaning of ""level of mastery of Buddhist meditation"" rather than ""meditation"" in general.
"
pratityasamutpada - What exactly is the logical relation between the links in the twelvefold chain of Pratītyasamutpāda?,"
As I understand, the relationship is that of mutual implication. This meaning is reflected in the name pratitya-samutpada, that is often translated as ""dependent co-arising"" and such.
Mutual implication means one of the categories serves as context for the other and the other way around. Top is defined against bottom and vice verse. Life is defined against death and vice verse. This (upclose) is defined against That (far). Subjective is defined against Objective.
The twelve nidanas are meant to explain the emergence of the notion of Death by implication from Birth, of Birth by implication from Identifying with Separate Being, of Identifying with Separate Being by implication from Goal-making, of Goal-making by implication from Temporal Projection, of Temporal Projection by implication from Sensation as Result, of Sensation as Result by implication from Contact, of Contact by implication from Doors onto the world, of Doors onto the world by implication from Objects, of Objects by implication from Recognition, of Recognition by implication from Imprints, of Imprints by implication from Ignorance.
"
"reference request - Where is the Buddha originally quoted as saying ""On heaven and earth, I alone am honored""?","
The Pali version isn't quite as strong. According to Malalasekera:

Immediately after birth the Bodhisatta stands firmly on his feet, and having taken seven strides to the north, while a white canopy, is held over his head, looks round and utters in fearless voice the lion's roar: ""Aggo 'ham asmi lokassa, jettho 'ham asmi lokassa, settho 'ham asmi lokassa, ayam antimā jāti, natthi dāni punabbhavo” (D.ii.15).
http://www.palikanon.com/english/pali_names/b/buddha.htm

The meaning of the phrase is ""I am the highest in this world; I am foremost in this world; I am the best in this world; this is the last birth; there is no further becoming here.""
Nothing I've found specifying heaven and earth; it also doesn't seem proper for the Bodhisatta to have said ""I alone am honoured"", since it is patently untrue.
"
Do you have to follow a monastic lifestyle to attain enlightenment?,"
Do you have to follow a monastic lifestyle to attain enlightenment? At first approximation, the answer is: yes in Theravada, no in Mahayana.
Since probably as early as Milindapanha (~100 BCE) and most certainly by the time of Vissudhimagga (~430CE), the orthodox (~Theravada) position was, you must be a monk to attain Nirvana.
But since you asked about Enlightenment, I should point out that Enlightenment is the goal of Mahayana, while in Theravada, the final goal is usually called Nirvana (Nibbana in Pali), not Enlightenment (Bodhi in Pali). In Mahayana, Enlightenment can be attained by a layperson.
These are ""official"" positions (as much as we can talk about official positions in such a heterogeneous conglomerate of teachings as Buddhism). Informally, in my own understanding, what some Mahayana schools call ""Enlightenment"" is what Theravada schools call mere ""stream-entry"". Other Mahayana schools however have this notion of multiple levels (bhumi), in which what Theravada calls ""stream-entry"" is level 1 of 10, with Final Enlightenment counted as 11th. It kinda gets complicated from ""stream-entry"" onward, because the boundaries of ""self"" no longer apply, so it is difficult to talk about Enlightenment with no subject to tie it to.
Anyway, from practical perspective, the point is, it is extremely difficult to make any meaningful progress towards Enlightenment/Nirvana if most of your focus is on pursuing material ends (success, wealth, entertainment, helping your relatives achieve the same). In order to get pretty close to X while leading a semi-normal life, one's top priority must be spiritual practice, followed by family and everything else. This basically means, squeezing study of Buddhist philosophy here and there, making meditation part of your daily routine, and, most importantly, deliberately utilizing your family & work situations as shootingrange for Dharma practice.
"
"anatta - If there is no soul, how can there be rebirth?","
When most people think of ""self"" they think of some abstract core that is the subject of all experience and the agent of all actions. Buddha taught (and modern cognitive science tends to agree) that upon careful examination there is no such single core. Instead experiences result from interactions of multiple perceptory functions. Similarly, our actions are performed by a conglomerate of functions, without a single agent responsible for all choices.
When the notion of individual rebirth exists as an unexamined belief, it depends on this unexamined notion of ""self"" as its necessary foundation. Once practitioner is free from illusion of self (in practice, not just conceptually), the notion of individual birth/death/rebirth no longer applies. From this perspective, rebirth is a byproduct of attachment to a (substantial) self.
But because karma at large still continues to function, the infinitely forking/joining threads of causation that once were the subject of attachment continue to participate in activity and serve as causes for subsequent effects. In this sense, rebirth as principle goes on continuously whether we posit an individual or not.
To give this a more practical spin, instead of worrying about rebirth, we practitioners should focus on working towards deconstruction of self by reducing the strength of the illusion through practice of altruism and non-attachment, first and foremost at the microscopic level of thought-to-thought intention and reaction.
"
philosophy - How do we sense the flow of time?,"
Past is a conceptual construct that only seems solid in the absence of careful examination. But if you look closely you will see that Past is assembled by the mind from multiple cues (as is Present by the way).
The experience of second-to-second flow of time is a byproduct of chitta-vrtti, the associative cycle, when each subsequent dharma (~thought) comes by association with the previous one. The sense of relatedness of the two dharmas is what creates the illusion of flow.
Disclaimer: this answer represents my own experience and understanding and is not meant to reflect an official position or to be consistent with views of any Buddhist school.
"
belief - Are there formal mechanisms in any Buddhist institutions that explicitly reconcile Buddhist principles with science?,"
The general claim in Buddhism, or at least in Theravada Buddhism, is that a Buddha is omniscient. That makes it difficult to question what the texts claim the Buddha himself said. In a couple of places this seems to put science and Buddhism at odds (e.g. causes of earthquakes).
The closest we have to what you are suggesting is an act of the sangha; after the Buddha passed away, we have record of a Buddhist council where they discussed whether to revoke the minor monastic rules as the Buddha had allowed them to do, and they decided as a group not to. Later sangha councils edited the canonical texts but would never have redacted something that they thought the Buddha had said in error.
I think, at the very least, unlike faith-based religions, Buddhism doesn't rely on absolute statements of truth, but rather practices that lead to self-realization; so it doesn't matter as much if statements in the canon like the causes of earthquakes and the size of the universe, etc., are accurate. What matters is if the path leads to the goal, and that is to be verified by oneself.
As a result, you find more marginalizing of problematic teachings, rather than striking them out. First of all, because the Buddha was said to be infallible, but second of all because we know that we are not. The fear of wrongly striking a teaching out of ignorance is too great. But, we can always ignore troubling passages, I guess similar to how Jewish people ignore Leviticus for the most part.
So, no, there isn't really such a mechanism, afaics.
"
history - What is the role of relics in Buddhism?,"
After The Buddha's death, his ashes are said to have been divided into eight portions. Source:Wikipedia

The cause of arising of the Buddha’s relics was from the desire of our Lord Buddha before his Parinibbāna (the Great Decease of the Buddha).
Normally, the Buddha who lived a long life to settle the Buddhist Legend, had his own relics in a piece of natural golden bar, which could not be shared among the people in their Buddha period and could not be placed anywhere. Hence the construction of the Buddhist sanctuary was required to be done in one place only. Our present Lord Buddha (Sakyamuni Buddha) considered that his teaching period was only 45 years which he thought not too much compared with the previous Buddhas. He also thought that his instructions were not expanded enough and taught to those who were not yet born on time in his legend. Anyone who received his relics for respecting would get a lot of Puñña (the accumulation of good blessing, fortune or well-being) so he wished that his relics be scattered to all directions except 7 pieces (1 frontal bone, 4 teeth and 2 collarbones).
All of the above mentioned information was presented identically such as in the Sumaṅgalavilāsinī, Paṭhama Sambodhi Kathā by the Supreme Patriarch Kromphra Paramānujitajinorasa, Mulasāsanā Scripture, Jinakalamalipakaranam by Ven. Ratanapañña Thera and Phrachaolieplok Scripture.

Source:The history of the arising of Buddha’s relics
If you want to know more depth details, Please read Maha-parinibbana Sutta: Last Days of the Buddha

Eight portions there were of the relics of him, The All-Seeing One, the greatest of men. Seven in Jambudipa are honored, and one In Ramagama, by kings of the Naga race. One tooth is honored in the Tavatimsa heaven, One in the realm of Kalinga, and one by the Naga kings. Through their brightness this bountiful earth With its most excellent gifts is endowed; For thus the relics of the All-Seeing One are best honored By those who are worthy of honor — by gods and Nagas And lords of men, yea, by the highest of mankind. Pay homage with clasped hands! For hard indeed it is Through hundreds of ages to meet with an All-Enlightened One!

"
Are Vajrayana and Tibetan Buddhism the same thing?,"
No they are not the same, Tibetan Buddhism is a broader concept that subsumes Tibetan Vajrayana. Also, there's non-Tibetan Vajrayana, some still practiced in e.g. Japan. 
To some degree all schools of Tibetan Buddhism, and particularly Karma Kagyu, recognize three yanas (Hinayana, Mahayana and Vajrayana) as subsequent stages on an individual's path to complete enlightenment. These days many teachers tend to have their student jump straight into tantra right after Ngondro (preliminary stage of Vajrayana training), but traditionally, the student is supposed to master the foundational theory, discipline, and meditation of Hinayana before proceeding to Mahayana, then master Mahayana's practice of subverting one's ego, and attain realization of nonconceptual emptiness, and only then proceed to tantric practices of working with Yidams (generation/completion), the Vajrayana proper.
"
"doctrine - Buddhism, mothers and earthworms","
I'm pretty sure the belief is not that earthworms become mothers, it's that every earthworm has most likely been your mother at some point in the past, as per the mata sutta (SN 15.14-19):

At Savatthi. There the Blessed One said: ""From an inconstruable beginning comes transmigration. A beginning point is not evident, though beings hindered by ignorance and fettered by craving are transmigrating & wandering on. A being who has not been your mother at one time in the past is not easy to find... A being who has not been your father... your brother... your sister... your son... your daughter at one time in the past is not easy to find.
""Why is that? From an inconstruable beginning comes transmigration. A beginning point is not evident, though beings hindered by ignorance and fettered by craving are transmigrating & wandering on. Long have you thus experienced stress, experienced pain, experienced loss, swelling the cemeteries — enough to become disenchanted with all fabricated things, enough to become dispassionate, enough to be released.""

So, the point is that the love and care we have for our mothers should really extend to all beings, since we are all intimately related - a corollary is that your boy/girlfriend has also probably been both your mother and your father at one point :)
"
belief - What is the starting of Samsara?,"
Is there a starting point to a circle? Just like that, there's no starting life to Sansara. But you can break this circle at 2 points. 

Ignorance.
Craving.

That is when you attain Nibbana.
"
