question,answer
Should meta.stackoverflow.com replace uservoice.com?,"
Definitely Yes.
Counting votes in favor/against a feature/bug does not a web application make.

SO already has the userbase.
SO can track votes 1-per-user on question/answers.
The status of change requests can be conveyed by tags/editing, etc. 

In short: SO > UV
"
Should StackOverflow support more than 2 openids per account?,"
I don't think this is the right solution.
The problem is that certain OpenID providers (most notably, Google, and often Yahoo unless you have set up a named OpenID) use per-domain hashes as their OpenID strings.
Thus,
  https://www.google.com/accounts/o8/id?id=aitoawlsz5_hewdpvee74euceg0aiysm2uq2rar
versus
  http://username.openid.com
This means it is effectively impossible to identify anyone on two different sites using their OpenID, if they choose a provider that uses this same strategy.
We could add 50 different OpenIDs per user, but

I don't want to force users to have multiple OpenIDs for our convenience.
Even if you do, you're avoiding the real core problem: what are viable ways to identify the ""same"" user on two websites, when the user only uses a Google OpenID?

update: we now have a reasonable workaround in place, which is to demand email from Google GMail OpenIDs.
update: I changed my mind and support this due to the proliferation of email addresses, since email = identity. You can now have an unlimited # of credentials (email or URL) associated with your account at the network level.
"
"How about a separate private ""bounty points"" *alongside* your public ""reputation points""?","
I disagree.  I happen to have a high (but not ungodly high) amount of Rep - over 10K.  And I ask very few questions (I google a lot first).  
If my public rep wasn't affected by putting a bounty on questions, I would put a bounty on every question I ask - to get more interest in it.  My ""bounty rep stash"" would go down, but not drastically decrease, and would probably stay somewhat even with the rate I ask questions.  
This is just an example using myself as an example, but I bet it applies to others as well.  Letting me do this defeats the point of bounties - I need to really feel the sacrifice to give bounties meaning.  Otherwise you'll see a huge upswing in bounties and questions without them won't get as much attention.
"
Should a user have only one account on all SO/ServerFault/Meta sites,"
SO / SF reputation scores are measuring different things, because they have different topic focus (programming vs. sysadmin). Super User reputation is also measuring something different.
And so is participation here, technically.
We can see the desire to sync the contents of your profile (website, email, about me, etc), but not the reputation score.
"
Search for users per (part of) OpenID,"
OpenID is kind of a semi-private bit of information, though.
This is sort of like asking to search for someone by their login name -- all you need is the password to complete the puzzle.
We do use parts of the openid to identify the user (not the whole thing, but parts) when the user gives us nothing else to go on.
"
Should the beta badges stop being awarded to users?,"
Yes!  The sanctity of the Beta Badge is sullied!  Stop this badge inflation now!
An example user 155.  He didn't rank a beta badge until very recent activity (mid-June), when he was awarded a beta badge! 
Sign up in early September, answer almost nothing...leave for six months, and when you return to a production site and start posting again, you still get the Beta badge!
This means that over 1000 badges have been awarded to folks who where not active enough during the beta period to earn one, like us Original Hardcore 2982 SOpedians.

2982 forever!

"
No Popular Question badges awarded for 27 May?,"
Wasn't that the day no views were being counted? No views == no popular questions
There's a UserVoice ticket for this:

date encoding error -- fixed!
closed on 05.28.2009

"
Should meta.stackoverflow.com have badges?,"
This is a meta question about meta.stackoverflow.com. Meta discussions of this type clutters the site -- it should be deleted or moved to http://meta.meta.stackoverflow.com.
Now, should http://meta.meta.stackoverflow.com have badges?
/s
"
Should users edit other users' posts to correct grammar and spelling problems?,"
I vote for yes. And yes I know the counter-arguments. But it makes posts more readable. And I, as a non-native English speaker, like to learn from my mistakes.
"
Bhind th curtain - Mta Stack Exchang,"
Jeff and Jarrod posted self-deprecating answers, but as an outsider, let me tell you that the database code and schema are really tight.  (And I should add that has absolutely nothing to do with me, hahaha.)  If you're going to scale a SQL Server database fast to a large audience at a low cost, you don't want any extraneous business logic in the database.  No triggers, no UDFs, no CLR code, no record-by-record operations.
Normally when I do performance tuning for clients, I start tracing queries with a duration of more than 10 seconds.  At Stack Overflow, I have to crank my filters down to 150-200 ms just to see any activity. It always gives me a grin.
Just generally speaking, application servers are cheap, and SQL Server is expensive ($5k-$25k per CPU).  Even if you use open source databases, it's easier to scale application servers than it is to scale database servers.  Every added web/application server is relatively easy to implement with a load balancer - every added database server, not so much.  Every time you have to do anything even remotely CPU-related, do it in the web/application tier, not the database tier.
"
How many tags needed to earn the Generalist badge?,"
now implemented! see description for how it works.

Provided non-wiki answers of 15 total score in 20 of top 40 tags.

for more detail:
https://blog.stackoverflow.com/2010/05/generalist-badge-implemented/
"
"Will Stack Overflow's engine be (someday, or ever) open sourced?","
Eventually, probably. Never.
Discussed on Podcast #60
https://stackoverflow.blog/2009/07/02/podcast-60/
Short version: Joel is very, very against it because he says it'll destroy any possible income from hosted Stack Overflow. I don't agree.
"
What about othr Q&A subjcts - Mta Stack Exchang,"
I'm an electrical engineer so I vote for one on electronics design/debugging/etc. Obvious title would be Short Circuit. :-) 
"
Can the taxonomist badge be awarded more than once?,"

EDIT not by Jeff:
""Current the Taxonomist badge is not awarded multiple times. [This] answer is over 2 years old, so I'll clarify what the current intent is when Jeff gets back from vacation."" – Nick Craver♦ [Nov 30, 2011]

Yes, it can be awarded more than once.
And tags can also be created by anonymous users who eventually get culled.
https://blog.stackoverflow.com/2009/02/when-is-an-account-abandoned/
"
What about meta-meta Stack Exchange?,"
http://blag.xkcd.com/2008/01/14/robot9000-and-xkcd-signal-attacking-noise-in-chat/

The big problem we ran into, actually, was meta-discussion overwhelming the channel. Every new person wanted to speculate about the rules and their effect, and every violation was followed by a long postmortem. At first, we had a scoreboard showing who was the best at talking without violation, but this quickly turned into a competition, destroying actual chat. When we took down the scoreboard and banished meta-discussion of the channel to #meta-discussion, everything worked out nicely. (And, of course, for discussion of the concept of #meta-discussion people had to go to #meta-meta-discussion, and for chat about how silly that whole idea was, we created #meta-meta-meta-discussion …)

"
Should there be additional parallel boards?,"
I think you just want to keep it straight forward and utilize tagging. Forking things too much makes things to complex to use.
"
Stack Ovrflow stats graphs - Mta Stack Exchang,"
The two final stats are interesting:


It seems that most don't get a better answer than the first one. That either means that they don't bother to answer again, or that their latter ones are worse than the first one.
Could we have a ""Time to second answer"" graph?
"
How relevant is rep and community wiki on meta-stackoverflow,"
Jeff goes over part of this in the blog:


bounties make little sense on a discussion site



wording needs to be tweaked (i.e. questions->topics, answers->replies)
need to be able to follow questions/get notices of additional replies
remove notion of community wiki, as discussion sites have a stronger sense of ownership, plus nothing will be off-topic
ensure that chronological ordering is the default, if not the only, sort order, both for replies and comments
remove accepting an answer
some of the close reasons will have to be removed or tweaked


We’ve made a few of the easier changes already that were based on (groan) meta-data. Others will be tougher. We won’t know until we try, so …

I honestly feel that because reputation does not matter here, we should have our SO reputation linked over to here and not be able to get any reputation off of questions on this site. After all, your StackOverflow reputation is relevant here because this is a site about StackOverflow. That's my take.
"
Is the fastest gun in the west solved?,"
I had an idea for this that I submitted to uservoice a while ago, but I can't seem to find it now so I'll recreate it:
When casting a vote, the effect of that vote would be delayed for all other users for five minutes or something. You would be able to see the vote effect, so that you could easily confirm that your vote was actually cast. But everybody else would see the effect of that vote five minutes later.
This would allow each answer to be voted on its own merit, at least for the first few minutes. From the point of view of a user, the site would appear to work exactly the way it does now except it would look like everybody else was off having a coffee break whenever you cast a vote.
"
Can I find out which tags I have created?,"
Having recently won a Taxonomist badge, totally by surprise, I'd love to know which if any tag I've created.
I looked at my list of 373 tags, where I can only see 50. I can't identify a single one in which I owned the earliest question. The closest I saw was Lucene, and I know that wasn't me.
I don't think the information would cause gaming. I think gaming type users would easily just make a pen-and-paper list of tags they know they created.
"
What should we do about questions marked correct that have obviously incorrect answers?,"
First of all, if the original poster of the question felt that this answer fixed his problem. He has the right to accept it (be it wrong or not).
Secondly there are cases where the original poster is just going in the wrong direction with his question and the community votes some answer that rectifies his trouble in a way he is not looking for (and then voting for it immensely) But he can still accept any answer he wants.
The thing is that an accepted answer is necessarily not the correct one. It's just the one the OP wanted.
So I think we shouldn't do anything about this. This is a system to help others, the OP can accept a solution but we as a community can show our support for the answer we think is right and it will be the 2nd one after the accepted one.
"
Should we make meta.superuser.com to point to this website,"
Due to a recent change, the accepted — EDIT: now formerly accepted — answer is no longer correct.  meta.superuser.com is now a standalone meta site just for SU, and meta.serverfault.com is now a standalone meta site just for SF.
"
Why are beta badges awarded at all?,"
Private beta participants 

contributed a not-insignificant amount of their time
put up with bugs, downtime, and errors
filed bug reports and helped us troubleshoot errors
populated the site with a lot of quality questions and answers so we don't go live with a ""ghost town""

For that, they get a badge.
"
Find out which question/answer awarded you the badge,"
As a technical addendum -- we do not store which question or answer triggered the badge anywhere. (because it was never part of the design).
So even if we wanted to do this, we don't have the information.
The background badge grant process just returns:
userid, number of badges that userid should have

.. for each badge, in a loop. Note that there is no postid there.
EDIT:  good ol' waffles checked in a change that allows us to store the post with the badge award, so this is now complete.
"
Should SO introduce a Re-Bounty feature,"
https://blog.stackoverflow.com/2010/06/improvements-to-bounty-system/
This is effectively completed, because

bounty system is no longer tied to accepting an answer in any way
you can issue multiple bounties on your question if necessary

"
Can we transfer questions from SO to meta?,"
I expect that this will eventually be possible, just as it's possible to transfer between SO and SF. The only thing is that (afaik) post ownership is currently lost for users that don't have an account on the site being transfered to, so even if the user subsequently signed up, it's currently not possible for them to regain ownership.
"
Stackoverflow data dump sites?,"
I created SPWho2.com, a statistics analysis dump for Stack Overflow.  I built it so that I can throw in the database dumps for Server Fault and Super User when those become available too.
I'm super-anal about not being abusive with it.  If there's anything that anybody wants to see added to make it more clear about where the real data lives, let me know and I'll be happy to implement it.  I'm never going to show the question content or answer content on SPWho2 because I don't want to distract the search engines.  Every author page and question name links back to Stack Overflow.
I also created wiki articles about importing & analyzing the StackOverflow export over at SQLServerPedia. 
"
Additional Badg Idas - Mta Stack Exchang,"
Weekend Warrior
Posted an accepted answer to a question on weekend.
This badge could only be awarded once.
Since traffic and responses are MUCH lower on weekends, this would maybe reward those that post and troll on the weekends helping out others.
"
Can you bring the color back to meta?,"
I am open to tweaking some of the parameters, but the greyscale is here to stay.
Aren't all discussion sites just shades of grey, anyway? (rimshot)

All of the Oz sequences were filmed in three-strip Technicolor. The opening and closing credits, as well as the Kansas sequences, were both filmed in black and white and colored in a sepia tone. Publicity for the film mentioned the Technicolor but not the black-and-white or sepia, thus making it sound as if the entire film had been made in color.
Sometimes color and sepia would be juxtaposed in the film within seconds of each other. At one point, Dorothy sees her Aunt Em on the Wicked Witch of the West's crystal ball; she is then replaced by a vision of the Witch. Aunt Em appears only in sepia-toned black-and-white, while the Witch appears in the crystal ball in full Technicolor.

The Wizard of Oz
"
"Noob questions, simple answers, and big rep points","
rep points kinda remind me of that whole ""Zen and the Art of Archery"" business. I've gotten caught in that trap of reputation-score-addiction once or twice: poring over questions over and over until I answer one that gets upvoted. It's not worth it. Post questions or answers because you feel like it or because you think you can provide value to the community.
"
Should Combined Flair be offered?,"
Yes, I was just discussing this with someone else. I like the idea of being able to see multiple account details in one place much more than transferred or combined rep. The numbers represent slightly different things, after all.
It's possible that badge totals could be combined between the sites, however - the rep would give you a good general idea of how they're distributed anyway, and it would save having too much visual clutter.
"
"How about a ""Vote not to close"" option to counter the ""Vote to close""?","
I am definitively in favor of that process.
By the time the 5 ""close"" votes are here, not enough people are still looking at the question to care to vote for reopening, even if they wanted to at the time where closing votes were being (slowly) set.
Of course, it has been proposed ""numerous"" time on UserVoice already:

Currently, the ""Add anti-close votes"" is ranked 6th, with 179 votes.  
Before that, ""add ""stay open"" / ""stay close"" links"", marked as ""duplicated"", with the comment ""numerous duplicates"", but without ever mentioning one single similar request.


Note: since 2014-05-13 (""When did I get close-vote superpowers?""), users with a gold badge in a tag for a question can immediatly reopen a question closed as duplicate.
This is a (very small) improvement, which doesn't address the initial issue: there is no way to be notified when a question get (finally) closed in order to cast one's own reopen vote.
As I commented before, notification is really broken or non-existent on Stack Exchange sites.
(That is why I have almost 8000 ""favorite"" questions, in a desperate attempt to catch some of the events which can change the questions I have answered to)
... and ""close"" events aren't detected anyway, even when you ""favorite"" a question.
"
Are people too miserly with up votes?,"
I think people are pretty free with the up votes.  My own analyis has show an up to down vote ratio starting at 10 last fall and growing to about 12 now.
Like Brent Ozar, I also investigated the relationship between votes and other user data (like reputation and up:down vote ratios, etc.) in a couple of blog posts, like these:

geekomatic.ch: Stack Overflow: Down Votes vs. Up Votes vs. Reputation
geekomatic.ch: Stack Overflow: Voting Patterns in Detail

Here are some of my favorite graphs:
Down (x-axis) vs. Up (y-axis) vs. Reputation (bubble size)

Up Votes as a percentage by User Join Date and Average User Reputation by Join Date

Larger images and other stats on the blog.
"
