question,answer
How much gold is there in our sun?,"The mass of the sun is 1.989 × 1030 kg. Abundance in the Sun of the elements gives a percentage 1 × 10-7 % for gold *, so that leaves you with a mass of 1.989 × 1021 kg of gold. HowStuffWorks states that there is 1.26 × 1021 kg water on Earth, of which 98% is in the oceans, i.e. 1.235 × 1021 kg. This would mean the XKCD statement is true: there is 1.6 times as much gold in the sun as there is water in the oceans. * They cite WolframAlpha as their source. Executing SolarAbundance ""Gold"" there confirms this (mass) percentage."
How loud would the Sun be?,"The Sun is immensely loud. The surface generates thousands to tens of thousands of watts of sound power for every square meter. That's something like 10x to 100x the power flux through the speakers at a rock concert, or out the front of a police siren. Except the ""speaker surface"" in this case is the entire surface of the Sun, some 10,000 times larger than the surface area of Earth. Despite what ""user10094"" said, we do in fact know what the Sun ""sounds"" like -- instruments like SDO's HMI or SOHO's MDI or the ground-based GONG observatory measure the Doppler shift everywhere on the visible surface of the Sun, and we can actually see sound waves (well, infrasound waves) resonating in the Sun as a whole! Pretty cool, eh? Since the Sun is large, the sound waves resonate at very deep frequencies -- typical resonant modes have 5 minute periods, and there are about a million of them going all at once. The resonant modes in the Sun are excited by something. That something is the tremendous broadband rushing of convective turbulence. Heat gets brought to the surface of the Sun by convection -- hot material rises through the outer layers, reaches the surface, cools off (by radiating sunlight), and sinks. The ""typical"" convection cell is about the size of Texas, and is called a ""granule"" because they look like little grains when viewed through a telescope. Each one (the size of Texas, remember) rises, disperses its light, and sinks in five minutes. That produces a heck of a racket. There are something like 10 million of those all over the surface of the Sun at any one time. Most of that sound energy just gets reflected right back down into the Sun, but some of it gets out into the solar chromosphere and corona. No one can be sure, yet, just how much of that sound energy gets out, but it's most likely between about 30 and about 300 watts per square meter of surface, on average. The uncertainty comes because the surface dynamics of the Sun are tricky. In the deep interior, we can pretend the solar magnetic field doesn't affect the physics much and use hydrodynamics, and in the exterior (corona) we can pretend the gas itself doesn't affect the physics much. At the boundary layers above the visible surface, neither approximation applies and the physics gets too tricky to be tractable (yet). In terms of dBA, if all that leaked sound could somehow propagate to Earth, well let's see... Sunlight at Earth is attenuated about 10,000 times by distance (i.e. it's 10,000 times brighter at the surface of the Sun), so if 200 W/m2 of sound at the Sun could somehow propagate out to Earth it would yield a sound intensity of about 20 mW/m2. 0dB is about 1pW/m2 , so that's about 100dB. At Earth, some 150,000,000 kilometers from the sound source. Good thing sound doesn't travel through space, eh? The good folks at the SOHO/MDI project created some sound files of resonant solar oscillations by speeding up the data from their instrument by 43,000 times. You can hear those here, at the Solar Center website. Someone else did the same thing with the SDO/HMI instrument, and superposed the sounds on first-light videos from SDO. Both of those sounds, which sound sort of like rubber bands twanging, are heavily filtered from the data -- a particular resonant spatial mode (shape of a resonant sound) is being extracted from the data, and so you hear mainly that particular resonant mode. The actual unfiltered sound is far more cacophonous, and to the ear would sound less like a resonant sound and more like noise."
"How can there be 1,000 stellar ancestors before our Sun?","The Sun is actually a THIRD generation star. What I mean by this is that there are chemical elements in the Sun that were made inside another star, but that star itself can only have made those elements because it had material in it that must also have been made inside previous, second generation stars. Eventually we get back to the first generation stars, born out of primordial gas from the big bang that contained almost no heavy elements (those beyond helium) at all. That is quite a mouthful, so let me explain using an example - barium. There is barium in the Sun. We can tell that by looking at the spectrum and seeing absorption lines due to barium. But barium cannot be made in the Sun. The barium is made via the s-process, which involves the slow capture of neutrons onto the nuclei of iron-peak elements. This happens during the asymptotic red giant branch phase of stellar evolution, and the Sun has 6 billion years or so before it gets to that point. [NB: not even half the abundance of chemical elements beyond iron are produced by supernovae explosions$^1$.] So, before the Sun, there must have existed a star - probably an intermediate mass star - which evolved to become a giant, made barium in its interior, then lost its envelope through a massive wind into the interstellar medium, and that material was incorporated into the protosun. Such stars (between, say, 2 and 10 solar masses) would have much shorter lifetimes than the Sun$^2$, so plenty of time for them to live and die before the Sun was born. But wait a minute! That previous star must have already had iron-peak elements in its interior to act as a ""seed"" for the s-process production of barium. These were not and could not be made inside that star. They must have been made in a previous star, probably a massive star, that burned through all the nuclear fusion stages before exploding as a supernova, casting heavy elements, including iron-peak elements, into the interstellar medium. This previous star could also have had its own (metal-rich) ancestors, but ultimately as we go back in time we reach a point where the previous star was a first generation star, made from primordial H/He gas, with almost no heavy elements. These first generation (a.k.a. population III stars, just to be confusing) were probably very massive and short lived - a few million years. They would be born when the universe was a few hundred million years old and we can see no examples of them in our Galaxy today. To try and define more precisely what I mean by ""generation"". So that is why I claim the Sun can be classed as a ""third generation star"" - it contains atoms/nuclei that must have been inside at least two previous stars. But you should not take this too literally. There are grains of material trapped inside meteorites that consist of solids that were already present in the pre-solar material. These are important because these grains were thought to have formed in individual stellar events and their isotopic compositions can be studied. These tell us that the Sun formed from material that has been inside many different stars of different types. Stellar evolution and nucleosynthesis calculations tell us the same story. For example, whilst most of our oxygen was made in massive stars that underwent a core collapse supernova, such events do not produce that much carbon. The C/O ratio tells us that most of our carbon comes via the winds from intermediate mass AGB stars. Heavy elements like uranium may be dominantly produced in neutron star collisions, but others like barium and strontium are not. The details of how many ancestors have contributed to the Sun has no simple answer. Much of the solar hydrogen and helium could be pristine; some will have been through more than one star. Heavier elements (bar some lithium) will have been through at least one star. The fact that we have s-process elements like Ba, Sr, La and Ce, which are formed by neutron capture onto iron-peak elements, tells us those have been through at least two stars.  However, these are vast underestimates. Mixing in the interstellar medium is reasonably effective. The material spewed out from supernovae and stellar winds 5-12 billion years ago has had plenty of time to mix throughout the Galaxy before the Sun's birth. Turbulence and shear instabilities, driven by the winds and supernovae from massive stars, should distribute material on galactic-length scales in a billion years or less (Roy & Kunth 1995; de Avillez & Mac Low 2003), though local inhomogeneities associated with nearby recent events can persist over $10^{8}$ years. If this is the case, then the Sun is the product of the $\sim$ billion stars that died before it was born. The reason you are confused with your lifetime argument is that you have ignored the possibility of the Sun being made from stars that lived at the same time in different parts of the Galaxy. The material that they ejected near the end of their lives has just been thoroughly mixed up. $^1$ The rest are produced by the s-process in intermediate mass AGB stars; through nova events on white dwarfs; or perhaps, in the case of the heavier elements, through the collision of neutron stars (see this Physics SE question). $^2$ A rough expression for the lifetime of a star is $10 (M/M_{\odot})^{-5/2}$ billion years."
Why is the discovery of merging neutron stars important?,"Reasons why this is important: It is the first simultaneous detection of a gravitational wave and electromagnetic signal, and the strongest GW signal yet in terms of signal to noise (Abbott et al. 2017a). It spectacularly corroborates the reality of the GW detection technology and analysis. The progenitor has been unambiguously located in a (relatively) nearby galaxy (Soares-Santos et al. 2017), allowing a host of other telescopes to obtain detailed measurements. It shows that GWs travel at the speed of light, a further verification of Einstein's General Relativity (Abbott et al. 2017b). It shows that most of the very heavy elements such as gold, platinum, osmium etc. are plausibly produced by merging neutron stars and constrains the rate of such mergers in the local universe (e.g. Chornock et al. 2017; Tanvir et al. 2017). It shows that short gamma ray bursts — some of the most energetic explosions in the universe — can be caused by neutron star mergers (e.g. Savchenko et al. 2017; Goldstein et al. 2017). It is the closest detected short gamma ray burst (with a known distance). That the progenitor has also been characterised allows a closer investigation of the interesting physics underlying the ejection and jet mechanisms thought to be responsible for the gamma rays and later X-ray and radio emission (e.g. Margutti et al. 2017; Alexander et al. 2017). It provides observational constraints on how matter behaves at extremely high densities, testing our understanding of fundamental physics to its limits — for example, the details of the gravitational wave signal moments before merger are diagnostic of the interior conditions of neutron stars at densities of $\sim 10^{18}$ kg/m$^3$ (Hinderer et al. 2010; Postnikov et al. 2010). It provides an independent way of measuring the expansion of the universe. Merging binary gravitational wave sources are known as ""standard sirens"", because the distance to the GW source pops straight out of the analysis and can be compared with the redshift of the identified host galaxy (Abbott et al. 2017c). The result agrees with measurements made using the cosmic microwave background and the distance-redshift relation calibrated by other means, verifying our estimation of distances, at least in the local universe. Finally, this event will turn out to be important because it was lucky; in the sense that the source was detected well-inside the sensitivity horizon of LIGO (Abbott et al. 2017a). The detection itself, was not unexpected given the rates predicted based on studying the neutron star binary systems in our own Galaxy (e.g. Kim et al. 2015), but the fact that it was so close —
 within the closest 5% of the sensitive survey volume where it could have been detected — is fortunate. In the end, if someone thinks none of the above is interesting or important, then nothing I can write will convince them otherwise. The vast majority of people I speak to are curious and fascinated to find out about our cosmic origins and how the universe works."
Does the Sun rotate?,"Yes. It does not rotate uniformly though, different portions have a different angular velocity (as a body made of plasma, it can get away with this). Measuring this in theory is pretty easy, we just need to track the motion of the sunspots. This isn't as simple as calculating the changes in relative positions of the sunspots, though, as the Earth is rotating and revolving, which makes the calculations harder. This measurement can be done using the celestial sphere (the field of stars that we see) as a ""fixed"" reference point and seeing how the Earth and the sunspots move relative to that. Almost everything in the universe rotates/revolves, at least a little bit, because angular momentum is hard to get rid of. It can be transferred from body to body, but for a body to end up with zero angular momentum, it needs to meet another body with the exact same angular momentum and collide with it in a particular way. Given that this is pretty rare, all celestial bodies rotate. In addition to that, a non rotating body that is revolving will eventually start spinning due to tidal forces."
Why don't astronomers use meters to measure astronomical distances?,"In addition to the answer provided by @HDE226868, there are historical reasons. Before the advent of using radar ranging to find distances in the solar system, we had to use other clever methods for finding the distance from the Earth to the sun; for example, measuring the transit of Venus across the surface of the sun. These methods are not as super accurate as what is available today, so it makes sense to specify distances, that are all based on measuring parallaxes, in terms of the uncertain, but fixed, Earth-Sun distance. That way, if future measurements change the conversion value from AU to meters, you don't have to change as many papers and textbooks. Not to mention that such calibration uncertainties introduce correlated errors into an analysis that aren't defeatable using large sample sizes. I can't speak authoritatively on the actual history, but solar system measurements were all initially done in terms of the Earth/sun distance. For example, a little geometry shows that it's pretty straightforward to back out the size of Venus's and Mercury's orbit in AU from their maximum solar elongation. I don't know how they worked out the orbital radii of Mars, etc, but they were almost certainly done in AU long before the AU was known, and all of that before the MKS system existed, let alone became standardized.  For stars, the base of what is known as the ""cosmological distance ladder"" (that is ""all distance measures"" in astronomy) rests on measuring the parallax angle:
$$\tan \pi_{\mathrm{angle}} = \frac{1 AU}{D}.$$
To measure $D$ in 'parsecs' is to setup the equation so that the angle being measured in arcseconds fits the small angle approximation. That is:
$$\frac{D}{1\, \mathrm{parsec}} = \frac{\frac{\pi}{180\times60\times60}}{\tan\left(\pi_{\mathrm{angle}} \frac{\pi\, \mathrm{radians}}{180\times60\times60 \, \mathrm{arcsec}}\right)}.$$
In other words, $1\operatorname{parsec} = \frac{180\times 3600}{\pi} \operatorname{AU}$. Astronomers also have a marked preference for the close cousin of mks/SI units, known as cgs. As far as I can tell, this is due to the influence of spectroscopists who liked the ""Gaussian units"" part of it for electromagnetism because it set Coulomb's constant to 1, simplifying calculations."
Could the dinosaurs have seen the asteroid that killed them?,"The answer is yes; for a few nights prior to the impact (assuming they had eyes with a similar sensitivity to our own and could look up!). It could be a bit longer than this if the body was larger than 10 km (it goes up roughly in proportion to the impactor's radius) and could be much longer if the object was a cometary body or had a very high albedo. Details: Impacting solar system objects would have relative closing speeds from around 11 to 72 km/s. We could take the optimal case that the asteroid approaches whilst fully lit by the Sun (which probably precludes the minimum and maximum speed in the range quoted above) and then scale from another similar body - say the asteroid Vesta. This has a diameter of around $a=520$ km, gets as close as $d=1.14$ au from the Earth and has a maximum brightness of about $m=5.2$ apparent magnitude (and is hence just visible to the naked eye) and an observed flux $f = f_0 10^{-0.4m}$, where $f_0$ is a zeropoint for the magnitude scale. Thus the flux $f_n$ received by a near-Earth asteroid of diameter $a_n$, at a distance $d_n$ from Earth (in au) and with the same reflectivity would be
$$ f_n = f\left(\frac{a_n}{a}\right)^2 \left(\frac{1+d}{1+d_n}\right)^2
\left(\frac{d}{d_n}\right)^2\ .$$
This equation assumes the asteroids are illuminated by the Sun at a distance $(1+d)$ au and then viewed at a distance $d$ au from Earth. The magnitude of the dinosaur killer would then be
$$m_n = m -2.5\log (f/f_n)$$ To be an at all conspicuous naked eye object, $f_n \geq f$ and the dinosaur-killer becomes a naked-eye object at a distance given by
$$ d_n^2(1+d_n)^2 \leq 0.0022 \left(\frac{a_n}{10{\rm km}}\right)^2\ .$$ The only non-imaginary (i.e. square root of a positive number) solution for $a_n \sim 10$ km is $ d_n \leq 0.047 (a_n/10 {\rm km})$ au or $ \leq 7$ million ($a_n/10 {\rm km})$ km. Moving at say 30 km/s, then it gets closer by 2.6 million km per day, thus hitting the Earth about 3 days after becoming a naked eye object. Obviously this would be longer for a slower approach speed or for a larger or more reflective asteroid. But shorter for a smaller, faster asteroid or if the asteroid approached from a direction not fully illuminated by the Sun or had a smaller albedo than Vesta. An interesting trade-off to think about is if what is determined by measurement is the kinetic energy of the impactor. This would be proportional to the product of its mass and the square of its speed. The mass will be proportional to $a^3$. Thus if we fix the kinetic energy and allow the radius to be bigger, then it becomes visible from further away (roughly proportional to $a$) and will also be moving slower. i.e. A more massive, but slower impactor will likely be visible for a longer period of time and vice-versa. Another possibility is that the object is of a cometary origin with an icy composition. If that were so then it could be much brighter as a result of sublimation, outgassing and having a bright cometary nucleus and tail. The answer would still be yes, but the visibility period could be weeks (comets are rather unpredictably bright). It thus seems to me that there is a plausible range of parameters and trajectories where a dinosaur-killing asteroid could be observed and then observed to grow brighter over a few nights, but probably not much longer than that unless it was a comet. Another possibility is of course that the impactor approaches from the sunward side of the Earth. In which case, it would be nearer the Sun, but only partially illuminated as seen from Earth. More importantly, it is likely to be in the daytime sky and would thus remain unobserved until it was, at most, hours away from impact. "
Is the Moon only 60x60 pixels?,"Yes and no. Yes, it's true that the apparent size of the Moon is 30 arcmin. It's true that the visual acuity of most people is 1 arcmin. So it's true that if you take the angular size of the smallest detail you can see on the Moon, and you put a bunch of those lined up straight in a row, you could span a Moon diameter with only a few dozen of them. In that sense, you are correct. However, when you try to reproduce the situation on a computer screen, the comparison breaks down. First off, the eye doesn't see in ""pixels"". Like most optical systems, there's a point-spread function, that takes very tiny details and smears them up to a larger spot. The resolution of the eye is not the pixel size, but the size of the bell curve coming out of the point-spread function, and that has soft edges and is round, and it's everywhere and it's not fixed.  You assimilate the size of that larger spot with the size of a pixel on a digital screen, in your comparison. But that's not the same. The pixel grid in those thumbnails is fixed, so whatever falls between pixels is lost forever. Aliasing intervenes and creates artifacts that are not there in the original image. The dynamic range of the monitor is not the same like the dynamic range of the eye (the eye is much better). Color and brightness levels on the monitor are discrete, whereas the eye sees them as a continuum. Finally, the visual center in your brain is like a powerful computer that applies intelligent correction algorithms to the live image. The list goes on and on. The bottom line is - all these effects combine and allow you to perceive a live image that is slightly more rich than those dead, frozen thumbnails that you posted. Not a whole lot better, but a little bit better. It's not like the eye can ""work around"" limitations, but it's more like you lose too much when you shrink a large image into a tiny fixed pixel grid on a computer screen. It's very hard to reproduce reality on a computer screen. A much better way would be to take a 2000px by 2000px image of the Moon, put it on a big super HD monitor, and move it back to the point where the apparent size of that image is 30 arcmin. I know that doesn't sound satisfactory in the context of your original query, but it's a much better simulation. Similar problems appear whenever you try to map the resolution of any continuous optical system (like a telescope) to a fixed digital grid (like a camera). Let's say you're using a sensor with a pixel size of 4 microns. Let's say your telescope has a linear resolution in prime focus equal to 4 microns. You might be tempted to say - great, the sensor matches the telescope, right? Well, not really. When that happens, you actually lose a bit of resolution. The image is good, but it's a little bit softer than it really should. See below an image of the Moon I took a while ago, with a system having exactly the parameters indicated above. You can tell it's a bit soft, it's not really down to the pixel. Turbulence also plays a role, but part of the problem is that linear resolution is equal to pixel size. Click the image below and open in new tab; if your browser shrinks it again to fit the window, left-click the big image to expand to full size - you must do this to see the full resolution image and notice the effects I'm talking about. The fuzziness is not visible on this small version here:  One way around that phenomenon, as an example, is to blow up the image in the telescope with a barlow until the linear resolution in prime focus is much greater than the camera pixel size, maybe 4x bigger. You do all your processing, and then you shrink it back, if you like, and you'll get a sharper image. Combine it with stacking multiple frames, and the overall quality can get pretty close to 100% the theoretical performance of the telescope. TLDR: Continuous optical systems, and discrete grids of pixels, are very different things and cannot be easily compared."
How does the Earth move in the sky as seen from the Moon?,Still new at stellarium but here are some quick capture gif  lasting one month. Sorry about the quality- limited to 256 colors for smaller gifs. Date on lower left corner. By the way the sun is of course the brightest and i use it as reference for recording (start record when sun is in frame then stop when it appears again in the same position which is roughly one month) Location on Moon : Sea of Tranquility You are looking straight up Yellow lines are azimuth  second picture: Zoomed view of earth One whole day 24 hours (give or take a few minutes) Location on Moon: Sea of Tranquility You are looking straight up Yellow lines are azimuth (gif itself rotated to approximately match the orientation of the 260 degree azimuth line in the first picture)  Answer for Emilio Pisanty comment on whether the oscillation is detectable by eye stellarium Field of view 60 degrees (default view when stellarium first opened) Picture 3 Shows one end of the oscillation near the 200 azimuth line (see yellow arrows) other end of ellipse near 185 azimuth line you can use Gemini (lower right corner) for reference (see yellow arrows) from head to crotch of one Gemini twin would be a good reference for how wide the oscillation is (not sure if your sundial can detect the difference)  picture 4 shows other end of the oscilation near the 185 azimuth line (see yellow arrows)  picture 5 shows my stellarium location settings on the moon 
Can gravitational waves pass through a black hole?,"No, gravitational waves cannot pass through a black hole. A gravitational wave follows a path through spacetime called a null geodesic. This is the same path that would be followed by a light ray travelling in the same direction, and gravitational waves are affected by black holes in the same way that light rays are. So for example gravitational waves can be refracted by gravitational lenses just as light waves are. And just like light waves, if a gravitational wave crosses the event horizon surrounding a black hole it is then doomed to travel inwards to the singularity and can never escape. There is one caveat to this. When we talk about a gravitational wave we generally mean a ripple in spacetime that is relatively small. Specifically it is small enough that the energy of the gravitational wave does not significantly affect the spacetime curvature. So when we calculate the trajectory of a gravitational wave near a black hole we take the black hole geometry as fixed, i.e. unaffected by the wave, and we compute the trajectory of the wave in this fixed background. This is exactly the same approach as we use for calculating the trajectories of light rays. Since light rays carry energy and momentum then, at least in principle, they have their own gravitational fields. But for both the light rays and gravitational waves likely to exist in the universe the energy carried is too small to make a significant contribution to the spacetime curvature. When you say in your question: I would presume that something interesting happens because of the way spacetime works near black holes I would guess you are thinking that the gravitational wave could change the geometry near a black hole, but as described above typical gravitational waves don't have enough energy to do this. It would be reasonable to ask what happens if we give the wave enough energy, but the answer turns out to be that it no longer behaves like a simple wave. Gravitational waves exist in a regime called linearised gravity where they obey a wave equation that is basically similar to the wave equation light obeys. If we increase the energy so much that gravity becomes non-linear (as if the case for black holes) then the oscillations in the spacetime curvature no longer obey a wave equation and need to be described by the full Einstein equations. For example it has been suggested, but not proven, that really high energy gravitational (or light) waves could interact with each other to form a bound state called a geon. I confess that I'm unsure how much work has been done studying oscillations in this regime."
