question,answer
Why do minor keys sound “sad”? [closed],"The major key is present by nature in every note that is played. Therefore, it is interpreted as normal behavior, a happy day in our lives, 'cause that's what we expect to happen. The minor key is opposed to the major key and it's perceived by us (without being aware) as if there was something wrong, hence sadness or restlessness. Further explanation:
When you hear a note, what you're really hearing are vibrations. For each note there is a whole set of vibrations that take in place, and that we don't even perceive. When you play a low C, you're not hearing only C, but every other harmonic or overtone that belongs to C. That is, going from lower to higher in pitch, the low C being played, then C (octave), then G, then another C, then E, so on and so forth, each time being less the distance between the current overtone and the next one. As you may have noticed, this first 5 notes (C, C, G, C, E) form the major triad. This means that by nature, the major triad is always present. The note that results in the minor triad is E flat, which is the 18th overtone in the harmonic series. For this reason, and because the major triad is always there, it results in a contradiction that our human nature understands as sadness, unconformity, and restlessness. If you want to go deeper into this, I strongly recommend Leonard Bernstein's lectures ""The Unanswered Question"", in which he engages in a deep and detailed explanation on this and other similar matters. Here lies musical universality. Edit: It can be considered universal, as physics have demonstrated its existence in nature and, as the same Bernstein says, the major triad (and even until the pentatonic scale, which would user overtones 5 and 6) can be found in every culture around the world."
Why is the guitar tuned like it is?,"I've seen it argued that the instrument that became the guitar started with the major G chord set, the second, third and fourth string, probably in pairs, as the entire string set for the instrument. The first string was then added, and the lower strings were added in fourths to provide more bass harmony, much the same way we see the 7th string being brought in these days. Man, I wish I could source that. In a more practical manner, I play mandolin, which is tuned in fifths. For melodies, it makes great sense to tune in fifths. Scales that seem kinda haphazard on guitar just lay out so nicely on the mandolin. But chords are ugly hand-stretchers. David Grisman, a great bluegrass and newgrass mandolin player, suggests that if you have to play four-or-more-note chords, drop the root and let someone else play it. Guitars, being tuned mostly in fourths, make chords much easier."
What's the point of keys other than C and Am?,"The keys are only identical on equal-tempered instruments, but that's most modern western instruments like pianos. Wind instruments other than the trombone are built to be (mostly) equal tempered [EDIT: I might be simplifying too much here, see David's comment below], but the players can bend pitches somewhat. The trombone, all non-fretted string instruments, and vocalists have more control over small variations and only have to be equal-tempered if they're playing with other instruments that don't have the flexibility. But that's fairly academic and theoretical. You've hit the nail on the head in your second paragraph. The primary purpose of multiple keys is for modulation within a single piece, but yes, some instruments sound better or are easier to play in some keys more than in others. Any vocalist will have keys that they tend to feel more comfortable and sound better in. As a general rule, orchestral string instruments will sound much bigger and richer in keys like D-Major, A-Major and, to a slightly lesser extent, C-major and G-major. This is because the open-strings of these instruments are Es, As, D, Gs and Cs, and all of these open strings will vibrate sympathetically with the notes that tend to be used the most in those keys. On the opposite end of the spectrum, Ab and Eb Major tend to sound a little dull and muddled on those instruments. Some keys fall under the hands more easily than others on the piano. For instance, non-pianists are often surprised to see that F# and C# Major/minor are relatively common keys for solo literature, but it makes sense because those keys tend to feel nice under the fingers--especially when the thumb can just play the occasional white key while the other fingers stick largely to the black keys. I'm sure other answers will talk about other important considerations, but that's a sampling. EDIT: Oh, and I should add that all instruments have a lowest possible note, and most have either a highest possible, or at least a highest standard range of notes. Writing for cello in B-major is often frustrating because, without detuning the instrument, the lowest possible note is a C. Writing for a Bb clarinet (the key of a transposing instrument is a whole other can of worms that is related to, but distinct from, the keys you can have them play in) in Db is perhaps not the best idea since its lowest (sounding) pitch is D natural. Etc."
Why are there twelve notes in an octave?,"This requires an excursion into musical history. Originally, instruments were made to simply play notes that sounded ""right"" together. Why some notes sounded right and others wrong wasn't of great concern for most of humanity's history, until Pythagoras, (yes, the guy with the theorem) noticed that it had to do with intervals, and made a music theory based on perfect fifths. This theory had its problems, however, and was improved upon by later people, eventually ending up on what is called a ""just intonation"" Basically, notes sound harmonious if the frequency of the notes is close to a simple interval, like 3/2 or 5/4. These theories were important because it meant it was possible for different instrument makers to make instruments that could play scales together, thereby making orchestras.  But just tuning has a problem: you can basically only play the scale that the instrument is built for, because the intervals between the notes are different. If you play a tune on the wrong scale, it will sounds out of tune. This means that if you want to sing along with the instrument, you have to find a singer whose range fits the song in the scale the instrument is built for. You can't transpose the song to fit the singer. Also, musicians were exploring the limits of what you could do with just intoned instruments. So out of this came then the equal temperament. It splits the scale into equal intervals, meaning you can transpose a tune into other keys, and also means you can do dramatic chord changes and other interesting things. You can indeed split the octave into 11 or 13 notes if you should wish to do so, but to most people it will sound out of tune. But when you split it into 12 notes, you get close enough to the seven notes of just intonation for it to be bearable, except to some unlucky few supposedly burdened with overactive perfect pitch. The five tones that are in between the basic seven are, as expected, called ""half-tones"". There are equal temperaments other than the 12 tones per octave that will sound fine, but they don't generally have a integer number of notes per octave. Wendy Carlos experimented a lot with this, and made such scales as the Gamma scale with a slightly mind-boggling 34.29 notes per octave."
Is there any real-world difference between time signatures such as 4/4 and 8/8?,"A time signature is simply the composer's way of telling you how s/he is subdividing the measure.  So in 4/4 time, the composer imagines the measure divided into four beats, while in 8/8 time, the composer imagines the measure divided into eight beats.  The difference is less in the strict timing and more in the feel or pulse of the music. Try counting these out loud: All three of these take up exactly the same amount of time, but to me, the 4/4 time feels steady, while the 8/8 time feels brisk and the 2/2 time feels stately.  In all three time signatures, a quarter note will have the same value—one quarter of the measure—but in 4/4 time, it represents the pulse of the music, while in 8/8, it's two pulses and in 2/2 time, it's half a pulse. A difference in feel between 3/4 and 6/8 time can be even more obvious.  In 3/4 time, the measure is broken up into three distinct beats, as in a waltz.  In 6/8 time, by contrast, the measure is often broken up into two beats, each with a triplet feel.  Like this: If the composer writes three quarter notes in 3/4 time, it will feel like three notes on the beat.  But if the composer writes three quarter notes in 6/8 time, the second note may feel syncopated relative to the overall pulse of the music. Update: Listen to the first twenty seconds or so of La Pistola y El Corazon by Los Lobos. Is it in 3/4 or 6/8 time? Depending on how you hear it, the music has a much different feel, with the lead guitars putting emphasis on different parts of the melody. Listen a few times and try to hear it both ways!"
What is good software for learning how to sight-read?,"Jalmus provides what you are looking for and it has a MIDI interface. It is also free open source, is cross platform (written in Java, it works on Windows, Linux, and Mac), and is available in English, French, Spanish, Italian, Danish and German. From the website: Jalmus is a free, open source music
  education software helping the
  musicians, especially pianists, to
  improve their sight-reading. You can
  train to read music with both
  exercises on notes or rhythms. Update development of Jalamus stopped at version 2.3, but the software is still available for download at sourceforge"
What are the most effective ear training methods?,"I break ear training into 3 different categories: There are a lot of methods to attack each of these areas. These do all relate, but I found that it helps to treat them differently as I found that ability in one does not always mean ability in the other. Identify notes from hearing them:
The main method for this is dictation and transcription. You listen to music, or tunes and or harmonies generated by program or just recordings. It helps to start with simple things and build on this as you get better.  The ability to tune pitches:
Singing with a drone really helps with this. You really feel how a tone fits against the tonal center drone by doing this. Also, playing something like a bass line on the piano and singing the melody, and the other way around, can help with this. A lot of intonation comes from the ability to hear the tonal center of the music and the harmonies. When you can internally hear harmonies and the tonal center you can tune accordingly. Ability to ""hear"" music form looking at sheet music before it is played:
I believe sight singing is the best method for this. I strongly believe in using solfege, and fixed do solfege (as most people start to develop some sense of perfect pitch over time) is one of the best ways to do this. You can first learn to sing intervals, and then simple melodies.  When you can't ""hear"" an interval in your head before singing it you can fill in the notes between the current note and the next notes with scale notes (best to do them as quick grace notes if you can). If you are lost, you sing the tonal note (the note of the key that the music is in) and then do a scale up to the interval. Eventually, you won't need to sing these in between notes any more.   The above method of singing the tonal center or filling in notes is important. Don't play the notes on a piano before singing them because it should be coming from you and not the instrument. Worst case scenario, play the tonal center note on the piano if you get lost, and build up from there. Everything when you are learning this relates to the tonal center, not the previous pitch -- this keeps you from getting off among other things. Be Patient:
All of these skills, like playing an instrument, take time. Don't get discouraged, start with the basics in each area and move up as you get better. You start with simple intervals and scales. Then move on to navigating a key fluently. You then learn how to do transitions between different keys. Lastly, if you get advanced you work on stuff that is either atonal or near atonal. This process will likely take years, and is often something musicians work on throughout their whole life."
How can I significantly improve my hand independence on piano?,"Try Bach's Two Part Inventions (BWV 772–801). They were titled by Bach: ""Honest method, by which the amateurs of the keyboard – especially, however, those desirous of learning – are shown a clear way not only (1) to learn to play cleanly in two parts, but also, after further progress, (2) to handle three obligate parts correctly and well; and along with this not only to obtain good inventions (ideas) but to develop the same well; above all, however, to achieve a cantabile style in playing and at the same time acquire a strong foretaste of composition."" There are 15 two part inventions and 15 three part inventions.  In working through the two part inventions, myself, I found that I had developed hand independence and learned some beautiful songs in the process.  You can get the scores at IMSLP.  Good luck."
Purpose of double-sharps and double-flats?,"Often it has to do with altering notes in a key that are already sharpened or flattened, such as a harmonic minor in a key where the 7th is a sharp.  Take G♯ minor: You could write F♯♯ (or F𝄪) as a G, but then your scale would have no F note in it but two different G's.  Every time you put down an G note, you'd have to attach a sharp or natural to indicate which note is to be played.  It's clearer to have an F𝄪 and a G♯ than to have a G and a G♯.  And some will insist that every scale should have one of each letter-note. I also suspect than in just intonation there's a difference between a doubly-accidentaled note and what would be the equivalent note in equal temperament (i.e., F𝄪 is not actually the same sound/frequency as G).  This answer to another question does a good job of explaining that."
How do professional accompanying musicians (seem to) figure out songs instantly?,"There are formulas and sets of harmony formulas that musicians know of. ie. Chord Formation. I, IV, V7 sets of harmony; Chord Substitution; Fifth Motion, Dominant motion; Diatonic Cycles of Fifths, Chord Tone Substitutions, etc. Each chords in each set have their own characteristics that you need to know what they represent. I can be indicative of what each chord's character are like but the fastest way to teach you that is through you experiencing it. With that, once someone says: Gimme a C or whatever, immediately the musician knows the set of harmony ideas they must employ. And with their sense of feelings and hearing they will know what the next chord should be. Of course they do make mistakes. That is where they correct themselves along the way in real time. In my place, we call it 'bluffology"" - bluff our way through. Done properly, most people will not know our mistakes. It does takes time to acquire such skill but the mindset must be tuned that way first."
