question,answer
How to deal with people who randomly go all-in?,"This is very much related to this question:
How big an edge can you have on a tournament field ? ROI vs edge question You have to balance the chance that your hand will win against a random hand with the actual advantage you gain from getting their stack. In general, I'd advise folding with less than a premium pocket pair preflop, and continuing on the flop with TPGK or better."
"In a private live game, how do you deal with severe violations of table etiquette?","When faced with these situations in my home games, we begin to institute a penalty of some sort for any recurring violations. I think that works for both serious and friendly games - it may simply alter what penalty you choose. Examples we have followed:"
Simplest Way to Explain EV to Beginners,"Say we have a $1 million raffle that has only two tickets: a winner and a loser. I give you a random ticket and tell you that you MUST sell it. How much money should you sell it for? (I.e. how much is it worth?) A. $1 million?
No, because it could just as easily be worth $0. B. $0?
No, because it could just as easily be worth $1 million. C. $0.5 million?
Yes. This is the expected value of the ticket.  Notice that the holder of the winning ticket will never actually get $0.5 million. They will either get $0 or $1 million. We just use $0.5M as the expected value. If you sell it for more than $0.5M, you made money on the deal. If you sell it for less than $0.5M, you lost money on the deal. Note: We got $0.5 million by multiplying the odds of winning (0.5) by the amount of money you would win ($1 million). You would use the same strategy in poker, where the ""value of the winning raffle ticket"" is the money in the pot, and the ""odds of winning the raffle"" are the odds of your poker hand winning. Another way to think about this is from the point of view of the raffle creator.  Say I am giving away $1 million in my raffle again with two tickets. How much should I sell each ticket in order to break even? Well, if I am giving away $1 million, I want to make sure that I am getting $1 million back, otherwise I will be losing money (if I sell it for less), or making money (if I sell it for more). A. $1 million per ticket?
No, because then I will take in $2 million total (2 tickets * $1 million each).
I would make money in this case. B. $0 per ticket?
No, because then I will take in $0 total (2 tickets * $0 each).
I would lose money in this case. C. $0.5 million per ticket?
Yes, because now I will break even by getting back $1 million (2 tickets * $0.5 each)."
"How do you recognize when you are playing ""on tilt""?",I can think of two tell-tale signs:
Is there a comprehensive source for poker terminology?,"One good place to start is the tags page on this site.  Any tag used on a post will show up there, and they should all have definitions.  If you see one that isn't defined, please add a definition to it. Some terms that may not show up as tags: Robert's Rules of Poker also contains lots of common definitions, and is available as a web page, downloadable web page, or Word document."
What is a 'wet board'?,"The term wet refers to the connectedness of the community cards. It's translatable to most all variants of poker depending on the game mechanics.  Specifically, there are three things to consider when judging the wetness of a board, There are nuances regarding wetness. Wetness is relative to the opponents range. This is important when considering how to proceed against specific opponents, as the same board isn't wet for all types of opponents. For example, vs a tight opponent, a board consisting of high, suited, connected cards is wet, but not necessarily so for an opponent who is very loose. This is after consideration of the width of an opponents likely range. "
Is it impolite to leave a cash game when I'm about to be the big blind?,"No, it is absolutely not rude to leave from UTG. Frankly, it a crazy suggestion. What right does anyone have other than yourself to compel you to spend your own money against your will! From any position, it's still your money. I'd suggest they were the rude one for proposing it. Not only is it fine, it's strategically best as it minimizes the cost per hand relative to the blinds, by seeing the whole round."
What can I do  to calculate my odds in a hand?,"The simple case, for making your hand on the next turn, is to add up the number of cards that can give you the winning hand on the next turn, and divide by the total number of unseen cards left in the deck.  This means that, in games like Stud, you need to remove any potential outs that have been folded by others from the cards that can give you a winning hand. In general, if you have seen 5 cards, and you have 4 to a flush, there are 47 unseen cards, and 9 that will give you a flush.  If you think a flush is the winning hand, you have a 19.14% chance.  If you are playing a flop game and you are up against a set, you have to discount the one flush card that would pair the board, which means you have 8 outs out of 47, or 17%. So, for the ""next card"" solution, you have: When there are multiple cards left, more advanced statistics become involved.  You have to consider cards that may give your opponents the best hand, as well as conditional probabilities.  In flop games with only the turn and river to go, and shared board cards, an approximation of the formula would be: In that case, opponent outs are outs that will give your opponent a better hand than you.  Depending on the hand you are drawing to, and your opponent's hand, the formula can be simpler - in the case of a flush draw against a set, you have 8 outs twice, but your opponent will have 6 cards on the turn that give him a full house, and 9 cards on the river that will do the same."
"What are Pot Odds, and how do I determine them?","What are Pot Odds? Pot odds are the value of the pot (how much you stand to win) in comparison to the cost of you calling, and are most often used to evaluate the value of making the considered call.  Calculating Pot Odds Pot odds are a ratio, Pot Value : Call Cost To convert this ratio to an equivalent percentage, divide the Call Cost by the sum of the Pot Value and Call Cost: To convert a percentage back to a ratio, subtract the Pot Odds Percentage from 100, and divide the remaining number by the Pot Odds Percentage: Using Pot Odds to Calculate Value of a Call Example: If the pot is $50, and the cost to call is $10 your pot odds are 50:10 or 5:1 (16.7%) when reduced. If the odds of you drawing the winning hand are greater than 5:1 (16.7%), there is positive value in calling the bet. If the odds are less than the pot odds ratio/percentage, there is a negative value. Miscellaneous  Obviously, even if the expected value of calling is positive you may still lose the hand... but over extended sessions these value calculations will be true statistically. The trick often happens when using pot odds early in a hand (ex. Flop or Turn in Texas Hold'em) where the pot odds and chance of winning the pot may change again... this brings up the concept of implied odds and can be read about on Wikipedia and all over."
How are side pots built?,"Side pots develop from the fact that players can only win a maximum of the amount that they wagered from each of the players who call them. Thus any wagers above that amount are placed in a separate pot which is competed for by everyone except for the all-in player. As to your specific questions: The only way for x players to be all-in is for there to be x+1 players in the hand, or for at least two of them to have exactly the same amount of chips. Thus there will be a maximum of x-1 side pots (if all players each have a different amount of chips), in addition to the main pot. If any players have the same amount of chips, then there will be one less side pot for each time this occurs.  "
