question,answer
Points are given in tennis 15-30-40. Why 40?,"The answer to this is a little convoluted and the answer is just what is ""believed"" to have been the reason behind the scoring numbers, but since tennis is a game that dates back to the 19th century, it's tough to know for sure. Anyway, here goes... Think of a clock face that is divided up into quadrants - which would give you the 15, 30, 45, and 60 intervals. The problem with using that to score tennis games though, is that to win a game, you have to win by 2 points if the score reaches deuce (40-40 or ""40 all""). So it is believed that the first 3 points would advance the hand to 15, 30 and 40 - and then the next 2 points would advance the hand by 10 minutes - first to 50, then to 60 - still keeping the game finished at the 60 mark. If the (serving) player failed to win 2 points in a row after deuce, the hand would move back to 40 and the score would be at deuce again. See here for some additional theories behind the scoring nomenclature."
Why is FIFA against adding instant replay to the game?,"There are a few fundamental considerations: In 2008, FiFA President Sepp Blatter said: ""Let it be as it is and let's leave [football] with errors. The television companies will have the right to say [the referee] was right or wrong, but still the referee makes the decision – a man, not a machine."" Blatter and others at FIFA have repeatedly argued against using instant replay. But lately, FIFA has begun to come around on the idea. At FIFA's Congress in São Paulo prior to the 2014 World Cup, Blatter proposed allowing managers 2 challenges per game, much like the NFL handles challenges today. Although it's not quite ""instant replay,"" in 2012 FIFA approved two different goal-line technologies to improve referee accuracy: ""Hawk-Eye"" -- which uses visual triangulation to determine ball location -- and ""GoalRef"" -- which uses a microchip in the ball and magnetic sensors within goalposts. (Many say FIFA approved the technologies in response to Frank Lampard's snubbed ""goal"" against Germany in the 2010 World Cup.) In 2013, FIFA announced it would use GoalControl, a German competitor to Hawk-Eye, at the Confederations Cup, basically a rehearsal for the World Cup. After a successful run at that tournament, FIFA announced it would implement GoalControl at the 2014 World Cup. The Guardian provides a pretty helpful FAQ on the technology. FIFA may choose to implement further changes to approved goal-line technology and referee rules when it meets again after the World Cup."
Is it legal to throw an alley-oop to yourself in a real game?,"For the NCAA, it is scored as follows (from page 10 of the 2011 Official Basketball
Statisticians’ Manual): A.R.15. Adams throws a pass to himself or herself off the backboard, and then shoots and makes the basket. Ruling: Credit Adams with a FGA and FGM, but no assist 
  or rebound. For the NBA, according to this Q&A (from 2009) with Bernie Fryer (Vice President of Referee Operations and Director of Officials in the NBA), it is also allowed: Are you allowed to throw the ball off the backboard, grab your own rebound and dunk it without landing?
  -- Blaise
  Bernie's answer: Yes. Under the traveling rule, a player who attempts a shot or pass may not be the first to touch the ball unless it touches the backboard, rim or another player. Therefore, a player can intentionally pass the ball to himself off the backboard or rim. Actually, a week or so ago Kobe Bryant was double teamed near the 3-point line, had no one to pass to and had already picked up his dribble. He was about to fall down, which would have been traveling, instead he alertly threw the ball off the backboard, caught it and dribbled back to the top of the key. This wasn't an alley-oop but was similar. Michael Jordan was famous for doing the same thing on occasion."
Why are professional athletes allowed to compete in the Olympic games?,"The IOC officially began allowing professional athletes to compete in the Olypmic Games in 1988, basically leaving it up to the individual sporting federations to decide if they would permit it. The only sports which continue to claim they are ""amateur only"" are boxing and wrestling, but even that's a bit of a misnomer: certain national boxing or wrestling Olympics committees pay out cash rewards, but since the fighters are not paid to fight, they are not considered professional. This topic is actually the subject of an article by Simon Eassem, published for the Second International Symposium for Olympic Research. The entire publication is called Critical reflections on Olympic ideology though it seems to be pretty hard to find. But the basic factors behind the IOC's decision were: Ultimately, the IOC just decided that excluding pro athletes made the games less interesting, less competitive, and less fair. It also helped that the Olympics were big business by that point, with television rights fees, sponsorship money and similar sources of income. Having huge, marquee-level celebrity athletes brought in lots more money."
Are there any sports for which the world's best player is female?,"Equestrian Sports comes to my mind as the only Olympic Sports where men and women face each other in competitions. Dressage, in particular, is dominated by women. Isabell Werth and Anky van Grunsven are possibly the most prominent, having dominated the world class for the last 20 years. I just came across this ESPN article which argues that in shooting, women are consistently doing better than men."
How is offside determined in football?,"Wikipedia article on ""offside"" is very comprehensive and largely based on the official IFAB Laws of the Game. From the article, what it is:  Offside is a law in football which states that if a player is in an offside position when the ball is touched or played by a teammate, he may not become actively involved in the play. A player is in an offside position if he is closer to the opponent's goal line than both the ball and the second-to-last defender (which is usually the last outfield player), but only if the player is on his opponent's half of the pitch.  How it is officiated: In enforcing this rule, the referee depends greatly on an assistant referee, who generally keeps in line with the second-to-last defender, the ball, or the halfway line, whichever is closer to the goal line of his relevant end. An assistant referee signals that an offside offence has occurred by first raising his or her flag upright without movement and then, when acknowledged by the referee, by raising his or her flag in a manner that signifies the location of the offence So in my own simple words, you determine an offside by: If you see that the line going through an offending player who is about to receive the ball is closer to the goal than the line going through the last defender, and that line is in the defending half, then it is an offside. Refer to the Laws of the Game for more info.  Notice that there are a few exceptions when someone can be or not be offside. "
Why was the marathon World Record not 2:03:02 in 2011?,"The course for the Boston Marathon does not meet two of the criteria necessary for ratification of world or American records: The Boston course has an endpoint about 24.3 miles (39 km) from the start point, and the endpoint is also 459 feet (139 m) lower than the start point. source: wikipedia"
"In cricket, how is it decided from which end to start the match?",The fielding captain decides from which end he wants to start the match and informs the batsmen who then decides who will face the first ball. Usually this is decided by the preference of the bowler who is going to bowl the first over.
Why do some swimmers wear two caps?,"Actually, most swimmers at this level of competition wear two caps. Dana Vollmer, who won gold with a new world-record time in the 100m butterfly, actually lost her outer cap in the pool on the return leg of that event. Thus, the first reason; redundancy. These caps are latex rubber, which doesn't mix well with chlorine and will eventually degrade, and as Dana's swim shows, even a brand-new cap can slip right off. If the swimmer, especially a female swimmer, had only one cap, losing it and releasing their hair would drastically increase the drag they have to swim against in the water. Second, as Rory states, a common (though not universal) way to put all your headgear on is to put one swim cap on, then put your goggles on, then cover the goggle strap with another swim cap. Not only does it reduce drag on the goggle strap (which is minor), it helps keep your goggles in one place (MUCH more important). I was on a swim team when I was much younger, and I lost count of how many times the shock of entering the water ripped my goggles right off my eyes. You still have to swim if it happens, but it becomes a HUGE distraction that can take you right out of the race. At your average junior swim meet, losing a race to your goggles is embarassing but not devastating. At the Olympics, it would be a heartbreaker."
"Can a football team force its defeat, e.g. via own goals?","Sports governing bodies come down very, very heavily on teams deliberately losing - a very similar example to the England/Belgium World Cup situation is from badminton at the 2012 Olympics, when the teams which deliberately lost were disqualified. FIFA would almost certainly deal with any blatant deliberate losing in the same kind of way; see also a cricket match where a team deliberately lost which again resulted in their disqualification from the tournament. There is nothing explicit within the main body of the Laws of the Game which requires teams attempt to win, although players can of course be cautioned for ""unsporting behaviour"". Is attempting to lose ""unsporting""? I don't think there's a clear consensus on that one, but given the extensive media speculation on this one I'd hope that FIFA has given guidance to both the match officials and the teams involved."
"What factors give a ""Home Advantage"" and how big is it?","I'm not posting this as an answer to rival the others as I feel they are excellent answers. However, this is pertinent to the question, it's interesting and it is going to be longer than a comment. Why it's better to be the home team I've read a number of articles over the years about how playing an away game can be a considerable disadvantage above the obvious difference in supporter numbers.  Here are some that I recall. Finally, a couple of interesting articles: The Guardian The Independent And here's a BBC Magazine article on ""The Science of Home Advantage""."
