question,answer
"OK we're all adults here, so really, how on earth should I use a squat toilet?",":D I grew up using that thing. When I went studying abroad, I had problems with the toilet you guys called as the normal one (the sitting one). I literally wet my pants several times. Probably I should start a post about ""How to sit on the normal toilet"". Here are just some extra tips so you don't wet your pants on a squatting toilet."
How do you know if Americans genuinely/literally mean what they say?,"There is an essay which explains the difference between ""polite"" and ""direct"" cultures. First of all: For members of the Anglosphere like Americans, Britons and Canadians the Germans are using the term ""Angelsachsen"" (Anglo-Saxons) which is slightly different from the meaning in English, it especially has a more humorous connotation like ""Teuton"" for Germans. As it is used extensively in the original essay, the original author suggest the use of ""English speaker"" as translation, be aware of the difference. The essay describes the cultural difference between English speakers (polite) and Germans (direct) very well in German. I translated the essay with help from other people, especially the user Semicolon, because it seems to gather much interest. Why Americans (Brits, Canadians) do not say what they mean
translated by Thorsten Siebenborn with permission
of the original author Scot W. Stevenson, a German-American
  ""Hey, how are you"" asks an American -- and is surprised when his German friend tells him that his pet ferret was killed by a car. ""Just come on over sometime!"" said the Briton and is aghast when the German sometime later really stands before his door. English speakers do not always mean what they say; Germans, in contrast, almost always do. If those two cultures come together, there are some more problems than just the handshake [Translator: Short addition to the essay: Germans shake hands and subconsciously slightly bow their head, Americans don't => Americans are arrogant, Germans are cute]. Cultures from the Anglosphere are speaking with a cultural code which demands politeness. For example, it is considered crude to answer directly with ""no."" Therefore they use phrases that every other English speaker understands as ""no,"" yet do not mean ""no"". (Dear women: Some problems with ""no"" seem more influenced by gender than culture. I am sorry.) When a woman asks her best girlfriend if a specific dress fits her, should the friend be German she may answer with a grimace: ""You? Not really"" or ""I don't know if that really fits you."" An American woman would be more apt to answer, ""Wouldn't blue be a better fit to your eyes?"" -- which means you are looking like an anorexic scarecrow with a drug problem -- while a German girl asking would get the inkling that they are talking past each other. ""Eyes? Why is she blathering about my eyes? I want to know if my butt juts out!"" Other examples: During a discussion with Americans, ""I wonder if this is really the best solution"" means ""no."" Likewise, ""I'm wondering if we need more time"" or ""we might want to review some parts of the project"" are also negative. Americans are perplexed (or simply angry) when Germans, after a short reflection, respond, ""Nope, it's ok"" and simply continue. From the American's point of view, the message was clear. The rules are valid for the daily routine, too. A polite Canadian won't tell you that he does not like a present because it seems to him to be indecent as it could hurt your feelings. And that is -- we are coming to the central point of the story -- in case of doubt, more important than the truth. For this reason he or she tells you -- if ever -- encoded in indirect language, and because the gift-giver is expected to know the code, he understands and everything remains polite. Not without good reason there exist the terms ""little white lie"" and ""polite lie,"" which are significantly weaker even than ""white lie"": these are culturally accepted, even culturally mandated lies. This prompts the question of how Britons & co. react if they really like the present. In short: they freak out. ""Look, honey, I wanted this since I was seven, no, I mean, before I was born, wait until the neighbours see that, oh my goodness!"" There will be many, many, many thanks. This day will rest in his memory forever and he will tell his grandchildren about it and it will be chiseled on his tombstone, etc. If you are German and you begin to have the feeling that it's getting embarassing and you begin to suspect that your counterpart is pulling your leg, all was correct. While happy English speakers are a bit strenuous for Germans, the reverse situation is more serious. An American who gives a German a present is almost always crestfallen because Germans never flip out. In the codebook of an English speaker, a completely normal German ""Thank you very much"" is a sign that the present was not liked. The author needed to comfort several saddened English speaking compatriots coming back from a date with German woman: ""She didn't like my present! What did I do wrong? I don't understand."" Erm, no, she really liked it, but she is a German. They are that way. Marry her nonetheless. And now the part which may be uncomfortable for interested readers: The rules are still compulsory for English speakers in foreign countries. ""If you don't have anything nice to say, don't say anything"" has been hammered into their minds as children and so they will hold their tongue about anything negative during their time as a guest. Criticism as a guest is one of the most grievous offenses of politeness. For that reason it's impossible to find out what English speakers really think about Germany. If they are well-mannered, they will always say that it is wonderful. Amazing. Great! Any other response would be a catastrophic breach of manners on par with using the tablecloth as a handkerchief and chopsticks as cotton swabs. For Germans this is frustrating. After the guest has been in a new country for some time, the German would expect that there a things which their guest don't find to be as good as in their home country -- naturally. It's expected in Germany to mention such things ""honestly"" because it shows that you have a ""sophisticated"" opinion about the world and a cultivated and critical mind. People who find everything super, great and wonderful are considered dumb, gullible and superficial -- the last one is, not without reason, the leading German prejudice about Americans. From a certain American view it could be considered a compliment. Such cultural differences are known to most Germans in regards to countries like Japan, where ""no"" only exists in a dictionary because the communication police demand it. For unknown reasons they don't expect it from Britons and Americans. It's also not taught in English classes, which remains a complete mystery for the author. As an exercise I ask the reader to imagine normal German au pair pupils in London, New York or Ottawa. They will all be asked ""How did you like your stay?"" -- and every year, thousands of unsuspecting German children will run straight into the cultural knife. When Germans in frequent contact with English speakers become aware of the code, they're prone to panic. Every sentence and statement will be dissected: Does he mean it or is he polite? What do I do now? I want the codebook! You need to realize that you just won't know some things. A good host will always give the impression that life has changed a bit. If you cannot cope with that you need to follow their train of thoughts, put yourself in their position and trust your empathy. If you are guest, please spare your criticism for your diary and concentrate your honest praise on one point -- at least, as honest as possible. It was different means it was terrible, so you cannot escape easily. A rule of thumb is the principle I explained above -- behavior that looks like overstating is more than politeness (though be careful with Americans who live in Germany long enough and now know what to expect). There is a helpful ""three times rule"": If an English speaker tells you something three times (""Please come visit us again!"") or enough times that you are irritated, you can safely assume it is honest. One time means nothing. In the end you should know: No one expects a foreign guest to exhibit completely correct social behavior. Most Americans know that Germans are, erm, more ""direct"". If you don't mind fulfilling stereotypes, you have a certain leeway to handle things. If you know the rules or are at least aware of their existence, you could break them on purpose. The most beautiful German [Translator: His wife.] sometimes uses the introduction ""I am German, so I am sorry if this seems to be a direct question,"" which causes immediate blood freezing of every English speaker in hearing distance. Ist der Ruf erst ruiniert... [Translator: German idiomatic expression meaning that once your reputation is ruined, you can stop worrying about what other people think.] He advises that in addition to Max's answer about necessary included information in your interaction that repeating it several times is an indicator of genuineness. Three times is almost binding; once is simple politeness. Another thing is that in polite cultures real happiness and agreement are likely to look overstated in general. If the person in question does not change much from his usual politeness, it means nothing; if you get the impression that he/she is out of control for happiness, it really might mean ""Yes"". He also added that if you ask for something where a negative answer contradicts politeness (""Did you really enjoy your holiday here?"") you won't get an honest answer and you really must look for empathy. I will add some general information because the blog author is quite astounded that people in Western countries expect that other people in Western countries act the same. They do not. People in more ""direct"" cultures like Netherlands, Germany or Russia are quite simple. Yes means Yes, No means No. As noone is expected to adjust his mood for other people, people are looking sad if they are sad and if they are happy they look happy. What you are saying will be assumed to be true.
If you as ""Anglo-Saxon"" say: ""Just come on over sometime!"" it means that you literally invited people to visit you at home !
""Hidden"" No's are likely to remain unnoticed. A ""I wonder if this is really the best solution"" means ""I'm ok with that, but I think over if we can find a better solution later"". You will be ignored. For people from more direct cultures it is quite vexing because you are operating outside cultural norms (which can be in fact very different in polite cultures) and if you know the difference you must always ask yourself: ""Does he/she mean it"" ?
For people from polite cultures people from direct cultures appear to be rude, dismissive and obnoxious. A ""No, please redo this parts again"" which means in a direct culture ""Quite ok, but this part needs some polish"" is a complete disgrace and dismissal in a polite culture."
My name causes an issue with any booking! (names end with MR and MRS),"Airlines were early pioneers in communication technologies, and have been very slow to modernize. For example, today, airline IT systems still communicate extensively using TTY: Type-A for synchronous communication, and Type-B for asynchronous communications. There is a standard for TTY, which nobody follows, a de-facto standard by SITA, which is mostly followed, and many parties have quirks in their implementation, either not being able to parse some fields/special indicators, or emitting incorrect ones; everything you'd expect from a 100 years old format which grew organically as new needs and ideas arose. This is a pervasive theme in Airline IT, with multiple epochs of technology being used side by side as companies migrate very slowly. The airlines will swear that they received the name as A and the agent will swear that the name was sent as Amr. They are both right, quite likely, and the issue lies between the Travel Agency and the GDS. GDS -- such as Amadeus and Sabre -- generally offer multiple interfaces into their systems, from old ones kept for compatibility reasons to more modern ones. More modern interfaces will accept structured messages which leave no room for ambiguity; the old ones however... are full of quirks. In general, Travel Agencies are loath to modernize their IT: it requires re-training the agents, and buying new software, which costs quite a bit of money with little to no benefits to them. In the case of a Travel Agency connected to Amadeus, for example, this means that they are likely using ATE: the Amadeus Terminal Emulator, which as the name implies emulates the terminals of old. Check the Quick Reference Guide, p. 33 on how to create a PNR: Using a space, the parsing is unambiguous, however not all agents put a space, thus if instead the agent types: Then the command will be parsed as (NM, 1, ELADAWY, A, MR) to be ""helpful"". As mentioned, internally a GDS will use structured records. If you solve the data entry issue, and your first name is properly recorded into the system, then you should not have to worry about further issues. You'll need to double-check the agents' work. Just because they type AMR does not mean that the system will interpret it as AMR, as we've seen. They can fix the issue by explicitly specifying the title: NM1ELADAWY/AMR MR. Agents may not be entering your name in the system immediately, for a variety of reasons. If they do not, you cannot double-check that they did it properly. You may have to insist that they do it immediately. OTAs generally have more modern, automatized, systems. As such they are more likely to rely on the more modern interfaces of a GDS. Using an OTA may be a simpler way for you to ensure your name is properly entered in the system. Good luck"
Why are airline passengers asked to lift up window shades during takeoff and landing?,"I will answer this with a very long answer since aviation safety is my day to day job. The window shade opening is a part of a long process to prepare the cabin for sudden (unexpected) emergencies. Why is that? Well, cabin crew have only 90 seconds to evacuate all passengers in case of emergencies. The process of evacuation itself should not take more than 90 seconds regardless of the size of the aircraft or the number of passengers. So to make the evacuation possible in 90 seconds cabin crew and other airline staff will prepare every flight in advance to make this possible. One example is the emergency exits, only healthy adults are allowed to occupy these seats, they are also required to read the safety card for emergency exits to make them prepared in case of emergencies to help the cabin crew. They are called ABPs (Able-Bodied-Persons). This is just one example. Anyway, window shades opening is a small part of a long preparation process. Passengers are asked to open window shades before take offs and landings because these are considered to be critical times in aviation. Many things can go wrong during these times (most accidents do happen during take offs or landings), so people are asked to open window shades along with other things (seats in an upright position, people seated and buckled etc.) to make everything prepared as if the plane were in an emergency. In case something goes wrong (God forbid) things will be ready in advance so cabin crew can easily evacuate people in the short period of 90 seconds.  Specific reasons behind the window shade opening include: These rules might be different from one airline to another, but in general, almost all airlines require their crews to make sure of the window shades during take offs and landings. They also add it in the preparation announcements prior to take offs and landings."
"How to intentionally get denied entry to the US, without getting into trouble?","This question was shared on Hackernews and has a lot of comments and ideas over there that might be of interest to you as well. Some of the major points raised there: There are some other options like telling the border officer that you're likely to overstay, which will get you taken aside for further questioning, at which point you can explain your situation. But it would be better to find a solution BEFORE your flight."
Tactics to avoid getting harassed by corrupt police?,"I live in a very corrupt country - Ukraine. (Not that corrupt any more. See update below.) Let me give you some advice. This is the only advice I can give on how to avoid corrupt police. They often search for strangers just to get some money from them, because strangers are easy meat. All the other advice is how to deal with bribes and police. This is not a complete list, of course, but I tried to make it as descriptive as possible. To summarize, I'd like to remind you that your dominating behavior is the key. UPD as of 2019: In 2014, after Russian invasion, the new government was elected. A huge number of reforms significantly decreased the corruption level across the country. The street police was fully replaced, like 95% of street policemen are all new people. The on-street bribing has stopped across. You can now go to a police officer and ask for help, they would be honoured to help an overseas tourist."
Why prohibit engine braking?,"Completely different thing!  They are referring to the ""Jake Brake"" in heavy trucks, where the trucker opens a portal to the depths of Hades and you hear a very loud  sound, wrap the pillow over your ears, and call the Realtor in the morning.   This does not apply to regular old downshifting in a gasoline car, where you spin the engine to use your cooling system as a dynamic brake.   If trucks would just do that, nobody would complain.  The Jake Brake (or more properly the Jacobs brake) makes engine braking more efficient.  Normally a diesel gulps a full load of air (no throttle plates) and no fuel is injected when it is in engine braking. The engine consumes energy in the compression cycle but regains that energy in the expansion (normally power) cycle.  The Jake Brake prevents that regain, by opening the exhaust valve at the start of the power cycle instead of the end.  This instantly, and percussively, dumps a shot of 200-400 psi air directly out the exhaust stack. "
"Boss is asking for passport, but it has a stamp in it I don't want him to see. What to do?",
How to avoid drinking vodka?,"In Bulgaria, Russia, former USSR countries and others, it's considered offensive not to drink when you've been invited to, and you might need a good solid excuse if you decide not to drink at all. Expect to be on the receiving end of some good-natured banter if you decide to abstain completely. Medical reasons are a possibility, although it will be difficult to refuse to drink at least once with your hosts, regardless of your (supposed or actual) ailment. But if you decide to drink with the best of them, then you are expected to do so each and every time a toast is raised -- which can get you down pretty quickly if you are not a serious drinker. What you can do is just pretend to drink from your glass after every toast -- you don't have to shove the whole 100 g down your throat every time. Just take a little sip (maybe a little bit more in the beginning), and after the first few rounds the hosts and their guests will be in too cheerful a mood to notice you're not keeping up volume-wise.  Your glass will be helpfully refilled by someone sitting close to you when getting below one-third or so, so just don't empty it as quickly. There's always more where that came from.  There's a whole culture of proper drinking in Eastern Europe, so here are some generic drinking tips that will help you a lot if you are drinking only occasionally:  Good luck, and Наздраве!"
I don't know my nationality. How can I visit Denmark?,"From your description it appears that you are stateless -- that is, no country recognizes you as its citizen. That makes international travel difficult, but what's generally supposed to happen is that the country where you're legally resident (that is, the United States) can issue you a passport-like document which can serve as an identification document while traveling but does not declare you to be a citizen of anywhere. In most of the world this would be known as a ""1954 convention travel document"", but the US is not party to the 1954 Convention. Instead the USCIS can issue something called a U.S. Re-entry Permit, which a number of countries, including Denmark, recognize as equivalent to a 1954 convention document. [Beware: As of 2017-04-09, the official lists of travel documents accepted by Schengen member states indicate that Denmark does not recognize US ""permits to re-enter"" but does recognize US ""refugee travel documents"". They are the same kind of booklet, but have different heading above the photo. There are different boxes you need to check on form I-131 when applying.] After getting a re-entry permit you will still need to apply for a Danish visa, since you're not a U.S. citizen (who are visa-free in the Schengen area). On the visa application form, you would put ""stateless"" as your nationality and check ""other travel document"" rather than ""ordinary passport"". You would need to support your visa application with extra good evidence of ties with the US that motivate you to leave the Schengen area after your proposed trip (a green card is a good start here, but by no means sufficient), and having spent your childhood here is not going to make it easier. But it's not categorically impossible. In the long run it would probably be in your interest to pursue naturalization as a U.S. citizen."
