question,answer
law - Can a YouTube video be submitted as prior art?,"
Yes, you can submit a YouTube Video as prior art as long as the YouTube video is publicly available. YouTube videos usually have the publication date under the video, such as ""Uploaded by X on Oct 17, 2011"". If you provide a hard copy of the video itself, it be hard to prove that the video was public  or its publication date, especially if the public version of the video gets removed at a later time. I would recommend making a ""Print Screen"" image of each second in the video that is considered prior art. Make sure that the ""Print Screen"" image shows the URL of the video as well as its publication date on YouTube. Then convert each ""Print Screen"" image into a PDF Document. Combine all the PDF pages into a single document and submit this to the USPTO.  
I'm a patent searcher and I have done this before. 
I hope this helps! :) 
"
patentability - What constitutes an original patentable idea in software?,"
I can only speak to the United States and actually that is somewhat all that matters as it is very difficult to get software patents in other countries.
In the US, 35 U.S.C. 101 states that ""Whoever invents or discovers any new and useful process, machine, manufacture, or composition of matter, or any new and useful improvement thereof, may obtain a patent therefor, subject to the conditions and requirements of this title.""
So, what does that mean exactly? The attorneys at the invaluable website bitlaw.com have complied a list of relevant cases concerning software patents. There are a few take away points that can be summarized:

You can't patent algorithms in their purest sense detached from the physical world. The relevant case is Gottschalk v. Benson. They must be attached to something in the physical world.
You can patent software that is a part of a larger invention connected to the physical world. The first case on this issue was Diamond v. Diehr. Specifically, if what you are applying for performs a function that transforms or reduces an article to a different state or thing it generally would be afforded patent protection.
However, the test mentioned in Diamond v. Diehr is not to be used as the sole test for patentability as pointed out in the recent Bilski v. Kappos case. The court in Bilski stated that the machine-or-transformation test is not to be the sole determinant for patentability.

Which brings us to the present day. It is now unclear what the particular standard is that software needs to meet to be patented. If it is connected to a machine, or is involved in transforming something else then it is probably patentable. So what you will see is patents for software that have some sort of effect in the physical world like e.g. video compression software that produces high quality video on a display screen to a user or something.
For a much more thorough treatment of the topic and far better insight than I can provide I highly recommend the blog Patently-O.
"
databases - How can I perform a global patent search for free?,"
The Lens, started as Patent Lens 15 years ago, is open, free, no advertising (secure) and a public service.  It searches in over 90+ jurisdictions and hosts 100M patent records.  It is not just federated search, but comprehensive links, analysis, embedding and sharing of records, collections and annotations.
It is run by a global social enterprise, Cambia and a publicly funded University, Queensland University of Technology (QUT).
It also has uniquely over 15M non-patent literature citations linked to canonical sources, to seek and explore prior and enabling art.
"
search - How long does it take a patent application to appear in the USPTO database?,"
According to the USPTO FAQ:

Most patent applications filed on or after November 29, 2000, will be
  published 18 months after the filing date of the application, or any
  earlier filing date relied upon under Title 35, United States Code.
  Otherwise, all patent applications are maintained in the strictest
  confidence until the patent is issued or the application is published.

Emphasis mine
(This was in response to the question, Is there any danger that the USPTO will give others information contained in my application while it is pending?)
Title 35 in the USC (which the above FAQ cites) has this to say:

Subject to paragraph (2), each application for a patent shall be
  published, in accordance with procedures determined by the Director,
  promptly after the expiration of a period of 18 months from the
  earliest filing date for which a benefit is sought under this title.
  At the request of the applicant, an application may be published
  earlier than the end of such 18-month period.

Bottom line: 18 months after you file it, unless you request that it's published sooner. 
There are some exceptions that provide that the application isn't published, but I don't think they are really important to your question (read: they were too dry for me to get through).
"
"prior art - Is there a way to achieve protections similar to ""Copyleft"" under the patent system?","
""Copyleft"" is a specific application of copyright law (restricting the license to use copyrighted material by requiring that those obtaining it must also redistribute it for free / under specified terms).
Any work under ""copyleft"" is protected by copyright law (thanks to The Berne Convention copyright is ""automatic"" in most of the world), and those copyright protections are what allow the author to dictate the terms under which the copyrighted work is used.
As far as I'm aware there is no Berne Convention equivalent in patent law: in order for you to have patent protection and the ability to dictate how your invention is used (by licensing the patent for it to impose Copyleft-style requirements on those using it) you must file for (and receive) a patent.

Note that the sort of ""keeping information free"" protection the Copyleft folks would seek is inherent in US Patent Law and most other patent systems -- it is known as Prior Art.
In its most simplistic definition (cribbed from Wikipedia):

Prior art …, in most systems of patent law, constitutes all information that has been made available to the public in any form before a given date that might be relevant to a patent's claims of originality. If an invention has been described in the prior art, a patent on that invention is not valid.

So if you have designed and publicly released something patentable (and can document the date of such a release to the satisfaction of the patent authorities) you can seek to invalidate any subsequent patent claims on the grounds that prior art exists.
"
international - Is there a specified route to convert UK patents to US patents?,"
The usual way to have a patent recognized outside your home country¹ is to make a PCT application. A majority of countries are PCT members (Taiwan is the most notable exception). The PCT application must be made within 12 months of the original UK application (in the general case, there are exceptions). Usually, at this stage, you have a preliminary report from the UK office but no definitive grant or rejection.
The PCT application leads to a search of prior art and preliminary report on patentability. There is no such thing as a “worldwide patent”: the PCT application itself does not lead to a patent.
Within 30 months of the original filing in the UK (priority date), you may select countries¹ in which to deposit a national patent application, for example the US. The patent application is said to enter a national phase. The national patent office will have access to the international search report, but it is in no way bound by its recommendations. It can happen that one country accepts a patent and another denies it; you may get your US patent but not your UK patent or vice versa.
For more information, see the official PCT website.
Note that I am not a lawyer, I cannot guarantee that what I wrote above is true. The process is complicated; you will need a US attorney to handle the US patent application anyway (like in most countries). Your UK patent attorney should know how to advise you.
¹  Or group of countries (EPO in Europe, ARIPO in Africa, …)  
"
uspto - Should I file a provisional application?,"
The AIA is not really a first-to-file system.  It's more of a first-to-disclose system.
That is, after public disclosure, you have a year to file.  Publishing in a journal can beat a later-filed provisional application.
"
patent infringement - What can I do about an infringer if I'm a small independent inventor?,"
Become a troll.  Or join up with one.  Or sell out to one.  Or sell to someone else who wants your patent for other reasons.
There are now a very large number of investors and attorneys who will help you to monetize your patent - provided they think they can make money from it.  Almost all of them would be described as patent trolls, more politely known as ""non-practicing entities"" or NPEs.  These are the guys who provide Davids with slings and stones to go up against Goliaths - for a piece of the action.
For some reasonably accurate background on the term ""patent troll"", check out the Wikipedia entry: http://en.wikipedia.org/wiki/Patent_troll
BTW, you could also offer to sell your patent to practicing entities other than your suspected infringer in the appropriate technological field.  Your patent could be an arrow in the quiver of any entity who contests with the large company that you suspect is infringing your patent.
The principle is much the same in any case - trying to determine a net present value of the patent in the marketplace.  Making such a determination has little to do with judging whether your invention is worthy as being original and much more to do with judging how much money can be extracted from the broader world of commerce via ownership of the patent.
"
international - Revising a poor English translation of a US national phase application based on a foreign language PCT application,"
Since the US application is the national phase of a PCT application, the specification of the PCT application is the specification of the US application. The poor English translation is unfortunate, but the fact remains that the content set forth in the original PCT application should be the content that is represented in the US national phase application.  In this regard, correcting the poor English translation merely amounts to rephrasing or correcting an obvious error (see MPEP 2163.07).  Corrections to the specification of the US national phase application can be made in order to ensure that its content is the same as the content of the PCT application, as described below.  
The specification of the US application can be amended at anytime up until the issue of the patent by filing an amendment with the USPTO according to the guidance set forth in MPEP 714.
If the patent has already issued, then the specification may be amended by filing a reissue application in order to correct the issued patent.  A common ground for filing a reissue application is that the specification contains inaccuracies (see MPEP 1402).  During prosecution of the reissue application, an amendment may be filed with the USPTO that amends the specification according to the guidelines set forth in MPEP 1453.
"
inventorship - What should I do if my name is missing from a patent?,"
If it is a United States patent see if your company's patent attorney(s) will file a ""Correction of Inventorship"" pursuant to CFR 37 Section 1.48 which reads in relevant part to your situation:

§ 1.48 Correction of inventorship in a patent application, other than a reissue application, pursuant to 35 U.S.C. 116.
(a) Nonprovisional application after oath/declaration filed. If the inventive entity is set forth in error in an executed § 1.63 oath or declaration in a nonprovisional application, and such error arose without any deceptive intention on the part of the person named as an inventor in error or on the part of the person who through error was not named as an inventor, the inventorship of the nonprovisional application may be amended to name only the actual inventor or inventors. Amendment of the inventorship requires:
(1) A request to correct the inventorship that sets forth the desired inventorship change;
(2) A statement from each person being added as an inventor and from each person being deleted as an inventor that the error in inventorship occurred without deceptive intention on his or her part;
(3) An oath or declaration by the actual inventor or inventors as required by § 1.63 or as permitted by §§ 1.42, 1.43 or § 1.47;
(4) The processing fee set forth in § 1.17(i); and
(5) If an assignment has been executed by any of the original named inventors, the written consent of the assignee (see § 3.73(b) of this chapter).

"
