question,answer
"remodeling - How do I install a new, non load bearing wall in my basement?","
You shouldn't have to do anything too special, but here are a few tips from my experience:

Use a treated board for the bottom of the wall where it touches the concrete.  This will help to prevent rotting from any moisture that may seep up from the concreate.
Build the whole wall on the ground just a bit shorter than the lowest joist/beam so you can easily raise it into place without it getting stuck.
At the bottom secure it with cement nails/ramset/tapcon screws to the cement floor.  
At the top, if the wall is perpendicular to the joists, you can shim between the bottom of the beams and the top of the wall and nail through those to attach it to the joists/beams.  
If the wall runs parallel to the beams/joists you can either put scraps between the beams and nail to those or you can attach a scrap of 2x4 flatwise to the wall and up against a stud, attach it to the cement wall, then nail through the stud and into the side of the scrap.  Do that for every other stud or so.

"
caulking - What kind of caulk should I use around my bathtub?,"
I just caulked my shower last night. I used GE Silicone II caulk from Home Depot. I read up on this a little before picking out what kind I needed. From what I can tell, silicone caulk is good for bathrooms because:

It's permanently waterproof
It doesn't crack or shrink

Another factor which may play into your choice of caulk could be whether or not it's paintable, but the most important factor for a bathroom is going to be waterproof/mold proof. 
"
Is fiberglass mesh tape a good choice for drywall?,"
I've found that it works OK, but it's more difficult to get the surface smooth than paper tape -- as the mud dries, it shrinks, so the mesh starts to show through.  Obviously this is not a problem if you're going to be doing some heavy texturing afterwards.
"
Are there ways to determine if a wall is load bearing?,"
Without looking at blueprints, all you can do is make an educated guess. Possible methods include:

If it's an exterior wall it's almost always load bearing.
If the joists are not continuous over the wall (they are cut short and meet on top of the wall) it is definitely load bearing.
If there is a load bearing wall or beam directly above or below this wall, it is likely load bearing.
Check the direction of the joists (as you mention). If a joist is running perpendicular to the wall, or happens to fall directly above/below the wall, it can be load bearing.
If there's a single top plate, the wall most likely isn't load bearing, unless the wall uses deeper studs than 2x4 (such as 2x6).
Expose the wall over a doorway or pass-through. If it's a solid 2x6 or greater turned vertically going from the jack stud on one side to the other, there's a good chance the wall is load bearing. 
If there are only cripple studs on a flat 2x4 to give you something to attach the drywall, it likely isn't load bearing.
Look for signs that the wall was added after the house was built, newer wood materials, drywall or finished flooring that extend over/under the wall, etc. If the wall was added, then it isn't load bearing.
Calculate the span from the known load bearing walls on either side of the wall you are removing, look at the type, size, and spacing of joists above the wall, and calculate if the joists can support the load above the wall without the wall being in place. If the joists can't support the load without the wall, then by definition, it's load bearing.
When removing the wall, cut the studs with a sawzall. If the blade begins to bind in the middle of the stud, then there's load coming down from the ceiling through that wall and there's a good chance it was load bearing. Stop what you were doing and sister a stud to the one you were cutting.
If, after you remove the wall, your home collapses, it was load bearing.

"
repair - How do I safely replace a worn out electrical outlet?,"
If you plan on doing much electrical work around the house, get a multi-meter. It's just a little box with black and red probes on the end. Safe enough to stick in an outlet to see if it's live or not.
Outlets are mostly idiot proof. Turn off the breaker, pull it out of the box, see where the old wires are attached and move them one by one to the new outlet. Probably the old outlet already has a ground wire, in which case you're done. If it doesn't, it's probably time to call a pro.
Once you have it hooked up and the power is back on, you can use the multimeter to test. There is a hot side and a neutral side to the outlet. Ground behaves the same as neutral as far as the multimeter is concerned. You should be able to stick one prob in the hot side and the other into ground or neutral and get around 110 on the multimeter (+/- 2-3 volts).
"
How do I repair hairline cracks in stucco?,"
If it were my house I'd get painting! Paint is intended to seal hairline cracks of this kind. Depending on your locality you may find that it's feasible to spray a paint finish over stucco, which can be by far the easiest and cheapest way to do it. 
"
"Where can I find a bathroom fan that will fit in a 5"" cylindrical space?","
I lived in a condo built in the early 50's with a super cool looking chrome bathroom exhaust fan.  The original motor finally died after 54 years of service... so I went looking for a replacement fan/light unit.
Unfortunately I was unsuccessful as well since the original fan housing is not the ""standard"" (read: newer) bathroom exhaust fan size.
Anyway, I was able to find a replacement motor for the exhaust fan assembly and it worked beautifully.  If the motor has any nameplate data on it - odds are you can probably find an equivalent replacement.
I bought mine from this place Replacement Bath Vent Fan Motors - just remember it doesn't necessarily have to say ""bath vent fan motor"" in order to work, so long as the motor nameplate data (volts, amps, HP) are similar.
Good luck!
"
How do I repair a small leak in a steam radiator? Could this be a big problem?,"
I haven't had very good luck with repairing steam radiator patches from the outside (sample size: 2). Steam under pressure is very good at finding microscopic holes between patch and substrate, and enlarging them.
What I have done successfully is an inside patch with epoxy, using a wire brush and steel wool to prep the surface. Getting at the leak may be a challenge, particularly with a radiator that has more than 4 sections you may need to break the sections apart (if you do, this is an excellent time to get the exterior sandblasted and painted).
Simplest and most cost-effective solution is probably to find an architectural salvage shop and replace the radiator (they might take your old radiator as a partial trade).
"
How do I remove wallpaper from drywall?,"
It depends :)
It really depends on how old the wallpaper is, if there are multiple wallpapers glued over each other and how much glue was used.
If the wallpaper is not too old, and was put on in a proper way, usually, a steamer works very well. It has the advantage that it loosens the glue without making the wallpaper to fragile to pull it off. 
I usually try to stay away from chemicals, because they always have some danger for health associated.
"
What do I need to do to add stools to my vinyl windows?,"
Removing the sheetrock will lower the finished stool height a bit which will help maintain a more even reveal on the window, and  make it look less like the stool was added on.  Cut around the edges first with a utility knife to minimize damage to the surrounding jambs & wall below and then just pry it up.  
If you really want to keep the same reveal as the old sheetrock, you could build up your new stool out of 1/2"" thick stock (assuming the sheetrock was 1/2"").  Make one piece that is the size and shape of the entire stool, then thicken it where it projects out from the wall by laminating another 1/2"" thick piece underneath.
"
How can I hang something on an exterior wall with vinyl siding?,"
The siding needs to remain free to expand and contract.  So cutting at least a slot , then hanging something through that would work, but would be unsightly, and would leak water through the hole.  So I think that finding some kind of gasket or trim piece (such as is found where your vents protrude through siding) and trimming with J-channel all around it would look better and would be less prone to leaks.
"
How can I fill a void in a concrete seawall?,"
Almost all cementitious products cure better, stronger and harder with a steady presence of [fresh] water.  As far as placing the product, whichever you choose, in the presence of water, that will depend on specifics that you have not listed.  I will say that when large construction companies are pouring underwater footings, say for bridges, they will have the form in place and filled with a heavier than water gel that gets displaced by the concrete as it is poured in/injected.  If the water is intermittent or tidal you can use a simple fast setting concrete, or a normal concrete with an accelerant additive.  If it is saltwater you can use additives suited to saltwater.  Your local concrete store will be able to direct you in the right direction as far as additives go.  Be careful about what kind of reinforcement you use - many types of reinforcement are very susceptible to sulfates in the water and will cause spalling if placed too close to the outer edge of the concrete.
With regard to your initial description, I would say that most concrete pours end up with a void.  As long as no water is penetrating through the void in your wall you likely have no concerns in re.: future erosion.  Even if water were coming through this void the concrete has likely formed a crystalline structure that is resistant to ""erosion,"" however if water is coming through then there are many cementitious products available for purchase that will solve this problem.  I've used Xypex and at least one other for weeping foundation walls.  Insofar as patching the void is concerned I've had good luck with a product called Thoropatch.
Best of luck in your endeavor, even if I'm not sure what said endeavor is...
Paul
"
How to drain a baseboard radiator system for a repair? How to refill the system?,"
Why do you need to solder in the new pipe? 
There are pushfit and compression fittings designed for fix leaks. 
Assuming the leak is very small you could also use leak stop patty that you just form round the pipe
(Once you move away from solder, you may not need to drain the system if the leak is small enough.)
"
electrical - Should old knob and tube wiring be replaced?,"
The advice my family once got from an electrician on this question was that if you have low amperage service and NEVER touch it, you're probably okay.  If you have regular electrical service or touch the circuits at all, remove ALL of it. His basic theory was that if you keep the wires cool, and they haven't caused you trouble yet, it's unlikely to cause a problem. Granted that advice was about 15 years ago and none of that wiring is improving with age.
Once you touch the lines at all, rip it all out.  It's very likely that you will introduce a problem between the coating and the wire. The house we were dealing with went another 10 years before we needed to rewire one of the old circuits.  Once that happened we rewired the entire house all at once.
If you're concerned at all, turn off the affected circuits, and get rid of it. Better safe than sorry on this one.
"
drywall - How do I find studs when stud finders won't work?,"
Do you have any high powered magnets? like the rare earth neodymium magnets? If so you can probably rub one around the wall until it attaches to one of the nails in the studs. Or you can try thumping on the wall, a stud will sound a lot less hollow versus empty drywall. That's how I've searched around in the past.
"
What do I have to do to prepare my garage floor for paint?,"
This post from the The Garage Journal forum has an excellent write-up on garage flooring products on the market.
Find more posts on the subject, including testimonies and how-tos, here.
"
tools - What is the difference between a framing hammer and a claw hammer?,"
As others have said, a framing hammer is a specialty claw hammer. 
So what makes it different?  First, weight.  A framing hammer is typically 20-32 oz, compared with 10-16 oz for a ""normal"" household claw hammer.  That helps it pound large nails in only a few blows.  Related to that is the much longer handle on a framing hammer.
Second is the face of the head: it's waffled to prevent slipping off the nail head, helping prevent bent nails.  A regular claw hammer will sometimes have a textured face but not nearly as pronounced, and the face may also be smooth.  A regular claw hammer often also has a domed face to allow a skilled hand to sink a nail below the surface with minimal surface damage: that's a feature you won't see on a framing hammer.
Third, the claw is straight since it is optimized for prying boards apart.  A regular claw hammer is optimized for pulling nails.
If you're only building a garage, I'd recommend using your regular hammer rather than buying a framing hammer. (Or best of all, just go rent a nail gun!).  For inexperienced carpenters, the time spent hammering will probably not be what slows you down.  Also, the framing hammer is tiring enough that after a couple hours you may actually be faster with a smaller, regular claw hammer.
If you do get a framing hammer I recommend a lighter one.  You'll work faster when you use it, you won't lose much power over a heavier hammer, and you'll feel much better on the second day.  In 2010 if you hammer enough that a 32oz hammer makes a difference versus a 24oz hammer, you have a nail gun anyhow.
"
bathroom - How do I remove dried paint from ceramic tiles and the bathtub?,"
A straight razor blade shouldn't cause any trouble on your ceramic tile (assuming it has a smooth finish) or an enameled tub, but a fiberglass tub you're right to worry about.
Depending on the number of stains you're trying to remove you may find that heating the surface a bit by filling the tub with hot water then draining again will weaken their hold on the tub enough that you may be able to remove them with gentle scraping with a putty knife (being careful not to dig into the tub's surface).
"
How do I remove the white residue on fresh tile grout?,"
This is typical.  It's called ""grout haze"", and you might have to wipe it off a couple of times before it won't reappear.
You just need a clean, damp rag, and some scrubbing.  If you didn't take it off immediately, it can set up, so you might need to check your local hardware store for 'grout haze remover' if water and elbow grease isn't doing it for you.
Well, if it had been on the tile, it'd have been typical, but as Jeff pointed out, you said it was on the grout itself.  I've never done colored grouts, so I have no idea if it's typical or not ... and you wouldn't want to scrub at the grout to remove the haze, particulary when the grout's fresh (which is when you want to remove it from the tile).
Looking around on the internet, I found mention that leaving water-based grout sealer to evaporate could do it.  They recommended re-sealing, and wiping off any excess, but others mentioned it took a lot of elbow grease and solvents.  On another site, it was mentioned it could be too much water in the grout, and suggested vinegar or a stronger acid to clean, then resealing; a few people mentioned getting grout dye to cover it up, but you have to strip any grout sealer first.
"
plumbing - Why does my toilet's seal wear out so fast?,"
Use two of the wax seals stacked on top of one another. It takes more squishing to set the toilet down, but the seal is a lot more resilient to shifting.
My plumber gave me this tip, and it seems to have worked the two times I used it.
"
What are my options for asphalt driveway repair and/or sealing?,"
Depending on the size of the cracks an asphalt sealant should close things up and protect the driveway. If the cracks are large you might have to get some asphalt patch and then seal it. your local home improvement store should have asphalt sealant and may have asphalt patch available.
Asphalt sealant is pretty messy stuff though, best to wear throw away clothes and boots.
"
caulking - Is there a trick to applying caulk using a caulk-gun?,"
I've found that if you push the tip of the caulk gun forward along the line rather than drag it behind you can often make a very neat bead of caulk that needs little or no smoothing afterwards.
"
How can I paint over a ceiling after there's been a leak?,"
Stains will usually come right through a new coat of paint.  
Did you prime it first?  In my experience I've found that a good oil (or even better, shellac) based primer works best for keeping stains from bleeding through the paint.
"
