question,answer
front end - Usage of \[InvisibleApplication] and other related invisible characters,"
It is used in TraditionalForm output, e.g. here:
TraditionalForm[ Hypergeometric2F1[a,b,c,x] ]

Without \[InvisibleApplication] it would probably be hard for Mathematica to parse it back to 
InputForm. Probably it is used in more places internally.
In order to get rid of it:
Locate the file UnicodeCharacters.tr in /usr/local/Wolfram/Mathematica/8.0/SystemFiles/FrontEnd/TextResources (or the equivalent under Windows or MacOSX), make a backup of the file, open it and delete the line 
0xF76D         \[InvisibleApplication]         ($@$ ...

Then your cat can jump on the keyboard again.
"
"functions - What best practices or performance considerations are there for choosing between Cases, Position, Pick and Select?","
In my view, Cases and Position are in one camp (pattern-based functions used for general expression destructuring), while Select is in another: (more) special-purpose functions optimized to work on certain efficient data structures. 
As was mentioned already, both Cases and Select do generally unpack when used with packed arrays. What wasn't mentioned is that Select can easily be compiled, including compilation to C:
sel = Compile[{{lst, _Integer, 2}}, Select[lst, #[[2]] > 0 &], 
        CompilationTarget -> ""C"", RuntimeOptions -> ""Speed""];

In[98]:= (res3 = sel[test]);//Timing
Out[98]= {0.125,Null}

which gives an order of magnitude speed-up in the case at hand. Needless to say, Cases, being a general function using patterns, cannot be compiled and any attempt to do so will result in a callback to the main evaluator in the compiled code, which destroys the purpose.
Another difference is that Select can also work on sparse arrays, while Cases and Position can't.
OTOH, Cases and Position are more general in that they can work on arbitrary expressions (not necessarily packed or even regular arrays), and at an arbitrary level. If you happen to have an (even numerical) irregular nested list, where you can't utilize packing, Cases and Position may be able to do things Select can't (Select is limited to one level only). Performance-wise, Cases / Position can also be very efficient, if the test patterns are constructed properly (mostly syntactic patterns, with no Condition or PatternTest involved, and preferably not containing things like __, ___ etc as sub-parts).
There are instances when Cases (Position also, but not as much) are practially indispensable, and this is when you want to collect some information about the expression, while preventing its parts from evaluation. For example, getting all symbols involved in an expression expr, in unevaluated form, wrapped in HoldComplete (say), is as simple as this:
Cases[expr, s_Symbol :> HoldComplete[s], {0, Infinity}, Heads -> True]

and quite efficient as well. Generally, patterns and destructuring are very (perhaps most) powerful metaprogramming tools that Mathematica provides.
So, my final advice is this: when you have an expression with a fixed regular structure, or even better, numerical packed array, Select or other more precise operations (Pick etc) may be advantageous, and also more natural. When you have some general (perhaps symbolic) expression, and want to get some non-trivial information from it, Cases, Position and other pattern-based functions may be a natural choice.
"
cdf format - How can I embed a Manipulate (or other interactive graphics) in my website using CDF?,"
UPDATE
See: Why does Wolfram Research no longer support the CDF plugin?
Then: Web Delivery: Cloud
Also: Wolfram Notebook Embedder
LEGACY
This is just to update everyone on this topic. Wolfram Research released detailed blog and video tutorial ""CDF Embedding in a Nutshell"". It shows how to use built-in Mathematica wizard to deploy CDF online into HTML pages and Word Press blogs. URL:
http://blog.wolfram.com/2012/02/22/mathematica-qa-series-cdf-embedding-in-a-nutshell/
"
topology - Generating a topological space diagram for an n-element set,"
I suspect this is a fundamentally difficult problem, because as you pointed out, it boils down to drawing hypergraphs which, it seems, Mathematica does not have built in support for.
It isn't hard though, to automatically generate some kind of visualization of topologies.
I used the elegant topologyQ function proposed by kguler over at the stackoverflow question you linked to:
topologyQ[x_List] := Intersection[x, #] === # &[
Union[{Union @@ x}, Intersection @@@ Rest@#, Union @@@ #] &@
Subsets@x]

And then a little bit of (substantially less elegant) code I wrote myself:
RandomTopoTable[n_] := 
Module[{Sets = 
 Reverse[Sort[
  RandomSample[#, RandomChoice[Range[Length[#]]]] &[
   Subsets[Range[n]]]]], 
GenerateRow = 
 Function[{set}, {#, Background -> If[MemberQ[set, #], Red, White],
     Frame -> True} & /@ Range[n]]}, 
{If[topologyQ[Sets] && MemberQ[Sets, Range[n]],
  Style[""GOOD"", Darker[Green]], Style[""BAD"", Red]], 
  Grid[({Range[n]}~Join~((Item @@@ # &) /@ (GenerateRow /@ Sets))), 
  Frame -> All, Background -> {Lighter[Gray], None}]}];

Table[Column[RandomTopoTable[3]], {20}]

And this is the output for n=3, but it works for other choices of n too:

This is presenting a random sample of the subsets of the subsets of original set, e.g. a random selection of ""potential topologies"".
"
graphics - Is there a way to have Plot draw points on a function where the function is undefined as circles as in textbooks?,"
By using Exclusions and ExclusionsStyle like this
Plot[1/Sin[π x], {x, -3, 3},
  Exclusions -> Sin[π x] == 0, 
  ExclusionsStyle -> {Thin, Directive[Red, PointSize[0.02]]}
]

you can define the location of the discontinuities and the style for poles and discontinuity boundaries, respectively.

Also the Wolfram Blog, March 2011 has more examples on this topic.
"
"symbolic - How to symbolically do matrix ""Block Inversion""?","
Mathematica does not support this directly. You can do things of this sort using an external package called NCAlgebra.
http://math.ucsd.edu/~ncalg/
The relevant documentation may be found at
http://math.ucsd.edu/~ncalg/DOWNLOAD2010/DOCUMENTATION/html/NCBIGDOCch4.html#x8-510004.4
In particular have a look at ""4.4.8 NCLDUDecomposition[aMatrix, Options]""
Using this package, you would find the block inverse of the example matrix using:
c=0;    
inverse = NCInverse[matrix]  
(* Out[] = {{inv[a], -inv[a] ** b ** inv[d]}, {0, inv[d]}} *)

Here inv[a] represents the general inverse of the a block of the matrix and the ** represents non-commutative (i.e. matrix) multiplication. This approach works for larger (3x3, 4x4, etc) square block matrices as well.
"
numerics - Can Mathematica propose an exact value based on an approximate one?,"
I can offer a round-about method.
First compute the numerical approximation. I obtain, to high precision,
In[24]:= N[Sum[1/(2*n!), {n, 0, 100}], 100]

Out[24]= 1.\
3591409142295226176801437356763312488786235468499797874834838138620383\
15176773797285691089262583214

Now paste that into a Wolfram|Alpha query, accessed by clicking on the '+' sign at upper left of a fresh input cell. This gives, among other things, possible closed forms.
To the best of my knowledge, the heuristic methods used by W|A for this task are not directly exposed in any other way in Mathematica proper.
"
reference request - Where can I find examples of good Mathematica programming practice?,"
Here's a collection of resources that I started on Mathgroup (a collection of Mathematica learning resources) and updated here at Stack Overflow. As this site is dedicated to Mathematica it makes more sense to maintain it here. This represents a huge amount of information; of course it's not exhaustive so feel free to improve it! Also, don't hesitate to share it and suggest other interesting links! Remember, you can always search the online Documentation Center of Mathematica, that is identical to the built-in help of the latest software version.
Links to more advanced aspects of the program that you can start to appreciate once you understand the basics are provided in separate answers (below) as this post became too large.

Tips and Tricks
Advanced evaluation, patterns and neat algorithms

Introduction

If you're just beginning try to have a look at these videos.
Mathematica Basics, Elementary Programming in Mathematica
Hands-on Start to Mathematica
Several introductory videos by Jon McLoone
and many other video introductions and tutorials from the official Wolfram website 
An elementary introduction to the Wolfram language
Fast introduction for programmers 
Is it necessary to have a prior computational background or is it possible to learn Mathematica as a first programming language? 
What are the most common pitfalls awaiting new users? 
How To-s: full solutions for particular tasks from the online documentation  
Easy-to-understand animations explaining common Mathematica functions
Sal Mangano's videos for using pure functions, Part and patterns
Introductory videos of various applications of Mathematica
What is the best Mathematica tutorial for young people? 

Basic advices for people new to Mathematica
Functional style
Avoid iterative programming using loops like For or Do, use instead functional programming functions Map, Scan, MapThread, Fold, FoldList, ... and pure functions. This makes the code cleaner and faster.  

Functional Programming, Functional Programming: Quick Start 
Pure functions
What does # mean in Mathematica? 
Alternatives to procedural loops and iterating over lists in Mathematica 
An example: Programming a numerical method in the functional style 
How to understand the usage of Inner and Outer figuratively? 

Transpose and dimensions

Something not easy to guess alone at the beginning: if you have x={1,2} and y={3,4},
doing Transpose[{x,y}] or {x,y}ESC tr ESC in the front end will produce {{1,3},{2,4}} (format compatible with ListPlot). This animation helps understand why.
You can also use the second argument of Transpose to reorder the indices of a multidimensional list.
Don't forget to regularly control the output of the lists you generate using Dimensions.

Get familiar with shorthand syntax (@, &, ##, /@, /., etc.)

Operator Input Forms
when is f@g not the same as f[g]? 

Programming easily

Getting help: Execute ?Map for example for a short description of a function, or press F1 on a function name for more details and examples about it. You can solve many problems by adapting examples to your needs.  
Auto-completion: Start typing the name of a function and (in Mathematica 9+) select from the pop-up auto-completion menu, or press Ctrl+k to get a list of functions which names start with what has already been entered. Once the name of the function is written completely press Ctrl+Shift+k (on Mac, Cmd+k) to get a list of its arguments.
Function templates: In Mathematica 9, after typing a function name, press Ctrl+Shift+k (on Mac, Cmd+Shift+k) and click on the desired form from the pop-up menu to insert a template with named placeholders for the arguments. 
Other useful shortcuts are described in the post Using the Mathematica front-end efficiently for editing notebooks.
Use palettes in the Palettes menu especially when you're beginning.
In Mathematica 8, use the natural input capability of Wolfram Alpha, for example type ""= graph 2 x + 1 between 0 and 3"" without the quotes and see the command associated with the result.

Tutorials

An elementary introduction to the Wolfram language, by Stephen Wolfram
Fast introduction for programmers 
Fundamentals of Mathematica Programming (by Richard Gaylord, great tutorial for an overview of the logic behind Mathematica: patterns)
Video tutorial also available    
Introduction to Mathematica (by Thomas Hahn, another succinct overview of Mathematica)  
Tutorial Collection by WRI (lots of extra documentation and examples, available as free PDFs, also available and up-to-date in Help > Virtual Book in Mathematica). 
Programming Paradigms via Mathematica (A First Course) 
Mathematica Tutorial: A New Resource for Developers 
Wolfram's Mathematica 101 
http://bmia.bmt.tue.nl/Software/Downloads/Campus/TrainingMathematicaEnglish.zip
http://bmia.bmt.tue.nl/Software/Mathematica/Tutorials/index.html 
A problem centered approach 
A beginner's guide to Mathematica 
http://math.sduhsd.net/MathematiClub/tutorials.htm 
http://www.austincc.edu/mmcguff/mathematica/ 
http://www.mtholyoke.edu/courses/hnichols/phys303/ 
http://www.apam.columbia.edu/courses/ap1601y/ (Introduction to Computational Mathematics and Physics)  
http://ftp.physics.uwa.edu.au/pub/MATH2200/2012/Lectures/ (Applied Mathematics)
http://ftp.physics.uwa.edu.au/pub/MATH2200/2009/Lectures (path for some lectures in pdf) 
http://en.wikibooks.org/wiki/Mathematica 
http://www.cs.purdue.edu/homes/ayg/CS590C/www/mathematica/math.html (Basic tutorial)   
https://stackoverflow.com/questions/4430998/mathematica-what-is-symbolic-programming  (What is symbolic programming)   
http://www.cer.ethz.ch/resec/people/tsteger/Econ_Model_Math_1.pdf 
http://www.physics.umd.edu/enp/jjkelly (An introduction to Mathematica as well as some physics courses)   
Do you know of any web-based university course that is entirely Mathematica based? 
http://homepage.cem.itesm.mx/jose.luis.gomez/data/mathematica (Tutorials in Spanish)
Mathematica programming (some examples of the various programming paradigms that can be used in Mathematica)

FAQ

http://12000.org/my_notes/faq/mma_notes/MMA.htm  (FAQ)  
https://stackoverflow.com/questions/tagged/mathematica?sort=faq&pagesize=15  (FAQ on Stack Overflow)  
https://mathematica.stackexchange.com/questions?sort=faq (FAQ on this site)   
http://library.wolfram.com/conferences/conference98/Lichtblau/SymbolicFAQ.nb (Symbolic FAQ)  

Books

Stephen Wolfram's The Mathematica Book (online, version 5.2), available for free  
Mathematica programming: an advanced introduction (online) by Leonid Shifrin, available for free
Tutorial Collection by WRI (lots of extra documentation and examples, available as free pdfs, also available and up-to-date in Help > Virtual Book in Mathematica). 
Mathematica Cookbook by Sal Mangano (O'Reilly, 2010)
Mathematica in Action by Stan Wagon (Springer, 2010)
Mathematica: A Problem-Centered Approach by Roozbeh Hazrat (Springer, 2010)
Mathematica Navigator by Heikki Ruskeepaa (Academic Press, 2009)
The Mathematica GuideBooks (for Programming, Numerics, Graphics, Symbolics) by Michael Trott (Springer, 2004-2005)  
An introduction to programming with Mathematica by Paul R. Wellin, Richard J. Gaylord and Samuel N. Kamin (Cambridge University Press, 2005); contains an example of Domain Specific Language (DSL) creation.
Mastering Mathematica by John W. Gray (Academic Press, 1997)
Programming in Mathematica by Roman Maeder (Addison-Wesley Professional, 1997)
Programming with Mathematica®: An Introduction by Paul Wellin (Cambridge University Press, 2013)  
Power Programming With Mathematica: The Kernel, by David B. Wagner (Mcgraw-Hill, 1997), out of print but scanned copy available here.  
http://blog.wolfram.com/2014/01/10/read-up-on-mathematica-in-many-subjects 

Wolfram Websites
Learn 

http://www.wolfram.com/broadcast/ 
http://www.wolfram.com/training/courses (Online video courses, most are free)
http://www.wolfram.com/training/special-event/ (Links to videos of past conferences)  
Slides of seminars 
http://www.youtube.com/user/WolframResearch 
An elementary introduction to the Wolfram language
Fast introduction for programmers
Data drop quick reference 

Examples 

http://demonstrations.wolfram.com
How To-s 
http://www.wolfram.com/mathematica/new-in-8
http://www.wolfram.com/mathematica/new-in-9
http://www.wolfram.com/mathematica/new-in-10/
http://www.wolfram.com/mathematica/new-in-11/
http://www.wolfram.com/training/special-event/new-in-mathematica-10/ 
A plot gallery for Mathematica 9 
http://www.wolfram.com/language/ 

Resources 

http://www.wolfram.com/mathematica/resources 
http://library.wolfram.com/ (Great amount of resources here) 
http://support.wolfram.com/kb/topic/mathematica (Knowledge base)    
http://www.mathematica-journal.com 
Help
Help > Virtual Book 
http://www.wolfram.com/support/learn/ 
http://www.wolfram.com/books/ 
http://reference.wolfram.com

Blogs 

http://community.wolfram.com 
http://blog.wolfram.com 
http://blog.wolframalpha.com 
http://blog.stephenwolfram.com 
http://twitter.com/#!/mathematicatip 

Other related sites 

http://www.mathematica25.com
SMP
http://blog.stephenwolfram.com/2013/06/there-was-a-time-before-mathematica
http://blog.stephenwolfram.com/data/uploads/2013/06/SMPHandbook.pdf 
http://www.wolframalpha.com 
Wolfram Science: the official site of Stephen Wolfram's New Kind of Science
NKS forum
Lecture notes from NKS summer schools
Programs from the notes
Demonstrations 
http://computerbasedmath.org/ 
http://education.wolfram.com (Some interactive basic math courses, useful for curious young people)  
http://www.wolfram.com/webresources.html  (other Mathematica related sites)  

Virtual conferences 

http://www.wolfram.com/events/virtual-conference/spring-2013 
http://www.wolfram.com/events/virtual-conference/2012 
http://www.wolfram.com/events/virtual-conference/2011 

Mathematica one-liner competition

http://www.wolfram.com/events/techconf2010/competition.html
http://www.wolfram.com/events/technology-conference/2011/one-liners.html 
http://www.wolfram.com/training/special-event/mathematica-experts-live-one-liner-competition-2012 

Wolfram technology conferences

http://www.wolfram.com/events/technology-conference/2016 
2015, http://www.wolfram.com/events/technology-conference/2015
2014, http://www.wolfram.com/events/technology-conference/2014 
2013, http://www.wolfram.com/events/technology-conference/2013 
2012, http://www.wolfram.com/events/technology-conference/2012 
2011, http://www.wolfram.com/events/technology-conference/2011 
2010, http://www.wolfram.com/events/techconf2010 
2009, 2007, 2006, 2005, 2004, 2003, 2001, 1999, 1998, 1997, 1994, 1992 
http://library.wolfram.com/infocenter/Conferences/ 

"
"plotting - RegionPlot is producing odd gaps, even for simple functions. Is there an option to prevent this?","
Just increase the number of PlotPoints
RegionPlot[x^2 < y && y < x^4, {x, -3, 3}, {y, 0, 3}, 
  PlotPoints -> 100]


"
parallelization - How to run mathlink external commands in parallel?,"
First I'd like to mention that I am currently using LibraryLink, and that LibraryFunctions can be shared with parallel kernels with DistributeDefinitions.  When using Parallelize, this happens automatically.  (I'm assuming that you have local parallel kernels.  For remote ones, see here.)
For MathLink programs, this will not work.  Let's try it:
First, let's launch the kernels:
In[6]:= LaunchKernels[]

Then install the addtwo example into the main kernel:
In[7]:= SetDirectory[$InstallationDirectory <> 
   ""/SystemFiles/Links/MathLink/DeveloperKit/"" <> $SystemID <> 
   ""/PrebuiltExamples/""];

In[8]:= link = Install[""addtwo""]    
Out[8]= LinkObject[""addtwo"", 23, 11]

It will not work in parallel kernels even after distribution the definitions because the connection exists only between addtwo and the main kernel:
In[9]:= DistributeDefinitions[AddTwo]    
Out[9]= AddTwo

In[10]:= ParallelEvaluate[Print@AddTwo[2, 2]]

(kernel 2) LinkObject::linkn: Argument LinkObject[addtwo,23,11] in LinkWrite[LinkObject[addtwo,23,11],CallPacket[0,{2,2}]] has an invalid LinkObject number; the link may be closed.

(kernel 1) LinkObject::linkn: Argument LinkObject[addtwo,23,11] in LinkWrite[LinkObject[addtwo,23,11],CallPacket[0,{2,2}]] has an invalid LinkObject number; the link may be closed.

(kernel 2) $Failed

(kernel 1) $Failed

Out[10]= {Null, Null}

Now lets install it into each parallel kernel:
In[11]:= ParallelEvaluate[Install[""addtwo""]]    
Out[11]= {LinkObject[""addtwo"", 6, 6], LinkObject[""addtwo"", 6, 6]}

In[12]:= ParallelEvaluate[Print@AddTwo[2, 2]]

(kernel 1) 4

(kernel 2) 4

Out[12]= {Null, Null}

As you can see, now it works in each of them, but the addtwo process will also exist in three copies (on a two-core machine). Note: you will have to run ParallelNeeds[] if you load any packages required by the sub kernels.
I must note that unlike with LibraryLink, I have no practical experience with this.

Caveat:  This problem didn't come up in my tests, but I think it may be possible that the symbol AddTwo will get auto-synchronized between the kernels, so they might lose the connection to their own addtwo process.  This could be avoided by placing the AddTwo symbol into a different context than Global ` (see here and here), but unfortunately you won't have control over this unless you are writing your MathLink programs yourself.
"
