question,answer
ipsec - What's the difference between IKE and ISAKMP?,"
ISAKMP is part of IKE. (IKE has ISAKMP, SKEME and OAKLEY). IKE establishs the shared security policy and authenticated keys. ISAKMP is the protocol that specifies the mechanics of the key exchange.
The confusion, (for me,) is that in the Cisco IOS ISAKMP/IKE are used to refer to the same thing. By which I mean, my understanding is that Cisco's IKE only implements/uses ISAKMP. So one configures IKE, and then conceptually inside that, one configures ISAKMP.
"
qos - Quality of Service based on Layer 7 traffic,"
I think this depends heavily on the platform on which you want to accomplish this. For example, IOS uses NBAR to classify transit traffic, primarily for QoS and security mechanisms. But as far as I know, NBAR QoS configurations are entirely static.
For centralized monitoring, NetFlow is probably your best bet.
"
"cisco catalyst - Troubleshooting ""Down BGP"" connections","
172259: May  6 14:43:06: %BGP-3-NOTIFICATION: sent to neighbor xxx.xxx.12.34 4/0 (hold time expired) 0 bytes
That generally means the other side of the connection did not respond to any keepalives within the hold timer (default 180 seconds). There are a variety of issues that could have caused this. Usually its a layer3 reachability issue. If it happens again, you should rule out layer3 issue by testing to the peer via ping and telnet (telnet to port 179, see if it responds).
If its not a layer3 reachability issue, then there was a problem with one end of the neighborship (more likely the far side in this case).
"
security - Securing OSPF with only passive interfaces,"
One issue is that authentication ensures that only trusted devices are capable of exchanging routes on the network.  Without authentication, you could introduce a non-trusted device and cause significant routing issues.  For example:
If area 0 is not authenticated, attach a router in area 0 with bogus routes to null0.  You could even create a default route and inject it into the topology leading to the bad router to black hole traffic.  Or the route could force traffic toward a bogus gateway designed to sniff connections and pull out insecure data before sending it on the right path.
Authentication ensures that only routers you know about and trust are exchanging information.
"
policing - Aggregate Family Rate Limits on Juniper EX,"
You are looking for the ""Logical Interface (Aggregate) Policer"":
http://www.juniper.net/techpubs/en_US/junos11.4/topics/concept/policer-logical-interface-aggregate-overview.html
Unfortunately they are only available on EX9200 (which is a castrated MX) if the information on the EX feature page is correct:
http://www.juniper.net/techpubs/en_US/release-independent/junos/topics/concept/ex-series-software-features-overview.html#routing-policy-packet-filtering-features-by-platform-table
"
cisco asa - Migrating pre-8.3 ASA config to 8.3+,"
Give a short enough config set, reconfiguring by hand should be an acceptable option.  You could even take your existing config and try to implement it again via the ASDM to see what the new GUI returns.
If your config is multiple pages or has a large number of objects, it might be best to implement it on a test box to see what comes back as an error message before putting it into production.
Unlike the PIX-to-ASA migration, Cisco never released a sanity check tool.
"
wireless - Does Windows support PEAPv1/EAP-GTC?,"
Naitvely, Windows does not support PEAP-GTC, however there are supplicants available to support PEAP-GTC authentication on Windows.
"
What type of fiber do I need for a WS-G5484,"
The WS-G5484 is a multimode fiber connector.  If you're using standard multimode fiber (62.5 micron), you should be about to get around 300m distance out of them.  With 50 micron fiber, that number should go up to around 500m.
"
"How can I force VTP clients to update their VLAN database from the VTP server, on Cisco devices?","
You can't manually force updates because VTP configs are pushed based on the highest current VLAN database revision number. Normally, after every change to your VTP config the configuration revision number should be incremented. The only way to force update this is by actually doing a VTP database change.
"
"security - I want to perform monitoring of my network infrastructure, can this safely be done with SNMPv2?","
If SNMPv3 is not an option you can do some things to help secure SNMPv2 better.

Don't enable the Read-Write string. There are very few reasons to enabled it.
Choose community strings that are more complex and remove any that are 'private' or 'public'.
Use an access-list on the community string to restrict what IP addresses can poll the device.
Do not enable 'system-shutdown' option.
Use a different community string for SNMP traps vs the polling SNMP string.

"
